
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0889"
"0.0500","0.0001","-0.0369"
"0.1000","0.0008","-0.2180"
"0.1500","0.0010","0.0408"
"0.2000","0.0028","-0.0656"
"0.2500","0.0057","-0.1175"
"0.3000","0.0077","-0.0079"
"0.3500","0.0093","0.0191"
"0.4000","0.0111","-0.1559"
"0.4500","0.0125","0.0553"
"0.5000","0.0145","0.0451"
"0.5500","0.0160","0.1136"
"0.6000","0.0177","0.0221"
"0.6500","0.0195","0.0725"
"0.7000","0.0211","-0.0479"
"0.7500","0.0228","0.1341"
"0.8000","0.0242","0.2117"
"0.8500","0.0262","0.0393"
"0.9000","0.0277","-0.1744"
"0.9500","0.0294","-0.0281"
"1.0000","0.0311","0.1063"
"1.0500","0.0328","0.0346"
"1.1000","0.0344","0.0595"
"1.1500","0.0358","-0.0248"
"1.2000","0.0379","0.1011"
"1.2500","0.0393","0.0912"
"1.3000","0.0411","0.0531"
"1.3500","0.0427","-0.0648"
"1.4000","0.0445","-0.0194"
"1.4500","0.0460","-0.0357"
"1.5000","0.0476","-0.1585"
"1.5500","0.0496","0.0708"
"1.6000","0.0510","-0.2367"
"1.6500","0.0528","-0.0956"
"1.7000","0.0544","-0.0593"
"1.7500","0.0562","0.0074"
"1.8000","0.0576","-0.0733"
"1.8500","0.0593","-0.1325"
"1.9000","0.0613","-0.0196"
"1.9500","0.0626","0.1373"
"2.0000","0.0645","-0.1763"
"2.0500","0.0660","-0.1286"
"2.1000","0.0679","-0.0671"
"2.1500","0.0693","0.1653"
"2.2000","0.0710","0.0072"
"2.2500","0.0729","-0.1264"
"2.3000","0.0744","-0.0992"
"2.3500","0.0762","-0.0739"
"2.4000","0.0776","0.1647"
"2.4500","0.0796","0.0081"
"2.5000","0.0809","-0.0701"
"2.5500","0.0826","-0.2033"
"2.6000","0.0845","-0.0534"
"2.6500","0.0860","-0.0236"
"2.7000","0.0878","0.0340"
"2.7500","0.0893","-0.1131"
"2.8000","0.0912","0.0563"
"2.8500","0.0925","0.1635"
"2.9000","0.0944","0.1262"
"2.9500","0.0961","0.0921"
"3.0000","0.0977","0.0702"
"3.0500","0.0995","0.0088"
"3.1000","0.1010","0.1153"
"3.1500","0.1029","0.0495"
"3.2000","0.1042","-0.0162"
"3.2500","0.1061","0.0559"
"3.3000","0.1078","-0.1669"
"3.3500","0.1094","0.1978"
"3.4000","0.1111","0.0782"
"3.4500","0.1127","-0.1565"
"3.5000","0.1145","-0.0511"
"3.5500","0.1158","-0.0774"
"3.6000","0.1178","-0.0258"
"3.6500","0.1194","0.0956"
"3.7000","0.1211","0.1001"
"3.7500","0.1227","0.1288"
"3.8000","0.1244","-0.0230"
"3.8500","0.1261","0.1462"
"3.9000","0.1275","0.1657"
"3.9500","0.1296","-0.0600"
"4.0000","0.1311","-0.0446"
"4.0500","0.1329","-0.0178"
"4.1000","0.1344","0.1363"
"4.1500","0.1361","0.2161"
"4.2000","0.1377","-0.0903"
"4.2500","0.1393","0.0419"
"4.3000","0.1412","-0.0020"
"4.3500","0.1426","-0.0159"
"4.4000","0.1445","0.0596"
"4.4500","0.1460","0.2044"
"4.5000","0.1478","0.1573"
"4.5500","0.1493","0.1361"
"4.6000","0.1509","0.0846"
"4.6500","0.1528","-0.0010"
"4.7000","0.1543","0.2577"
"4.7500","0.1561","-0.0552"
"4.8000","0.1577","-0.0597"
"4.8500","0.1595","0.1068"
"4.9000","0.1609","-0.0365"
"4.9500","0.1626","0.0569"
"5.0000","0.1645","0.0596"
"5.0500","0.1660","0.0486"
"5.1000","0.1679","0.0064"
"5.1500","0.1693","0.1737"
"5.2000","0.1711","0.0399"
"5.2500","0.1726","-0.0860"
"5.3000","0.1744","-0.0818"
"5.3500","0.1762","0.0889"
"5.4000","0.1777","-0.1725"
"5.4500","0.1795","-0.1373"
"5.5000","0.1810","-0.0138"
"5.5500","0.1829","0.0809"
"5.6000","0.1843","0.2239"
"5.6500","0.1861","0.1648"
"5.7000","0.1878","0.0833"
"5.7500","0.1894","-0.1129"
"5.8000","0.1911","0.1870"
"5.8500","0.1928","0.0440"
"5.9000","0.1945","0.0982"
"5.9500","0.1958","0.0184"
"6.0000","0.1977","-0.0969"
"6.0500","0.1995","0.1255"
"6.1000","0.2011","0.1648"
"6.1500","0.2028","0.0237"
"6.2000","0.2044","-0.0719"
"6.2500","0.2061","0.0601"
"6.3000","0.2075","0.0612"
"6.3500","0.2094","-0.0257"
"6.4000","0.2112","-0.0411"
"6.4500","0.2127","0.0700"
"6.5000","0.2144","0.0321"
"6.5500","0.2160","0.0971"
"6.6000","0.2178","-0.0063"
"6.6500","0.2192","0.0808"
"6.7000","0.2211","0.0098"
"6.7500","0.2227","0.1466"
"6.8000","0.2244","0.1940"
"6.8500","0.2261","-0.0551"
"6.9000","0.2278","0.0260"
"6.9500","0.2295","-0.1482"
"7.0000","0.2308","0.1705"
"7.0500","0.2329","-0.0689"
"7.1000","0.2344","0.1133"
"7.1500","0.2361","0.0121"
"7.2000","0.2378","0.0420"
"7.2500","0.2394","-0.0300"
"7.3000","0.2410","0.1548"
"7.3500","0.2425","0.1001"
"7.4000","0.2445","-0.0193"
"7.4500","0.2461","0.0737"
"7.5000","0.2478","-0.1279"
"7.5500","0.2494","0.0660"
"7.6000","0.2512","0.1935"
"7.6500","0.2527","-0.1006"
