
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0083"
"0.0500","0.0000","0.1716"
"0.1000","0.0005","0.0993"
"0.1500","0.0011","-0.0970"
"0.2000","0.0018","0.2515"
"0.2500","0.0044","-0.0102"
"0.3000","0.0069","0.0243"
"0.3500","0.0088","0.0962"
"0.4000","0.0102","0.0028"
"0.4500","0.0119","0.0910"
"0.5000","0.0138","0.1400"
"0.5500","0.0154","0.3354"
"0.6000","0.0172","0.1727"
"0.6500","0.0187","0.3843"
"0.7000","0.0205","0.3580"
"0.7500","0.0218","0.4458"
"0.8000","0.0237","0.5103"
"0.8500","0.0255","0.3672"
"0.9000","0.0270","0.6450"
"0.9500","0.0288","0.2074"
"1.0000","0.0304","0.6423"
"1.0500","0.0322","0.4768"
"1.1000","0.0335","0.5082"
"1.1500","0.0354","0.5572"
"1.2000","0.0371","0.5380"
"1.2500","0.0387","0.4179"
"1.3000","0.0404","0.5435"
"1.3500","0.0421","0.6713"
"1.4000","0.0439","0.6314"
"1.4500","0.0451","0.6833"
"1.5000","0.0471","0.7358"
"1.5500","0.0488","0.7765"
"1.6000","0.0504","0.8949"
"1.6500","0.0521","0.7751"
"1.7000","0.0537","0.9490"
"1.7500","0.0555","0.6584"
"1.8000","0.0568","0.8954"
"1.8500","0.0588","0.7972"
"1.9000","0.0605","0.8496"
"1.9500","0.0621","0.6532"
"2.0000","0.0638","0.7905"
"2.0500","0.0654","0.8810"
"2.1000","0.0671","0.6587"
"2.1500","0.0685","0.8937"
"2.2000","0.0706","1.0033"
"2.2500","0.0720","0.7890"
"2.3000","0.0738","1.0622"
"2.3500","0.0754","0.8584"
"2.4000","0.0771","0.7655"
"2.4500","0.0787","0.8782"
"2.5000","0.0802","0.8647"
"2.5500","0.0822","1.0186"
"2.6000","0.0837","0.9027"
"2.6500","0.0855","0.8010"
"2.7000","0.0870","0.6374"
"2.7500","0.0888","0.8347"
"2.8000","0.0903","0.8291"
"2.8500","0.0918","0.9205"
"2.9000","0.0939","1.0259"
"2.9500","0.0953","0.8820"
"3.0000","0.0972","0.9278"
"3.0500","0.0987","1.0401"
"3.1000","0.1005","0.8490"
"3.1500","0.1019","1.3312"
"3.2000","0.1036","1.3744"
"3.2500","0.1056","1.4647"
"3.3000","0.1070","1.4401"
"3.3500","0.1089","1.6334"
"3.4000","0.1104","1.8535"
"3.4500","0.1122","1.7390"
"3.5000","0.1136","1.7094"
"3.5500","0.1154","1.7725"
