
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1842"
"0.1000","0.0004","0.6990"
"0.2000","0.0012","2.7091"
"0.3000","0.0061","15.3945"
"0.4000","0.0099","24.8890"
"0.5000","0.0131","32.5398"
"0.6000","0.0167","40.9869"
"0.7000","0.0200","49.0735"
"0.8000","0.0234","56.7050"
"0.9000","0.0267","64.6312"
"1.0000","0.0300","71.4707"
"1.1000","0.0334","78.4007"
"1.2000","0.0364","84.9450"
"1.3000","0.0400","91.4195"
"1.4000","0.0433","98.4384"
"1.5000","0.0466","104.1090"
"1.6000","0.0501","110.4520"
"1.7000","0.0533","116.6301"
"1.8000","0.0567","122.3246"
"1.9000","0.0598","128.4292"
"2.0000","0.0632","134.7617"
"2.1000","0.0666","140.7428"
"2.2000","0.0699","146.5314"
"2.3000","0.0735","152.1226"
"2.4000","0.0767","157.5536"
"2.5000","0.0801","163.0314"
"2.6000","0.0832","167.7653"
"2.7000","0.0866","173.2454"
"2.8000","0.0899","178.1475"
"2.9000","0.0931","182.8991"
"3.0000","0.0967","188.5062"
"3.1000","0.1000","192.9392"
"3.2000","0.1035","195.4152"
"3.3000","0.1066","196.0897"
"3.4000","0.1099","196.1505"
"3.5000","0.1133","196.4532"
"3.6000","0.1164","196.7224"
"3.7000","0.1200","196.5888"
"3.8000","0.1234","196.1917"
"3.9000","0.1267","196.2121"
"4.0000","0.1301","196.5425"
"4.1000","0.1333","196.4888"
"4.2000","0.1366","196.5615"
"4.3000","0.1397","196.5601"
"4.4000","0.1433","196.6057"
"4.5000","0.1466","196.5064"
"4.6000","0.1500","196.6010"
"4.7000","0.1535","196.4128"
"4.8000","0.1567","196.4931"
"4.9000","0.1601","196.4147"
"5.0000","0.1631","196.3689"
"5.1000","0.1667","196.3348"
"5.2000","0.1698","196.3356"
"5.3000","0.1731","196.2987"
"5.4000","0.1768","196.3860"
"5.5000","0.1801","196.2828"
"5.6000","0.1834","196.3320"
"5.7000","0.1866","196.4320"
"5.8000","0.1899","196.5206"
"5.9000","0.1932","196.3570"
"6.0000","0.1965","196.3352"
"6.1000","0.2000","196.4629"
"6.2000","0.2034","196.1654"
"6.3000","0.2068","196.2595"
"6.4000","0.2100","196.1822"
"6.5000","0.2134","196.4341"
"6.6000","0.2165","196.5780"
"6.7000","0.2198","196.4644"
"6.8000","0.2233","196.3445"
"6.9000","0.2267","196.4619"
"7.0000","0.2300","196.3717"
"7.1000","0.2334","196.5804"
"7.2000","0.2366","196.1000"
"7.3000","0.2400","196.3797"
"7.4000","0.2431","196.4254"
"7.5000","0.2466","196.5078"
"7.6000","0.2500","196.3704"
"7.7000","0.2532","196.3318"
"7.8000","0.2568","196.4135"
"7.9000","0.2600","196.4550"
"8.0000","0.2634","196.5062"
"8.1000","0.2665","196.5495"
"8.2000","0.2699","196.4611"
