
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1652"
"0.0500","0.0001","0.0076"
"0.1000","0.0008","0.1675"
"0.1500","0.0011","-0.0371"
"0.2000","0.0028","0.2047"
"0.2500","0.0054","-0.0169"
"0.3000","0.0076","0.1451"
"0.3500","0.0093","0.0707"
"0.4000","0.0111","0.1382"
"0.4500","0.0127","0.0314"
"0.5000","0.0145","0.2086"
"0.5500","0.0158","0.0139"
"0.6000","0.0178","-0.0614"
"0.6500","0.0194","0.2215"
"0.7000","0.0211","0.1940"
"0.7500","0.0228","0.0910"
"0.8000","0.0244","0.0581"
"0.8500","0.0261","-0.0010"
"0.9000","0.0275","0.0515"
"0.9500","0.0295","0.1805"
"1.0000","0.0311","0.2032"
"1.0500","0.0328","0.1185"
"1.1000","0.0344","0.1038"
"1.1500","0.0361","0.1411"
"1.2000","0.0378","0.0266"
"1.2500","0.0392","0.0264"
"1.3000","0.0413","0.1367"
"1.3500","0.0427","0.0981"
"1.4000","0.0444","0.1448"
"1.4500","0.0461","0.0308"
"1.5000","0.0478","0.0568"
"1.5500","0.0494","0.2417"
"1.6000","0.0509","0.1056"
"1.6500","0.0529","0.2205"
"1.7000","0.0543","0.1643"
"1.7500","0.0561","0.2133"
"1.8000","0.0577","0.1793"
"1.8500","0.0595","0.0563"
"1.9000","0.0610","-0.0524"
"1.9500","0.0625","0.2807"
"2.0000","0.0645","0.4363"
"2.0500","0.0660","0.6141"
"2.1000","0.0678","0.9687"
"2.1500","0.0694","0.8610"
"2.2000","0.0712","0.8113"
"2.2500","0.0726","0.9065"
"2.3000","0.0743","1.2209"
"2.3500","0.0762","1.2722"
"2.4000","0.0777","1.5864"
"2.4500","0.0795","2.0751"
"2.5000","0.0810","2.2037"
"2.5500","0.0829","2.9424"
"2.6000","0.0842","3.0491"
"2.6500","0.0861","3.8934"
"2.7000","0.0879","4.5251"
"2.7500","0.0893","5.3674"
"2.8000","0.0912","6.3150"
"2.8500","0.0927","7.4687"
"2.9000","0.0946","8.6113"
"2.9500","0.0959","9.3288"
"3.0000","0.0977","10.5831"
"3.0500","0.0995","11.4081"
"3.1000","0.1010","12.5177"
"3.1500","0.1028","13.4518"
"3.2000","0.1044","14.6585"
"3.2500","0.1062","16.0839"
"3.3000","0.1075","16.8397"
"3.3500","0.1094","18.2847"
"3.4000","0.1112","19.5430"
"3.4500","0.1128","20.8414"
"3.5000","0.1144","21.8015"
"3.5500","0.1160","23.1295"
"3.6000","0.1178","24.5896"
"3.6500","0.1191","25.6282"
"3.7000","0.1212","27.5633"
"3.7500","0.1227","28.6313"
"3.8000","0.1244","30.1168"
"3.8500","0.1260","31.3843"
"3.9000","0.1277","32.6550"
"3.9500","0.1295","34.0121"
"4.0000","0.1309","35.2227"
"4.0500","0.1329","36.8846"
"4.1000","0.1344","37.9610"
"4.1500","0.1361","39.5250"
"4.2000","0.1377","40.4238"
"4.2500","0.1395","42.0085"
"4.3000","0.1411","43.4033"
"4.3500","0.1425","44.5199"
"4.4000","0.1445","46.4661"
"4.4500","0.1461","47.8479"
"4.5000","0.1479","49.2416"
"4.5500","0.1494","50.5668"
"4.6000","0.1512","52.0780"
"4.6500","0.1527","53.3430"
"4.7000","0.1542","55.0224"
"4.7500","0.1562","56.8211"
"4.8000","0.1577","57.8547"
"4.8500","0.1595","59.4694"
"4.9000","0.1610","60.8754"
"4.9500","0.1628","62.9137"
"5.0000","0.1643","64.2096"
"5.0500","0.1660","65.8916"
"5.1000","0.1679","67.6236"
"5.1500","0.1693","69.0079"
"5.2000","0.1712","70.9393"
"5.2500","0.1727","72.4338"
"5.3000","0.1745","74.3543"
"5.3500","0.1759","75.3541"
"5.4000","0.1776","77.3652"
"5.4500","0.1795","79.3039"
"5.5000","0.1810","81.0097"
"5.5500","0.1829","82.8440"
"5.6000","0.1844","84.4921"
"5.6500","0.1862","86.4406"
"5.7000","0.1875","87.8065"
"5.7500","0.1894","89.9645"
"5.8000","0.1911","91.8534"
"5.8500","0.1927","93.7399"
"5.9000","0.1945","95.6057"
"5.9500","0.1960","97.4460"
"6.0000","0.1978","99.4490"
"6.0500","0.1992","101.0803"
"6.1000","0.2011","103.2624"
