
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","1.1475"
"0.2500","0.0161","70.6600"
"0.5000","0.0370","204.4766"
"0.7500","0.0579","382.0013"
"1.0000","0.0786","593.5571"
"1.2500","0.0995","842.8023"
"1.5000","0.1202","1116.8254"
"1.7500","0.1411","1402.9777"
"2.0000","0.1620","1692.1084"
"2.2500","0.1829","1972.9614"
"2.5000","0.2037","2241.7322"
"2.7500","0.2244","2476.7439"
"3.0000","0.2452","2676.1758"
"3.2500","0.2662","2857.8259"
"3.5000","0.2871","3024.2224"
"3.7500","0.3078","3179.7893"
"4.0000","0.3287","3332.4255"
"4.2500","0.3494","3477.9839"
"4.5000","0.3703","3622.7175"
"4.7500","0.3913","3766.5461"
"5.0000","0.4121","3902.3618"
"5.2500","0.4328","4034.7825"
"5.5000","0.4536","4166.6270"
"5.7500","0.4744","4295.1440"
"6.0000","0.4954","4425.1821"
"6.2500","0.5163","4550.6592"
"6.5000","0.5370","4670.2173"
"6.7500","0.5578","4789.6953"
"7.0000","0.5787","4906.2671"
"7.2500","0.5995","5020.3125"
"7.5000","0.6204","5133.9897"
"7.7500","0.6412","5243.1641"
"8.0000","0.6620","5348.6250"
"8.2500","0.6828","5450.4043"
"8.5000","0.7037","5552.6338"
"8.7500","0.7246","5652.5884"
"9.0000","0.7454","5749.8926"
"9.2500","0.7662","5842.5859"
"9.5000","0.7869","5931.0723"
"9.7500","0.8078","6021.1260"
"10.0000","0.8287","6108.6421"
"10.2500","0.8496","6193.9497"
"10.5000","0.8704","6276.1719"
"10.7500","0.8911","6351.6289"
"11.0000","0.9119","6426.7061"
"11.2500","0.9329","6502.7939"
"11.5000","0.9538","6576.1909"
"11.7500","0.9746","6645.8472"
"12.0000","0.9953","6710.9546"
"12.2500","1.0161","6774.6274"
"12.5000","1.0370","6838.9116"
"12.7500","1.0579","6902.6909"
"13.0000","1.0787","6961.9878"
"13.2500","1.0996","7019.4312"
"13.5000","1.1203","7073.6504"
"13.7500","1.1411","7124.7451"
"14.0000","1.1620","7177.8657"
"14.2500","1.1830","7230.4619"
"14.5000","1.2037","7276.5396"
"14.7500","1.2245","7320.1343"
"15.0000","1.2453","7362.7593"
"15.2500","1.2662","7407.7964"
"15.5000","1.2871","7451.5635"
"15.7500","1.3079","7490.0093"
"16.0000","1.3287","7526.6494"
"16.2500","1.3495","7562.2246"
"16.5000","1.3703","7595.8403"
"16.7500","1.3912","7631.7510"
"17.0000","1.4121","7666.2085"
"17.2500","1.4329","7697.1807"
"17.5000","1.4536","7724.7100"
"17.7500","1.4745","7752.3335"
"18.0000","1.4954","7780.8774"
"18.2500","1.5163","7809.8027"
"18.5000","1.5371","7834.2163"
"18.7500","1.5579","7857.3013"
"19.0000","1.5786","7879.3296"
"19.2500","1.5995","7900.0952"
"19.5000","1.6204","7923.6182"
"19.7500","1.6413","7946.2915"
"20.0000","1.6621","7964.2534"
"20.2500","1.6828","7979.5010"
"20.5000","1.7036","7996.9199"
"20.7500","1.7245","8014.8735"
"21.0000","1.7454","8032.4604"
"21.2500","1.7662","8047.2075"
"21.5000","1.7870","8059.4717"
"21.7500","1.8078","8072.3994"
"22.0000","1.8286","8083.7314"
"22.2500","1.8496","8098.7944"
"22.5000","1.8704","8110.1328"
"22.7500","1.8912","8122.2065"
"23.0000","1.9119","8128.6768"
"23.2500","1.9328","8138.4199"
"23.5000","1.9538","8151.7046"
