
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0632"
"0.0500","0.0001","0.2405"
"0.1000","0.0006","-0.1044"
"0.1500","0.0010","-0.0467"
"0.2000","0.0027","0.1360"
"0.2500","0.0053","0.0193"
"0.3000","0.0074","-0.0526"
"0.3500","0.0091","0.0675"
"0.4000","0.0108","-0.1749"
"0.4500","0.0125","-0.0010"
"0.5000","0.0143","-0.0596"
"0.5500","0.0156","0.0329"
"0.6000","0.0176","0.1267"
"0.6500","0.0193","0.0395"
"0.7000","0.0209","-0.0699"
"0.7500","0.0226","-0.1596"
"0.8000","0.0242","-0.0107"
"0.8500","0.0259","-0.1275"
"0.9000","0.0273","0.1691"
"0.9500","0.0293","-0.0916"
"1.0000","0.0309","0.0351"
"1.0500","0.0326","-0.1339"
"1.1000","0.0342","0.1917"
"1.1500","0.0359","0.1208"
"1.2000","0.0376","0.0196"
"1.2500","0.0390","-0.0420"
"1.3000","0.0410","0.1008"
"1.3500","0.0425","0.0137"
"1.4000","0.0442","-0.1217"
"1.4500","0.0459","0.0868"
"1.5000","0.0476","-0.0835"
"1.5500","0.0492","0.0527"
"1.6000","0.0507","-0.0651"
"1.6500","0.0527","0.0495"
"1.7000","0.0541","0.1531"
"1.7500","0.0559","-0.0594"
"1.8000","0.0575","0.1492"
"1.8500","0.0593","0.0287"
"1.9000","0.0608","-0.0089"
"1.9500","0.0623","-0.2520"
"2.0000","0.0643","0.0434"
"2.0500","0.0658","-0.2372"
"2.1000","0.0676","0.0310"
"2.1500","0.0691","-0.1892"
"2.2000","0.0710","-0.0358"
"2.2500","0.0724","-0.0900"
"2.3000","0.0740","-0.1045"
"2.3500","0.0760","-0.2022"
"2.4000","0.0775","0.0077"
"2.4500","0.0793","0.0116"
"2.5000","0.0808","0.0028"
"2.5500","0.0827","-0.0735"
"2.6000","0.0840","0.1026"
"2.6500","0.0858","0.0353"
"2.7000","0.0877","0.0460"
"2.7500","0.0891","0.0059"
"2.8000","0.0910","-0.1070"
"2.8500","0.0925","0.0863"
"2.9000","0.0944","-0.1060"
"2.9500","0.0957","-0.0825"
"3.0000","0.0975","-0.0430"
"3.0500","0.0993","0.0134"
"3.1000","0.1008","0.1158"
"3.1500","0.1026","0.1112"
"3.2000","0.1041","-0.0481"
"3.2500","0.1060","-0.1123"
"3.3000","0.1073","0.0430"
"3.3500","0.1092","0.1368"
"3.4000","0.1110","0.0646"
"3.4500","0.1126","0.2498"
"3.5000","0.1142","0.0310"
"3.5500","0.1158","-0.0270"
"3.6000","0.1176","-0.0579"
"3.6500","0.1189","0.0697"
"3.7000","0.1209","-0.0644"
"3.7500","0.1226","0.1252"
"3.8000","0.1242","0.1504"
"3.8500","0.1259","-0.0257"
"3.9000","0.1274","-0.0157"
"3.9500","0.1293","0.1954"
"4.0000","0.1306","-0.0451"
"4.0500","0.1326","0.2791"
"4.1000","0.1342","-0.0108"
"4.1500","0.1359","-0.0601"
"4.2000","0.1375","0.0671"
"4.2500","0.1392","0.0902"
"4.3000","0.1409","0.0196"
"4.3500","0.1423","0.1660"
"4.4000","0.1443","-0.0497"
"4.4500","0.1458","0.1649"
"4.5000","0.1477","-0.0796"
"4.5500","0.1492","-0.0321"
"4.6000","0.1509","0.0123"
"4.6500","0.1525","0.1528"
"4.7000","0.1540","0.2592"
"4.7500","0.1560","0.1844"
"4.8000","0.1575","0.0517"
"4.8500","0.1593","-0.0028"
"4.9000","0.1608","0.0065"
"4.9500","0.1626","-0.0366"
"5.0000","0.1641","0.0591"
"5.0500","0.1657","-0.2242"
"5.1000","0.1677","0.1848"
"5.1500","0.1691","0.1189"
"5.2000","0.1710","0.1131"
"5.2500","0.1725","0.1417"
"5.3000","0.1743","0.0197"
"5.3500","0.1757","0.0412"
"5.4000","0.1774","0.0326"
"5.4500","0.1793","-0.2436"
"5.5000","0.1807","0.0965"
"5.5500","0.1826","-0.1296"
"5.6000","0.1842","-0.1705"
"5.6500","0.1860","0.0376"
"5.7000","0.1873","0.1506"
"5.7500","0.1891","0.0198"
"5.8000","0.1909","0.1211"
"5.8500","0.1925","0.0229"
"5.9000","0.1943","0.2468"
"5.9500","0.1958","0.0483"
"6.0000","0.1976","-0.0332"
"6.0500","0.1990","0.0460"
"6.1000","0.2009","0.0009"
"6.1500","0.2026","-0.1668"
"6.2000","0.2041","-0.1863"
"6.2500","0.2059","-0.0907"
"6.3000","0.2075","0.2657"
"6.3500","0.2093","-0.0383"
"6.4000","0.2107","0.1207"
"6.4500","0.2126","0.1183"
"6.5000","0.2143","0.0662"
"6.5500","0.2159","-0.1642"
"6.6000","0.2176","0.0733"
"6.6500","0.2192","0.0817"
"6.7000","0.2209","0.0651"
"6.7500","0.2223","-0.0888"
"6.8000","0.2242","0.2427"
"6.8500","0.2259","-0.0607"
"6.9000","0.2276","-0.0843"
"6.9500","0.2292","0.1280"
"7.0000","0.2309","0.0056"
"7.0500","0.2325","-0.0378"
"7.1000","0.2339","0.1856"
"7.1500","0.2359","0.2058"
"7.2000","0.2375","0.0005"
"7.2500","0.2392","0.0139"
"7.3000","0.2408","0.1918"
"7.3500","0.2425","0.1946"
"7.4000","0.2442","0.2891"
"7.4500","0.2456","0.3081"
"7.5000","0.2476","0.2948"
"7.5500","0.2492","0.1226"
"7.6000","0.2509","0.3024"
"7.6500","0.2525","0.1309"
"7.7000","0.2543","0.2689"
"7.7500","0.2558","0.3534"
"7.8000","0.2573","0.3003"
"7.8500","0.2594","0.2365"
"7.9000","0.2609","0.2896"
"7.9500","0.2626","0.1697"
"8.0000","0.2642","0.2291"
"8.0500","0.2659","0.3692"
"8.1000","0.2675","0.3188"
"8.1500","0.2690","0.2295"
"8.2000","0.2710","0.3108"
"8.2500","0.2725","0.1929"
"8.3000","0.2743","0.0797"
"8.3500","0.2758","0.3280"
"8.4000","0.2776","0.2139"
"8.4500","0.2791","0.3657"
"8.5000","0.2808","0.3749"
"8.5500","0.2827","0.1673"
"8.6000","0.2841","0.0909"
"8.6500","0.2860","0.3409"
"8.7000","0.2875","0.4905"
"8.7500","0.2893","0.3648"
"8.8000","0.2907","0.2879"
"8.8500","0.2924","0.3365"
"8.9000","0.2943","0.4113"
"8.9500","0.2958","0.5065"
"9.0000","0.2976","0.6016"
"9.0500","0.2991","0.4654"
"9.1000","0.3010","0.3222"
"9.1500","0.3023","0.5767"
"9.2000","0.3041","0.5313"
"9.2500","0.3059","0.3770"
"9.3000","0.3074","0.4417"
"9.3500","0.3093","0.5855"
"9.4000","0.3108","0.3677"
"9.4500","0.3127","0.5861"
"9.5000","0.3140","0.6379"
"9.5500","0.3159","0.7439"
"9.6000","0.3176","0.7675"
"9.6500","0.3192","0.8755"
"9.7000","0.3209","0.8356"
"9.7500","0.3225","0.7591"
"9.8000","0.3243","1.1069"
"9.8500","0.3256","0.9512"
"9.9000","0.3276","1.3137"
"9.9500","0.3293","1.4566"
"10.0000","0.3308","1.3574"
"10.0500","0.3326","1.7145"
"10.1000","0.3342","1.9445"
"10.1500","0.3360","2.1695"
"10.2000","0.3373","2.3657"
"10.2500","0.3393","2.3116"
