
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0411"
"0.0500","0.0001","-0.2281"
"0.1000","0.0008","0.0879"
"0.1500","0.0011","0.0634"
"0.2000","0.0029","0.0312"
"0.2500","0.0056","0.2924"
"0.3000","0.0077","0.1362"
"0.3500","0.0093","0.1770"
"0.4000","0.0111","0.2129"
"0.4500","0.0127","0.3732"
"0.5000","0.0146","0.1334"
"0.5500","0.0160","0.0934"
"0.6000","0.0176","0.0825"
"0.6500","0.0196","0.0845"
"0.7000","0.0210","-0.0972"
"0.7500","0.0229","0.0315"
"0.8000","0.0243","0.1742"
"0.8500","0.0262","-0.0044"
"0.9000","0.0275","0.2309"
"0.9500","0.0293","0.3998"
"1.0000","0.0312","0.1112"
"1.0500","0.0328","0.1699"
"1.1000","0.0345","0.2312"
"1.1500","0.0359","0.1129"
"1.2000","0.0379","0.0720"
"1.2500","0.0392","0.1997"
"1.3000","0.0411","0.2249"
"1.3500","0.0428","0.0975"
"1.4000","0.0444","0.2441"
"1.4500","0.0461","0.1680"
"1.5000","0.0477","0.1021"
"1.5500","0.0496","0.2299"
"1.6000","0.0509","0.1051"
"1.6500","0.0528","0.0780"
"1.7000","0.0545","0.1585"
"1.7500","0.0561","-0.0014"
"1.8000","0.0578","0.1203"
"1.8500","0.0594","0.1038"
"1.9000","0.0612","-0.0308"
"1.9500","0.0625","0.1919"
"2.0000","0.0645","0.2628"
"2.0500","0.0661","0.0510"
"2.1000","0.0678","0.2952"
"2.1500","0.0694","0.2415"
"2.2000","0.0711","0.2548"
"2.2500","0.0728","0.3307"
"2.3000","0.0742","0.1819"
"2.3500","0.0762","0.2686"
"2.4000","0.0778","0.3148"
"2.4500","0.0795","0.3074"
"2.5000","0.0811","0.4049"
"2.5500","0.0828","0.2794"
"2.6000","0.0844","0.4540"
"2.6500","0.0859","0.4594"
"2.7000","0.0879","0.6791"
"2.7500","0.0894","0.4450"
"2.8000","0.0912","0.6669"
"2.8500","0.0927","0.7377"
"2.9000","0.0945","0.7646"
"2.9500","0.0960","0.6036"
"3.0000","0.0976","0.8139"
"3.0500","0.0995","1.1290"
"3.1000","0.1010","1.0370"
"3.1500","0.1029","1.0533"
"3.2000","0.1044","1.1073"
"3.2500","0.1062","1.3072"
"3.3000","0.1076","1.3961"
"3.3500","0.1093","1.5701"
"3.4000","0.1112","1.5740"
"3.4500","0.1127","1.6366"
"3.5000","0.1146","1.7600"
"3.5500","0.1160","1.7935"
"3.6000","0.1178","2.0786"
"3.6500","0.1193","2.1433"
"3.7000","0.1211","2.2359"
"3.7500","0.1229","2.5082"
"3.8000","0.1243","2.4230"
"3.8500","0.1262","2.5389"
"3.9000","0.1277","2.8478"
"3.9500","0.1296","2.7715"
"4.0000","0.1309","2.9014"
"4.0500","0.1327","2.7688"
"4.1000","0.1345","3.0132"
"4.1500","0.1361","2.8954"
"4.2000","0.1378","2.9977"
"4.2500","0.1395","2.8064"
"4.3000","0.1412","2.9260"
"4.3500","0.1425","2.8619"
"4.4000","0.1444","2.8152"
"4.4500","0.1462","2.9499"
"4.5000","0.1478","2.8856"
"4.5500","0.1495","2.8325"
"4.6000","0.1510","2.9561"
"4.6500","0.1528","2.8755"
"4.7000","0.1542","2.8830"
"4.7500","0.1561","3.0417"
"4.8000","0.1578","3.0734"
"4.8500","0.1594","2.9347"
"4.9000","0.1611","2.8608"
"4.9500","0.1627","2.9392"
"5.0000","0.1645","2.9434"
"5.0500","0.1659","2.9044"
"5.1000","0.1678","3.0621"
"5.1500","0.1694","2.8795"
"5.2000","0.1711","2.9356"
"5.2500","0.1728","2.8976"
"5.3000","0.1745","2.8963"
"5.3500","0.1762","2.9144"
"5.4000","0.1775","2.8415"
"5.4500","0.1795","2.9405"
"5.5000","0.1811","2.7804"
"5.5500","0.1828","2.6716"
"5.6000","0.1844","2.8527"
"5.6500","0.1861","2.9533"
"5.7000","0.1878","3.0110"
"5.7500","0.1892","2.9146"
"5.8000","0.1912","2.9057"
"5.8500","0.1928","2.8565"
"5.9000","0.1945","2.8610"
"5.9500","0.1961","2.9590"
"6.0000","0.1978","2.6869"
"6.0500","0.1994","2.7557"
"6.1000","0.2009","2.8412"
"6.1500","0.2029","2.8279"
"6.2000","0.2043","2.8696"
"6.2500","0.2062","2.8120"
"6.3000","0.2077","2.8562"
"6.3500","0.2095","2.8914"
"6.4000","0.2110","2.8060"
"6.4500","0.2126","2.8059"
"6.5000","0.2146","2.8316"
"6.5500","0.2160","2.9803"
"6.6000","0.2178","2.8440"
"6.6500","0.2194","2.9083"
"6.7000","0.2212","2.9579"
"6.7500","0.2226","2.8086"
"6.8000","0.2243","2.7737"
"6.8500","0.2262","2.8998"
"6.9000","0.2277","2.9245"
"6.9500","0.2295","3.0584"
"7.0000","0.2310","2.8414"
"7.0500","0.2329","3.0907"
"7.1000","0.2342","2.9844"
"7.1500","0.2360","3.1542"
"7.2000","0.2379","3.2358"
"7.2500","0.2393","3.1077"
"7.3000","0.2412","3.4084"
"7.3500","0.2427","3.1777"
"7.4000","0.2446","3.2367"
"7.4500","0.2458","3.6045"
"7.5000","0.2478","3.4890"
"7.5500","0.2495","3.6883"
"7.6000","0.2510","3.6824"
"7.6500","0.2528","3.5846"
"7.7000","0.2544","3.4746"
"7.7500","0.2562","3.8154"
"7.8000","0.2575","3.5861"
"7.8500","0.2595","3.5423"
"7.9000","0.2612","3.5295"
"7.9500","0.2628","3.5250"
"8.0000","0.2645","3.6167"
"8.0500","0.2661","3.4395"
"8.1000","0.2679","3.6099"
"8.1500","0.2692","3.8438"
"8.2000","0.2712","3.6294"
"8.2500","0.2728","3.6195"
"8.3000","0.2745","3.8026"
"8.3500","0.2761","3.5587"
"8.4000","0.2777","3.4814"
"8.4500","0.2794","3.9201"
"8.5000","0.2808","3.6616"
"8.5500","0.2829","3.6039"
"8.6000","0.2844","3.6168"
"8.6500","0.2862","3.7918"
"8.7000","0.2877","3.6007"
"8.7500","0.2894","3.5704"
"8.8000","0.2911","3.5162"
"8.8500","0.2925","3.5866"
"8.9000","0.2946","3.5724"
"8.9500","0.2961","3.5960"
"9.0000","0.2978","3.5547"
"9.0500","0.2993","3.5427"
"9.1000","0.3012","3.6888"
"9.1500","0.3027","3.6860"
"9.2000","0.3043","3.5207"
"9.2500","0.3062","3.5166"
"9.3000","0.3077","3.4797"
"9.3500","0.3096","3.5832"
"9.4000","0.3110","3.5268"
"9.4500","0.3129","3.5644"
"9.5000","0.3143","3.4891"
"9.5500","0.3160","3.6249"
"9.6000","0.3179","3.5929"
"9.6500","0.3194","3.5894"
"9.7000","0.3212","3.6139"
"9.7500","0.3227","3.6528"
"9.8000","0.3245","3.3791"
"9.8500","0.3259","3.7634"
"9.9000","0.3277","3.5473"
"9.9500","0.3296","3.6014"
"10.0000","0.3311","3.6117"
"10.0500","0.3329","3.5060"
"10.1000","0.3344","3.5030"
"10.1500","0.3362","3.5308"
"10.2000","0.3375","3.7155"
"10.2500","0.3394","3.7360"
"10.3000","0.3411","3.5557"
"10.3500","0.3427","3.7350"
"10.4000","0.3445","3.5136"
"10.4500","0.3460","3.6483"
"10.5000","0.3479","3.4135"
"10.5500","0.3492","3.5299"
"10.6000","0.3511","3.8089"
"10.6500","0.3528","3.6527"
"10.7000","0.3544","3.6097"
"10.7500","0.3562","3.6707"
"10.8000","0.3577","3.5618"
"10.8500","0.3595","3.6584"
"10.9000","0.3609","3.6901"
"10.9500","0.3629","3.5020"
"11.0000","0.3644","3.6434"
"11.0500","0.3661","3.4970"
"11.1000","0.3678","3.6778"
"11.1500","0.3694","3.6101"
"11.2000","0.3711","3.5424"
"11.2500","0.3725","3.6325"
"11.3000","0.3745","3.6752"
"11.3500","0.3761","3.6358"
"11.4000","0.3778","3.6546"
"11.4500","0.3795","3.6117"
"11.5000","0.3812","3.3429"
"11.5500","0.3827","3.4904"
"11.6000","0.3842","3.7997"
"11.6500","0.3862","3.7351"
"11.7000","0.3878","3.7261"
"11.7500","0.3895","3.8323"
"11.8000","0.3911","3.5216"
"11.8500","0.3928","3.7514"
"11.9000","0.3944","3.6022"
"11.9500","0.3959","3.7556"
"12.0000","0.3979","3.9128"
"12.0500","0.3994","3.9713"
"12.1000","0.4011","3.9667"
"12.1500","0.4027","3.7698"
"12.2000","0.4045","3.8972"
