
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0710"
"0.0500","0.0001","-0.0618"
"0.1000","0.0008","-0.0039"
"0.1500","0.0011","-0.0156"
"0.2000","0.0033","-0.0442"
"0.2500","0.0059","-0.1448"
"0.3000","0.0078","0.0477"
"0.3500","0.0094","0.0920"
"0.4000","0.0112","0.0983"
"0.4500","0.0126","0.0774"
"0.5000","0.0146","0.0588"
"0.5500","0.0162","0.2263"
"0.6000","0.0179","0.0726"
"0.6500","0.0195","0.2480"
"0.7000","0.0212","0.0364"
"0.7500","0.0228","0.0073"
"0.8000","0.0243","-0.0200"
"0.8500","0.0264","0.0498"
"0.9000","0.0278","-0.0701"
"0.9500","0.0296","-0.0914"
"1.0000","0.0312","0.1026"
"1.0500","0.0329","0.2832"
"1.1000","0.0345","0.0780"
"1.1500","0.0360","0.0905"
"1.2000","0.0379","0.2299"
"1.2500","0.0394","-0.1019"
"1.3000","0.0412","0.0090"
"1.3500","0.0429","0.0454"
"1.4000","0.0446","0.0362"
"1.4500","0.0461","0.0071"
"1.5000","0.0477","0.1037"
"1.5500","0.0496","0.0424"
"1.6000","0.0511","0.1490"
"1.6500","0.0530","-0.0768"
"1.7000","0.0545","0.0510"
"1.7500","0.0562","0.1492"
"1.8000","0.0577","-0.0573"
"1.8500","0.0595","0.1841"
"1.9000","0.0614","0.1495"
"1.9500","0.0628","0.1223"
"2.0000","0.0646","0.0599"
"2.0500","0.0661","0.0768"
"2.1000","0.0680","-0.0394"
"2.1500","0.0694","0.1682"
"2.2000","0.0712","0.1861"
"2.2500","0.0729","0.1394"
"2.3000","0.0744","0.0772"
"2.3500","0.0763","0.0177"
"2.4000","0.0779","0.1927"
"2.4500","0.0797","0.1033"
"2.5000","0.0810","-0.0458"
"2.5500","0.0828","-0.0511"
"2.6000","0.0846","-0.0713"
"2.6500","0.0862","0.2604"
"2.7000","0.0880","0.1646"
"2.7500","0.0895","-0.1232"
"2.8000","0.0913","0.0335"
"2.8500","0.0926","0.0413"
"2.9000","0.0945","0.0763"
"2.9500","0.0963","-0.0709"
"3.0000","0.0978","0.1186"
"3.0500","0.0996","-0.0284"
"3.1000","0.1011","-0.0106"
"3.1500","0.1029","-0.0418"
"3.2000","0.1043","0.0328"
"3.2500","0.1063","0.0678"
"3.3000","0.1079","0.0359"
"3.3500","0.1095","-0.0630"
"3.4000","0.1112","0.1188"
"3.4500","0.1129","-0.1270"
"3.5000","0.1146","0.2075"
"3.5500","0.1160","0.2399"
"3.6000","0.1179","-0.0347"
"3.6500","0.1196","-0.0102"
"3.7000","0.1212","0.1551"
"3.7500","0.1229","-0.0234"
"3.8000","0.1245","-0.0949"
"3.8500","0.1262","0.0316"
"3.9000","0.1276","-0.0464"
"3.9500","0.1296","0.1248"
"4.0000","0.1312","-0.0866"
"4.0500","0.1329","0.0840"
"4.1000","0.1345","0.0941"
"4.1500","0.1362","0.1207"
"4.2000","0.1379","0.1049"
"4.2500","0.1393","0.0727"
"4.3000","0.1413","0.0391"
"4.3500","0.1428","0.0743"
"4.4000","0.1445","0.2768"
