
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1783"
"0.0500","0.0001","-0.2214"
"0.1000","0.0007","0.0395"
"0.1500","0.0010","0.1006"
"0.2000","0.0030","0.1096"
"0.2500","0.0056","-0.0463"
"0.3000","0.0077","0.1360"
"0.3500","0.0092","0.2548"
"0.4000","0.0111","-0.0991"
"0.4500","0.0126","0.0811"
"0.5000","0.0146","-0.0646"
"0.5500","0.0159","-0.0790"
"0.6000","0.0176","-0.0009"
"0.6500","0.0196","0.1888"
"0.7000","0.0210","0.0512"
"0.7500","0.0229","-0.1569"
"0.8000","0.0243","0.0104"
"0.8500","0.0262","0.1607"
"0.9000","0.0275","-0.0751"
"0.9500","0.0293","0.1433"
"1.0000","0.0312","0.0637"
"1.0500","0.0328","0.0552"
"1.1000","0.0345","-0.0604"
"1.1500","0.0359","0.2417"
"1.2000","0.0378","0.0672"
"1.2500","0.0391","-0.0678"
"1.3000","0.0411","0.0310"
"1.3500","0.0428","0.1470"
"1.4000","0.0443","-0.0204"
"1.4500","0.0461","-0.0228"
"1.5000","0.0476","-0.0270"
"1.5500","0.0495","-0.0630"
"1.6000","0.0509","0.1591"
"1.6500","0.0528","0.0931"
"1.7000","0.0544","0.2334"
"1.7500","0.0561","0.0829"
"1.8000","0.0577","0.0237"
"1.8500","0.0594","0.1913"
"1.9000","0.0612","0.0708"
"1.9500","0.0625","0.1822"
"2.0000","0.0645","0.0453"
"2.0500","0.0660","0.0978"
"2.1000","0.0678","-0.0741"
"2.1500","0.0694","0.0069"
"2.2000","0.0711","0.0417"
"2.2500","0.0728","0.2567"
"2.3000","0.0742","-0.0047"
"2.3500","0.0762","0.0125"
"2.4000","0.0777","-0.0525"
"2.4500","0.0795","-0.0500"
"2.5000","0.0810","0.1229"
"2.5500","0.0827","0.1547"
"2.6000","0.0843","0.1626"
"2.6500","0.0859","0.1012"
"2.7000","0.0879","0.3160"
"2.7500","0.0893","0.1051"
"2.8000","0.0911","-0.1565"
