
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1733"
"0.1000","0.0004","0.7303"
"0.2000","0.0014","3.8717"
"0.3000","0.0063","24.1083"
"0.4000","0.0101","38.3644"
"0.5000","0.0135","51.5499"
"0.6000","0.0168","62.9303"
"0.7000","0.0202","74.7833"
"0.8000","0.0232","84.3535"
"0.9000","0.0267","95.7754"
"1.0000","0.0301","106.0823"
"1.1000","0.0334","116.0049"
"1.2000","0.0369","126.8752"
"1.3000","0.0402","136.2937"
"1.4000","0.0435","145.6922"
"1.5000","0.0467","154.1149"
"1.6000","0.0500","162.4245"
"1.7000","0.0534","169.1609"
"1.8000","0.0566","176.1912"
"1.9000","0.0602","182.4446"
"2.0000","0.0635","190.2476"
"2.1000","0.0669","198.6610"
"2.2000","0.0700","203.8952"
"2.3000","0.0733","210.0318"
"2.4000","0.0767","216.7194"
"2.5000","0.0799","223.4889"
"2.6000","0.0835","231.5595"
"2.7000","0.0869","239.0042"
"2.8000","0.0902","245.8667"
"2.9000","0.0935","253.0285"
"3.0000","0.0967","259.8758"
"3.1000","0.1002","267.4170"
"3.2000","0.1032","273.6349"
"3.3000","0.1068","282.0304"
"3.4000","0.1101","289.4130"
"3.5000","0.1135","296.8219"
"3.6000","0.1169","304.3703"
"3.7000","0.1202","311.6938"
"3.8000","0.1234","318.4272"
"3.9000","0.1265","324.6017"
"4.0000","0.1300","332.3000"
"4.1000","0.1333","339.0122"
"4.2000","0.1367","345.9862"
"4.3000","0.1403","353.1409"
"4.4000","0.1435","359.4508"
"4.5000","0.1469","366.1153"
"4.6000","0.1500","371.3305"
"4.7000","0.1534","377.6395"
"4.8000","0.1567","383.3773"
"4.9000","0.1600","389.2052"
"5.0000","0.1636","395.9369"
"5.1000","0.1669","401.7592"
"5.2000","0.1702","407.1403"
"5.3000","0.1735","412.7897"
"5.4000","0.1767","417.7984"
"5.5000","0.1801","423.2117"
"5.6000","0.1832","427.5685"
"5.7000","0.1868","433.7518"
"5.8000","0.1902","438.9484"
"5.9000","0.1935","443.8829"
"6.0000","0.1969","449.0514"
"6.1000","0.2001","453.5055"
"6.2000","0.2034","457.8059"
"6.3000","0.2066","461.6667"
"6.4000","0.2101","466.6237"
"6.5000","0.2134","471.2866"
"6.6000","0.2168","475.2454"
"6.7000","0.2202","479.7148"
"6.8000","0.2235","483.1254"
"6.9000","0.2269","487.5303"
"7.0000","0.2299","490.3499"
"7.1000","0.2334","494.7550"
"7.2000","0.2367","498.5294"
"7.3000","0.2400","502.5098"
"7.4000","0.2436","507.2391"
"7.5000","0.2468","510.2503"
"7.6000","0.2502","513.8549"
"7.7000","0.2534","517.0386"
"7.8000","0.2567","520.2271"
"7.9000","0.2600","523.9700"
"8.0000","0.2633","527.1371"
"8.1000","0.2669","530.8242"
"8.2000","0.2702","533.9092"
"8.3000","0.2736","536.9138"
"8.4000","0.2767","539.6550"
"8.5000","0.2801","542.2552"
"8.6000","0.2834","545.2132"
"8.7000","0.2866","546.8841"
