
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0007"
"0.0500","0.0001","-0.0626"
"0.1000","0.0005","-0.0488"
"0.1500","0.0009","-0.1599"
"0.2000","0.0020","-0.0989"
"0.2500","0.0048","0.2040"
"0.3000","0.0070","-0.0035"
"0.3500","0.0088","-0.0556"
"0.4000","0.0102","-0.0671"
"0.4500","0.0120","-0.1532"
"0.5000","0.0138","-0.0426"
"0.5500","0.0155","0.0346"
"0.6000","0.0172","-0.0704"
"0.6500","0.0186","0.0849"
"0.7000","0.0205","0.0209"
"0.7500","0.0218","0.0931"
"0.8000","0.0239","0.0545"
"0.8500","0.0255","-0.0319"
"0.9000","0.0271","-0.0656"
"0.9500","0.0288","-0.0052"
"1.0000","0.0304","-0.0482"
"1.0500","0.0322","0.0922"
"1.1000","0.0336","0.0207"
"1.1500","0.0355","0.0065"
"1.2000","0.0371","-0.0768"
"1.2500","0.0388","-0.0030"
"1.3000","0.0404","-0.1755"
"1.3500","0.0422","0.1096"
"1.4000","0.0438","-0.0525"
"1.4500","0.0452","-0.0143"
"1.5000","0.0472","0.0983"
"1.5500","0.0487","0.1215"
"1.6000","0.0506","-0.0113"
"1.6500","0.0521","-0.0746"
"1.7000","0.0538","0.1867"
"1.7500","0.0554","-0.0440"
"1.8000","0.0569","0.0934"
"1.8500","0.0589","-0.0097"
"1.9000","0.0604","0.0186"
"1.9500","0.0623","-0.0205"
"2.0000","0.0637","0.0800"
"2.0500","0.0655","-0.0836"
"2.1000","0.0670","0.0896"
"2.1500","0.0687","0.1324"
"2.2000","0.0706","0.1477"
"2.2500","0.0720","0.0207"
"2.3000","0.0739","0.3165"
"2.3500","0.0754","-0.2317"
"2.4000","0.0772","0.0549"
"2.4500","0.0786","-0.0943"
"2.5000","0.0803","-0.0922"
"2.5500","0.0822","0.1243"
"2.6000","0.0836","0.0901"
"2.6500","0.0856","-0.0563"
"2.7000","0.0871","0.0575"
"2.7500","0.0889","0.2377"
"2.8000","0.0903","0.1870"
"2.8500","0.0921","-0.0411"
"2.9000","0.0939","0.0681"
"2.9500","0.0954","0.0660"
"3.0000","0.0973","0.0544"
"3.0500","0.0987","0.2243"
"3.1000","0.1005","0.0661"
"3.1500","0.1019","0.0840"
