
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","11.9156"
"0.0500","0.0001","13.1731"
"0.1000","0.0008","34.5320"
"0.1500","0.0016","55.9505"
"0.2000","0.0038","120.7386"
"0.2500","0.0057","173.6730"
"0.3000","0.0077","226.1298"
"0.3500","0.0092","265.6907"
"0.4000","0.0111","316.9862"
"0.4500","0.0127","357.1607"
"0.5000","0.0145","404.1014"
"0.5500","0.0158","437.3636"
"0.6000","0.0176","484.6937"
"0.6500","0.0195","532.1776"
"0.7000","0.0210","571.1295"
"0.7500","0.0228","617.8922"
"0.8000","0.0243","653.7173"
"0.8500","0.0262","700.6052"
"0.9000","0.0275","733.5566"
"0.9500","0.0294","782.9622"
"1.0000","0.0311","824.0294"
"1.0500","0.0326","859.8276"
"1.1000","0.0344","904.2688"
"1.1500","0.0360","943.3003"
"1.2000","0.0379","989.4149"
"1.2500","0.0392","1019.1414"
"1.3000","0.0411","1066.2158"
"1.3500","0.0427","1104.8619"
"1.4000","0.0444","1145.2371"
"1.4500","0.0461","1186.4783"
"1.5000","0.0477","1224.7416"
"1.5500","0.0495","1265.9575"
"1.6000","0.0507","1295.2391"
"1.6500","0.0528","1343.8618"
"1.7000","0.0544","1381.9520"
"1.7500","0.0562","1422.7428"
"1.8000","0.0577","1457.0531"
"1.8500","0.0593","1494.4650"
"1.9000","0.0610","1534.0717"
"1.9500","0.0624","1566.3047"
"2.0000","0.0645","1613.4271"
"2.0500","0.0660","1646.1583"
"2.1000","0.0678","1685.7136"
"2.1500","0.0693","1719.5756"
"2.2000","0.0710","1758.8153"
"2.2500","0.0727","1796.1843"
"2.3000","0.0742","1829.8196"
"2.3500","0.0762","1874.0807"
"2.4000","0.0776","1904.8799"
"2.4500","0.0794","1944.5250"
"2.5000","0.0810","1977.9468"
"2.5500","0.0829","2018.7462"
"2.6000","0.0844","2049.8157"
"2.6500","0.0859","2082.2424"
"2.7000","0.0878","2122.3984"
"2.7500","0.0893","2153.1694"
"2.8000","0.0912","2192.0029"
"2.8500","0.0927","2220.3596"
"2.9000","0.0945","2255.3350"
"2.9500","0.0959","2281.0715"
"3.0000","0.0976","2313.6658"
"3.0500","0.0996","2349.3589"
"3.1000","0.1011","2377.0076"
"3.1500","0.1029","2409.7407"
"3.2000","0.1043","2435.3076"
"3.2500","0.1061","2468.1968"
"3.3000","0.1076","2493.2212"
"3.3500","0.1094","2525.1296"
"3.4000","0.1112","2554.7515"
"3.4500","0.1126","2579.7986"
"3.5000","0.1145","2610.8289"
"3.5500","0.1160","2636.1245"
"3.6000","0.1179","2665.3306"
"3.6500","0.1192","2685.7163"
"3.7000","0.1210","2714.5186"
"3.7500","0.1227","2740.5427"
"3.8000","0.1243","2763.7544"
"3.8500","0.1262","2790.4832"
"3.9000","0.1277","2812.2986"
"3.9500","0.1295","2836.0505"
"4.0000","0.1308","2853.4363"
"4.0500","0.1327","2877.7847"
"4.1000","0.1344","2897.0339"
"4.1500","0.1361","2915.6482"
"4.2000","0.1378","2934.6553"
"4.2500","0.1394","2949.1729"
"4.3000","0.1411","2963.9771"
"4.3500","0.1425","2974.4099"
"4.4000","0.1445","2986.9702"
"4.4500","0.1461","2994.4937"
"4.5000","0.1477","2999.1270"
"4.5500","0.1494","2999.8281"
"4.6000","0.1511","2999.6387"
"4.6500","0.1528","2999.7524"
"4.7000","0.1542","3000.0149"
"4.7500","0.1562","2999.8398"
"4.8000","0.1577","2999.9839"
"4.8500","0.1594","2999.8867"
"4.9000","0.1611","3000.1370"
"4.9500","0.1629","2999.9011"
"5.0000","0.1644","2999.8276"
"5.0500","0.1658","2999.9016"
"5.1000","0.1678","2999.8787"
"5.1500","0.1694","2999.9927"
"5.2000","0.1712","2999.9673"
"5.2500","0.1728","2999.8289"
"5.3000","0.1744","2999.7346"
"5.3500","0.1760","2999.7659"
"5.4000","0.1775","2999.9001"
"5.4500","0.1795","2999.8250"
"5.5000","0.1811","2999.7476"
"5.5500","0.1828","2999.9451"
"5.6000","0.1843","2999.8450"
"5.6500","0.1861","2999.7617"
"5.7000","0.1877","2999.8845"
"5.7500","0.1893","2999.7366"
"5.8000","0.1912","2999.6721"
"5.8500","0.1927","2999.9050"
"5.9000","0.1945","3000.0247"
"5.9500","0.1960","2999.6331"
"6.0000","0.1979","2999.7544"
"6.0500","0.1993","2999.7253"
"6.1000","0.2009","2999.7534"
"6.1500","0.2029","2999.8179"
"6.2000","0.2043","2999.8232"
"6.2500","0.2062","2999.6975"
"6.3000","0.2077","2999.7820"
"6.3500","0.2095","2999.8142"
"6.4000","0.2109","2999.8237"
"6.4500","0.2126","2999.6248"
"6.5000","0.2145","2999.6975"
"6.5500","0.2160","2999.6489"
"6.6000","0.2179","2999.7375"
"6.6500","0.2193","2999.8533"
"6.7000","0.2212","2999.6980"
"6.7500","0.2225","2999.5986"
"6.8000","0.2244","2999.7244"
"6.8500","0.2262","2999.7952"
"6.9000","0.2276","2999.7305"
"6.9500","0.2295","2999.8840"
"7.0000","0.2310","2999.7585"
"7.0500","0.2329","2999.3904"
"7.1000","0.2342","2999.6167"
"7.1500","0.2361","2999.8110"
"7.2000","0.2377","2999.7590"
"7.2500","0.2393","2999.7581"
"7.3000","0.2411","2999.7952"
"7.3500","0.2427","2999.6885"
"7.4000","0.2445","2999.5930"
"7.4500","0.2458","2999.8916"
"7.5000","0.2478","2999.6609"
"7.5500","0.2494","2999.5142"
"7.6000","0.2510","2999.8147"
"7.6500","0.2528","2999.7939"
"7.7000","0.2544","2999.7444"
"7.7500","0.2561","2999.6125"
"7.8000","0.2575","2999.7527"
"7.8500","0.2595","2999.6169"
"7.9000","0.2611","2999.6667"
"7.9500","0.2628","2999.5273"
"8.0000","0.2645","2999.8169"
"8.0500","0.2661","2999.7615"
"8.1000","0.2678","2999.7261"
"8.1500","0.2692","2999.8171"
"8.2000","0.2712","2999.7288"
"8.2500","0.2727","2999.7029"
"8.3000","0.2744","2999.6252"
"8.3500","0.2761","2999.6956"
"8.4000","0.2779","2999.8132"
"8.4500","0.2794","2999.8315"
"8.5000","0.2808","2999.8813"
"8.5500","0.2829","2999.9458"
"8.6000","0.2844","2999.9973"
"8.6500","0.2862","3000.2336"
"8.7000","0.2877","3000.3752"
"8.7500","0.2895","3000.5015"
"8.8000","0.2910","3000.3074"
"8.8500","0.2925","3000.5642"
"8.9000","0.2946","3000.4983"
"8.9500","0.2960","3000.3430"
"9.0000","0.2978","3000.4182"
"9.0500","0.2993","3000.3635"
"9.1000","0.3012","3000.3938"
"9.1500","0.3026","3000.4016"
"9.2000","0.3043","3000.4187"
"9.2500","0.3062","3000.4639"
"9.3000","0.3076","3000.3230"
"9.3500","0.3095","3000.3811"
"9.4000","0.3110","3000.3372"
"9.4500","0.3129","3000.3711"
"9.5000","0.3142","3000.5134"
"9.5500","0.3160","3000.3481"
"9.6000","0.3179","3000.4758"
"9.6500","0.3194","3000.2996"
"9.7000","0.3212","3000.4636"
"9.7500","0.3226","3000.3494"
"9.8000","0.3246","3000.4211"
"9.8500","0.3259","3000.1770"
"9.9000","0.3277","3000.3149"
"9.9500","0.3295","3000.3547"
"10.0000","0.3311","3000.4756"
"10.0500","0.3328","3000.3931"
"10.1000","0.3343","3000.4722"
"10.1500","0.3362","3000.1951"
"10.2000","0.3375","3000.4194"
"10.2500","0.3395","3000.5642"
"10.3000","0.3411","3000.3457"
"10.3500","0.3428","3000.2761"
"10.4000","0.3445","3000.3511"
"10.4500","0.3461","3000.5095"
"10.5000","0.3478","3000.6155"
"10.5500","0.3492","3000.3376"
"10.6000","0.3512","3000.4519"
"10.6500","0.3527","3000.3582"
"10.7000","0.3544","3000.6123"
"10.7500","0.3561","3000.4209"
"10.8000","0.3578","3000.4119"
"10.8500","0.3594","3000.5288"
"10.9000","0.3608","3000.4490"
"10.9500","0.3628","3000.3730"
"11.0000","0.3643","3000.5803"
"11.0500","0.3661","3000.8313"
"11.1000","0.3678","3000.6565"
"11.1500","0.3695","3000.3552"
"11.2000","0.3710","3000.5901"
"11.2500","0.3725","3000.4861"
"11.3000","0.3745","3000.5662"
"11.3500","0.3760","3000.4707"
"11.4000","0.3778","3000.7434"
"11.4500","0.3794","3000.6660"
"11.5000","0.3811","3000.3550"
"11.5500","0.3826","3000.6135"
"11.6000","0.3842","3000.4844"
"11.6500","0.3862","3000.3779"
"11.7000","0.3876","3000.4998"
"11.7500","0.3895","3000.6377"
"11.8000","0.3910","3001.1670"
"11.8500","0.3928","3002.5515"
"11.9000","0.3943","3002.5481"
"11.9500","0.3960","3002.6140"
"12.0000","0.3979","3002.7795"
"12.0500","0.3994","3002.6804"
"12.1000","0.4012","3002.8599"
"12.1500","0.4027","3002.8335"
"12.2000","0.4046","3003.0283"
"12.2500","0.4059","3002.9321"
"12.3000","0.4076","3003.3232"
"12.3500","0.4095","3003.1909"
"12.4000","0.4111","3003.4646"
"12.4500","0.4129","3003.2253"
"12.5000","0.4143","3003.3418"
"12.5500","0.4162","3003.3979"
"12.6000","0.4176","3003.2671"
"12.6500","0.4193","3003.1636"
