
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1084"
"0.0500","0.0001","0.1383"
"0.1000","0.0006","0.1710"
"0.1500","0.0009","0.2306"
"0.2000","0.0022","0.2491"
"0.2500","0.0051","0.1670"
"0.3000","0.0071","0.1392"
"0.3500","0.0089","0.0403"
"0.4000","0.0106","0.2861"
"0.4500","0.0123","0.0303"
"0.5000","0.0140","0.1049"
"0.5500","0.0156","0.0863"
"0.6000","0.0173","0.1034"
"0.6500","0.0187","0.1839"
"0.7000","0.0208","0.2742"
"0.7500","0.0223","0.2214"
"0.8000","0.0240","0.1225"
"0.8500","0.0256","0.0391"
"0.9000","0.0273","0.2338"
"0.9500","0.0289","0.0032"
"1.0000","0.0304","0.1008"
"1.0500","0.0325","-0.0360"
"1.1000","0.0339","0.1493"
"1.1500","0.0357","0.2028"
"1.2000","0.0373","0.0726"
"1.2500","0.0390","-0.0990"
"1.3000","0.0406","0.0826"
"1.3500","0.0421","0.0824"
"1.4000","0.0440","0.0898"
"1.4500","0.0455","0.0616"
"1.5000","0.0473","0.0674"
"1.5500","0.0490","0.0297"
"1.6000","0.0508","0.1325"
"1.6500","0.0522","0.1279"
"1.7000","0.0538","0.0405"
"1.7500","0.0558","0.1534"
"1.8000","0.0573","0.2730"
"1.8500","0.0591","-0.0261"
"1.9000","0.0606","0.0269"
"1.9500","0.0623","0.1935"
"2.0000","0.0638","0.2052"
"2.0500","0.0656","0.1091"
"2.1000","0.0675","0.0887"
"2.1500","0.0689","0.3089"
"2.2000","0.0707","-0.0104"
"2.2500","0.0722","0.1877"
"2.3000","0.0741","0.1557"
"2.3500","0.0755","-0.0340"
"2.4000","0.0773","0.1537"
"2.4500","0.0791","0.2441"
"2.5000","0.0806","0.1561"
"2.5500","0.0824","0.1537"
"2.6000","0.0840","0.0781"
"2.6500","0.0858","0.1295"
"2.7000","0.0871","0.1035"
"2.7500","0.0889","0.2427"
"2.8000","0.0907","0.2459"
"2.8500","0.0923","0.1015"
"2.9000","0.0941","0.1043"
"2.9500","0.0956","0.1841"
"3.0000","0.0973","0.0612"
"3.0500","0.0987","0.1277"
"3.1000","0.1006","0.1505"
"3.1500","0.1024","0.1468"
"3.2000","0.1039","0.1157"
"3.2500","0.1056","0.1733"
"3.3000","0.1072","0.0530"
"3.3500","0.1090","0.1867"
"3.4000","0.1104","0.0342"
"3.4500","0.1124","0.0811"
"3.5000","0.1140","0.0599"
"3.5500","0.1156","0.2490"
"3.6000","0.1173","0.0881"
"3.6500","0.1190","0.1451"
"3.7000","0.1207","0.0864"
"3.7500","0.1220","0.0839"
"3.8000","0.1240","0.0084"
"3.8500","0.1256","0.2248"
"3.9000","0.1273","0.1171"
"3.9500","0.1290","0.1032"
"4.0000","0.1307","0.2328"
"4.0500","0.1323","0.1965"
"4.1000","0.1337","0.2382"
"4.1500","0.1357","0.0449"
"4.2000","0.1373","0.0251"
"4.2500","0.1390","0.0293"
"4.3000","0.1406","0.1703"
"4.3500","0.1424","0.3121"
"4.4000","0.1440","0.1767"
"4.4500","0.1454","0.1744"
"4.5000","0.1475","0.1028"
"4.5500","0.1489","-0.1049"
"4.6000","0.1506","0.1011"
"4.6500","0.1523","0.0952"
"4.7000","0.1540","0.0937"
"4.7500","0.1556","0.1133"
"4.8000","0.1571","0.1428"
"4.8500","0.1591","0.2435"
"4.9000","0.1605","0.1623"
"4.9500","0.1623","0.0568"
"5.0000","0.1639","0.0218"
"5.0500","0.1658","0.2773"
"5.1000","0.1671","0.1194"
"5.1500","0.1688","0.1955"
"5.2000","0.1708","0.1651"
"5.2500","0.1722","0.1912"
"5.3000","0.1740","0.3841"
"5.3500","0.1756","0.1734"
"5.4000","0.1774","0.1838"
"5.4500","0.1788","0.0744"
"5.5000","0.1805","-0.0079"
"5.5500","0.1824","0.1501"
"5.6000","0.1838","0.1450"
"5.6500","0.1857","-0.1120"
"5.7000","0.1873","0.0247"
"5.7500","0.1891","0.2679"
"5.8000","0.1904","0.1895"
"5.8500","0.1923","-0.0058"
"5.9000","0.1941","0.0704"
"5.9500","0.1956","0.1602"
"6.0000","0.1974","0.2089"
"6.0500","0.1989","0.1879"
"6.1000","0.2008","0.2430"
"6.1500","0.2020","0.3428"
"6.2000","0.2040","0.3292"
"6.2500","0.2058","0.1454"
"6.3000","0.2073","-0.1844"
"6.3500","0.2090","0.1320"
"6.4000","0.2106","0.1228"
"6.4500","0.2125","0.2203"
"6.5000","0.2137","0.0770"
"6.5500","0.2157","0.0612"
"6.6000","0.2174","0.1242"
"6.6500","0.2190","0.1307"
"6.7000","0.2206","0.2066"
"6.7500","0.2222","-0.1665"
"6.8000","0.2240","0.0787"
"6.8500","0.2253","0.2129"
"6.9000","0.2274","0.1721"
"6.9500","0.2289","0.1490"
"7.0000","0.2306","0.1224"
"7.0500","0.2323","0.1446"
"7.1000","0.2340","-0.0843"
"7.1500","0.2357","0.0349"
"7.2000","0.2370","0.2582"
"7.2500","0.2391","0.1012"
"7.3000","0.2406","0.1418"
"7.3500","0.2423","0.0528"
"7.4000","0.2439","-0.1732"
"7.4500","0.2457","0.0862"
"7.5000","0.2473","0.1371"
"7.5500","0.2488","0.1196"
"7.6000","0.2508","0.2619"
"7.6500","0.2522","0.2109"
"7.7000","0.2541","0.2107"
"7.7500","0.2556","0.0077"
"7.8000","0.2574","0.0346"
"7.8500","0.2589","0.0432"
"7.9000","0.2605","0.1347"
"7.9500","0.2625","0.0436"
"8.0000","0.2639","0.1992"
"8.0500","0.2657","0.2251"
"8.1000","0.2672","0.1802"
"8.1500","0.2690","-0.0072"
"8.2000","0.2704","0.1743"
"8.2500","0.2722","0.1668"
"8.3000","0.2741","0.0640"
"8.3500","0.2756","0.2217"
"8.4000","0.2774","0.1876"
"8.4500","0.2789","-0.0149"
"8.5000","0.2808","0.0271"
"8.5500","0.2821","0.0311"
"8.6000","0.2839","0.0015"
"8.6500","0.2856","0.0950"
"8.7000","0.2872","0.1926"
"8.7500","0.2890","0.2975"
"8.8000","0.2906","0.0501"
"8.8500","0.2924","0.0684"
"8.9000","0.2937","0.0931"
"8.9500","0.2956","0.0278"
"9.0000","0.2974","0.1840"
"9.0500","0.2989","0.2351"
"9.1000","0.3008","0.1419"
"9.1500","0.3022","0.0617"
"9.2000","0.3040","0.1131"
"9.2500","0.3054","0.2068"
"9.3000","0.3074","-0.0443"
"9.3500","0.3090","-0.0657"
"9.4000","0.3106","0.3119"
"9.4500","0.3123","-0.0576"
"9.5000","0.3139","0.1005"
"9.5500","0.3157","0.1869"
"9.6000","0.3171","0.1720"
"9.6500","0.3191","0.2655"
"9.7000","0.3206","0.2348"
"9.7500","0.3223","0.2750"
"9.8000","0.3240","0.1231"
"9.8500","0.3258","-0.1180"
"9.9000","0.3273","0.3640"
"9.9500","0.3287","0.1686"
"10.0000","0.3307","-0.0165"
"10.0500","0.3323","0.2594"
"10.1000","0.3341","0.0307"
"10.1500","0.3357","-0.0273"
"10.2000","0.3373","0.1168"
"10.2500","0.3389","0.1502"
"10.3000","0.3403","0.1422"
"10.3500","0.3424","0.0963"
"10.4000","0.3440","0.1126"
"10.4500","0.3456","0.0166"
"10.5000","0.3472","0.2183"
"10.5500","0.3490","0.1728"
"10.6000","0.3506","0.1721"
"10.6500","0.3522","0.1015"
"10.7000","0.3541","-0.0437"
"10.7500","0.3556","-0.1019"
"10.8000","0.3573","0.0537"
"10.8500","0.3589","0.0101"
"10.9000","0.3608","-0.0724"
"10.9500","0.3622","-0.0360"
"11.0000","0.3638","0.1046"
"11.0500","0.3657","0.0773"
"11.1000","0.3672","0.2938"
"11.1500","0.3690","-0.0134"
"11.2000","0.3707","0.1582"
"11.2500","0.3724","0.1804"
"11.3000","0.3738","0.0769"
"11.3500","0.3754","0.2457"
"11.4000","0.3774","0.1490"
"11.4500","0.3789","0.2690"
"11.5000","0.3808","0.2195"
"11.5500","0.3822","0.0865"
"11.6000","0.3841","0.0064"
"11.6500","0.3855","0.0110"
"11.7000","0.3872","0.2716"
"11.7500","0.3891","0.1390"
"11.8000","0.3905","0.1452"
"11.8500","0.3924","0.0988"
"11.9000","0.3939","0.1180"
"11.9500","0.3958","0.0281"
"12.0000","0.3971","0.0600"
"12.0500","0.3990","0.3813"
"12.1000","0.4007","0.1719"
"12.1500","0.4021","0.0813"
"12.2000","0.4040","0.0527"
"12.2500","0.4056","0.3104"
"12.3000","0.4074","0.0806"
"12.3500","0.4087","0.0211"
"12.4000","0.4106","0.1200"
"12.4500","0.4123","0.0757"
"12.5000","0.4139","-0.1132"
"12.5500","0.4157","0.2020"
"12.6000","0.4173","0.1076"
"12.6500","0.4190","0.1822"
"12.7000","0.4203","0.1694"
"12.7500","0.4224","-0.0652"
"12.8000","0.4240","0.1654"
"12.8500","0.4256","0.0108"
"12.9000","0.4274","0.0647"
"12.9500","0.4290","0.3379"
"13.0000","0.4307","-0.1451"
"13.0500","0.4321","0.1247"
"13.1000","0.4341","0.0697"
"13.1500","0.4356","0.0667"
"13.2000","0.4372","-0.0462"
"13.2500","0.4389","0.1777"
"13.3000","0.4407","0.1158"
"13.3500","0.4424","0.0900"
"13.4000","0.4437","0.0871"
"13.4500","0.4458","0.2243"
"13.5000","0.4473","0.1650"
"13.5500","0.4490","0.2872"
"13.6000","0.4506","0.1122"
"13.6500","0.4524","0.1605"
"13.7000","0.4539","0.3007"
"13.7500","0.4554","0.2680"
"13.8000","0.4574","-0.0303"
"13.8500","0.4590","0.0144"
