
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1327"
"0.2500","0.0153","4.5362"
"0.5000","0.0363","8.6176"
"0.7500","0.0571","14.7363"
"1.0000","0.0779","22.6582"
"1.2500","0.0987","32.8920"
"1.5000","0.1196","45.5020"
"1.7500","0.1405","63.3866"
"2.0000","0.1613","86.9999"
"2.2500","0.1821","116.5796"
"2.5000","0.2029","157.4422"
"2.7500","0.2237","220.5396"
"3.0000","0.2446","300.9837"
"3.2500","0.2655","392.6362"
"3.5000","0.2863","488.5637"
"3.7500","0.3071","585.5165"
"4.0000","0.3279","678.3649"
"4.2500","0.3487","769.5974"
"4.5000","0.3697","860.7255"
"4.7500","0.3905","950.1768"
"5.0000","0.4112","1038.6791"
"5.2500","0.4321","1127.5917"
"5.5000","0.4529","1213.5397"
"5.7500","0.4738","1298.2808"
"6.0000","0.4947","1380.0359"
"6.2500","0.5155","1456.6045"
"6.5000","0.5362","1528.6545"
"6.7500","0.5571","1597.8422"
"7.0000","0.5779","1663.1857"
"7.2500","0.5989","1727.2645"
"7.5000","0.6197","1786.5013"
"7.7500","0.6404","1839.7952"
"8.0000","0.6612","1893.4185"
"8.2500","0.6821","1944.1631"
"8.5000","0.7029","1991.8768"
"8.7500","0.7239","2039.0997"
"9.0000","0.7446","2081.9124"
"9.2500","0.7654","2122.3691"
"9.5000","0.7862","2162.2549"
"9.7500","0.8072","2203.1667"
"10.0000","0.8280","2241.3738"
"10.2500","0.8488","2277.3787"
"10.5000","0.8696","2310.0940"
"10.7500","0.8903","2341.1379"
"11.0000","0.9113","2373.4880"
"11.2500","0.9322","2403.9714"
"11.5000","0.9529","2431.0830"
"11.7500","0.9738","2459.7446"
"12.0000","0.9946","2484.7288"
"12.2500","1.0154","2508.1414"
"12.5000","1.0364","2531.1968"
"12.7500","1.0572","2553.1685"
"13.0000","1.0779","2572.1294"
"13.2500","1.0988","2589.7280"
"13.5000","1.1196","2604.4998"
"13.7500","1.1404","2618.4292"
"14.0000","1.1614","2630.4167"
"14.2500","1.1821","2639.6545"
"14.5000","1.2030","2638.2202"
"14.7500","1.2237","2628.2922"
"15.0000","1.2446","2622.8738"
"15.2500","1.2655","2612.8767"
"15.5000","1.2864","2593.7290"
"15.7500","1.3071","2562.7024"
"16.0000","1.3279","2535.5151"
"16.2500","1.3488","2491.2271"
"16.5000","1.3697","2433.5442"
"16.7500","1.3906","2380.6589"
"17.0000","1.4113","2309.7490"
"17.2500","1.4321","2244.1724"
"17.5000","1.4529","2170.0273"
"17.7500","1.4738","2038.9326"
"18.0000","1.4947","1813.9980"
"18.2500","1.5155","1643.3663"
"18.5000","1.5363","1577.8085"
"18.7500","1.5570","1520.6132"
"19.0000","1.5779","1467.6482"
"19.2500","1.5989","1423.5487"
"19.5000","1.6197","1375.4039"
"19.7500","1.6405","1320.5585"
"20.0000","1.6613","1271.1388"
"20.2500","1.6821","1223.4633"
"20.5000","1.7030","1190.6351"
"20.7500","1.7238","1169.6283"
"21.0000","1.7447","1145.4818"
"21.2500","1.7654","1139.3717"
"21.5000","1.7862","1142.2463"
"21.7500","1.8071","1144.0247"
"22.0000","1.8280","1136.1616"
"22.2500","1.8488","1132.0168"
"22.5000","1.8696","1133.4576"
"22.7500","1.8904","1137.7041"
"23.0000","1.9112","1141.7041"
"23.1250","1.9216","1145.5005"

