
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1330"
"0.1000","0.0005","0.6297"
"0.2000","0.0015","3.1289"
"0.3000","0.0067","14.0224"
"0.4000","0.0102","18.1632"
"0.5000","0.0137","21.7386"
"0.6000","0.0171","22.3359"
"0.7000","0.0203","22.8103"
"0.8000","0.0236","23.8472"
"0.9000","0.0269","23.9558"
"1.0000","0.0302","25.5880"
"1.1000","0.0336","29.2597"
"1.2000","0.0371","33.7816"
"1.3000","0.0404","37.2812"
"1.4000","0.0438","41.0268"
"1.5000","0.0469","44.6226"
"1.6000","0.0503","47.4459"
"1.7000","0.0536","50.7510"
"1.8000","0.0568","54.1406"
"1.9000","0.0604","57.9290"
"2.0000","0.0637","61.7884"
"2.1000","0.0671","66.3469"
"2.2000","0.0703","71.2379"
"2.3000","0.0736","76.0857"
"2.4000","0.0770","81.0714"
"2.5000","0.0801","85.6065"
"2.6000","0.0837","91.2191"
"2.7000","0.0870","96.0547"
"2.8000","0.0904","100.8760"
"2.9000","0.0937","105.7951"
"3.0000","0.0970","110.3059"
"3.1000","0.1003","115.1512"
"3.2000","0.1034","119.2345"
"3.3000","0.1069","124.2178"
"3.4000","0.1103","128.7784"
"3.5000","0.1137","133.2262"
"3.6000","0.1171","138.2467"
"3.7000","0.1203","142.3728"
"3.8000","0.1237","146.3292"
"3.9000","0.1268","149.9713"
"4.0000","0.1302","154.0913"
"4.1000","0.1336","158.1296"
"4.2000","0.1368","161.5382"
"4.3000","0.1405","166.0904"
"4.4000","0.1437","169.5457"
"4.5000","0.1471","173.1892"
"4.6000","0.1503","176.5324"
"4.7000","0.1535","179.8038"
"4.8000","0.1569","183.2341"
"4.9000","0.1601","186.3853"
"5.0000","0.1638","190.4533"
"5.1000","0.1671","194.1405"
"5.2000","0.1705","198.1067"
"5.3000","0.1736","201.8767"
"5.4000","0.1770","205.9081"
"5.5000","0.1802","209.8359"
"5.6000","0.1834","213.7812"
"5.7000","0.1870","218.9811"
"5.8000","0.1903","223.1947"
"5.9000","0.1937","227.5397"
"6.0000","0.1971","232.0889"
"6.1000","0.2003","235.7838"
"6.2000","0.2037","239.8963"
"6.3000","0.2068","243.1281"
"6.4000","0.2103","247.3575"
"6.5000","0.2136","251.1222"
"6.6000","0.2169","255.0736"
"6.7000","0.2205","259.6012"
"6.8000","0.2238","263.0405"
"6.9000","0.2270","266.3318"
"7.0000","0.2302","269.7328"
"7.1000","0.2335","272.9617"
"7.2000","0.2370","276.8191"
"7.3000","0.2401","279.6790"
"7.4000","0.2437","283.7634"
"7.5000","0.2470","287.2506"
"7.6000","0.2504","290.6161"
"7.7000","0.2536","293.6736"
"7.8000","0.2569","296.5521"
"7.9000","0.2603","300.0160"
"8.0000","0.2635","302.5264"
"8.1000","0.2670","306.0242"
"8.2000","0.2704","309.4681"
"8.3000","0.2737","312.3823"
"8.4000","0.2770","315.4420"
"8.5000","0.2803","318.1328"
"8.6000","0.2836","320.9615"
"8.7000","0.2868","323.1309"
"8.8000","0.2904","326.9405"
"8.9000","0.2937","329.6052"
"9.0000","0.2970","332.5173"
"9.1000","0.3004","335.6519"
"9.2000","0.3036","337.8863"
"9.3000","0.3070","340.7165"
"9.4000","0.3101","342.9856"
"9.5000","0.3136","345.7036"
"9.6000","0.3169","348.3514"
"9.7000","0.3203","350.9899"
"9.8000","0.3238","354.3586"
"9.9000","0.3270","356.7152"
"10.0000","0.3304","359.2733"
"10.1000","0.3335","361.2003"
"10.2000","0.3369","364.2655"
"10.3000","0.3403","366.6658"
"10.4000","0.3436","369.2446"
"10.5000","0.3471","372.7267"
"10.6000","0.3504","375.3883"
"10.7000","0.3538","377.8406"
"10.8000","0.3569","380.1488"
