
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0750"
"0.0500","0.0001","0.0114"
"0.1000","0.0006","0.2585"
"0.1500","0.0010","0.2203"
"0.2000","0.0024","0.4205"
"0.2500","0.0052","0.6800"
"0.3000","0.0072","0.6924"
"0.3500","0.0091","0.5306"
"0.4000","0.0106","0.7067"
"0.4500","0.0122","0.7874"
"0.5000","0.0141","0.9018"
"0.5500","0.0157","0.7894"
"0.6000","0.0175","0.8111"
"0.6500","0.0190","1.0457"
"0.7000","0.0209","0.6874"
"0.7500","0.0222","0.7254"
"0.8000","0.0239","0.5930"
"0.8500","0.0258","0.7177"
"0.9000","0.0274","0.7570"
"0.9500","0.0292","0.6633"
"1.0000","0.0307","0.6989"
"1.0500","0.0325","0.8841"
"1.1000","0.0339","0.8520"
"1.1500","0.0357","0.7314"
"1.2000","0.0375","0.6849"
"1.2500","0.0390","0.8398"
"1.3000","0.0408","0.9374"
"1.3500","0.0423","0.9716"
"1.4000","0.0442","1.1189"
"1.4500","0.0455","0.9159"
"1.5000","0.0474","0.9464"
"1.5500","0.0491","0.7526"
"1.6000","0.0506","0.9251"
"1.6500","0.0524","0.9065"
"1.7000","0.0540","0.9488"
"1.7500","0.0558","0.9898"
"1.8000","0.0571","1.1008"
"1.8500","0.0591","0.9474"
"1.9000","0.0607","0.9663"
"1.9500","0.0624","1.0525"
"2.0000","0.0641","0.9815"
"2.0500","0.0657","1.0459"
"2.1000","0.0675","1.0189"
"2.1500","0.0688","1.0000"
"2.2000","0.0709","1.0755"
"2.2500","0.0724","1.0769"
"2.3000","0.0741","1.0745"
"2.3500","0.0757","0.8562"
"2.4000","0.0774","1.0184"
"2.4500","0.0791","0.9918"
"2.5000","0.0805","1.1104"
"2.5500","0.0825","1.0319"
"2.6000","0.0840","1.0103"
"2.6500","0.0858","1.0706"
"2.7000","0.0874","1.1239"
"2.7500","0.0892","1.3076"
"2.8000","0.0907","1.0573"
"2.8500","0.0922","1.1282"
"2.9000","0.0942","0.9217"
"2.9500","0.0957","1.0766"
"3.0000","0.0975","0.9736"
"3.0500","0.0990","1.0060"
"3.1000","0.1008","1.1691"
"3.1500","0.1023","1.0669"
"3.2000","0.1039","1.1791"
"3.2500","0.1059","1.1154"
"3.3000","0.1074","1.0968"
"3.3500","0.1092","0.9291"
"3.4000","0.1106","1.0246"
"3.4500","0.1125","1.1424"
"3.5000","0.1139","1.0355"
"3.5500","0.1156","0.8722"
"3.6000","0.1175","1.1065"
"3.6500","0.1189","0.8239"
"3.7000","0.1208","1.0237"
"3.7500","0.1223","1.3250"
"3.8000","0.1242","1.2754"
"3.8500","0.1256","1.0203"
"3.9000","0.1273","1.1667"
"3.9500","0.1292","1.0558"
"4.0000","0.1307","1.1507"
"4.0500","0.1325","1.0622"
"4.1000","0.1340","1.3340"
"4.1500","0.1359","1.2389"
"4.2000","0.1372","1.1284"
"4.2500","0.1390","0.9716"
"4.3000","0.1408","1.1128"
"4.3500","0.1424","1.1696"
"4.4000","0.1442","1.2478"
"4.4500","0.1456","0.9874"
"4.5000","0.1475","1.0762"
"4.5500","0.1488","0.9360"
"4.6000","0.1508","1.0694"
"4.6500","0.1524","1.2961"
"4.7000","0.1541","1.1263"
"4.7500","0.1558","1.2129"
"4.8000","0.1573","1.0066"
"4.8500","0.1591","0.9516"
"4.9000","0.1605","1.0983"
"4.9500","0.1625","1.2006"
"5.0000","0.1640","0.9900"
"5.0500","0.1657","0.8221"
"5.1000","0.1674","1.1079"
"5.1500","0.1691","1.1239"
"5.2000","0.1708","0.9597"
"5.2500","0.1722","1.1930"
"5.3000","0.1741","1.0622"
"5.3500","0.1756","1.0124"
"5.4000","0.1774","1.1282"
"5.4500","0.1791","1.0333"
"5.5000","0.1808","1.1681"
"5.5500","0.1823","1.0806"
"5.6000","0.1838","1.0363"
"5.6500","0.1858","1.0956"
"5.7000","0.1873","0.9959"
"5.7500","0.1892","0.9634"
"5.8000","0.1907","1.0546"
"5.8500","0.1924","1.1444"
"5.9000","0.1939","1.0548"
"5.9500","0.1956","1.0969"
"6.0000","0.1976","1.1799"
"6.0500","0.1990","1.0058"
"6.1000","0.2008","0.7181"
"6.1500","0.2023","0.9506"
"6.2000","0.2041","1.2756"
"6.2500","0.2056","1.1702"
"6.3000","0.2073","1.0053"
"6.3500","0.2092","1.1130"
"6.4000","0.2106","1.0914"
"6.4500","0.2125","0.7997"
"6.5000","0.2141","1.2744"
"6.5500","0.2159","1.1976"
"6.6000","0.2173","1.2206"
"6.6500","0.2189","1.0517"
"6.7000","0.2208","1.1522"
"6.7500","0.2224","1.0662"
"6.8000","0.2242","1.1031"
"6.8500","0.2257","1.1921"
"6.9000","0.2275","1.0299"
"6.9500","0.2288","0.9879"
"7.0000","0.2306","1.1520"
"7.0500","0.2325","0.8857"
"7.1000","0.2340","1.0894"
"7.1500","0.2358","1.2256"
"7.2000","0.2373","1.1158"
"7.2500","0.2391","1.1140"
"7.3000","0.2405","0.9402"
"7.3500","0.2424","1.1013"
"7.4000","0.2441","0.8307"
"7.4500","0.2456","1.2131"
"7.5000","0.2474","1.0036"
"7.5500","0.2490","1.2580"
"7.6000","0.2509","1.1374"
