
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1589"
"0.0500","0.0001","-0.1708"
"0.1000","0.0006","-0.0263"
"0.1500","0.0010","0.1228"
"0.2000","0.0026","0.1418"
"0.2500","0.0054","0.0538"
"0.3000","0.0074","0.2232"
"0.3500","0.0092","0.1188"
"0.4000","0.0106","-0.1008"
"0.4500","0.0124","-0.0293"
"0.5000","0.0142","0.1489"
"0.5500","0.0158","0.1120"
"0.6000","0.0175","-0.1160"
"0.6500","0.0191","-0.0139"
"0.7000","0.0209","0.1693"
"0.7500","0.0223","-0.0002"
"0.8000","0.0242","0.4043"
"0.8500","0.0259","0.1990"
"0.9000","0.0274","0.2936"
"0.9500","0.0292","0.5297"
"1.0000","0.0308","0.4139"
"1.0500","0.0327","0.3383"
"1.1000","0.0340","0.4505"
"1.1500","0.0359","0.5042"
"1.2000","0.0375","0.4615"
"1.2500","0.0392","0.5743"
"1.3000","0.0409","0.5496"
"1.3500","0.0425","0.7280"
"1.4000","0.0443","0.5202"
"1.4500","0.0456","0.5490"
"1.5000","0.0476","0.6274"
"1.5500","0.0492","0.5529"
"1.6000","0.0509","0.6463"
"1.6500","0.0526","0.5052"
"1.7000","0.0542","0.6259"
"1.7500","0.0559","0.6204"
"1.8000","0.0573","0.6088"
"1.8500","0.0593","0.5329"
"1.9000","0.0608","0.4867"
"1.9500","0.0625","0.5217"
"2.0000","0.0642","0.6398"
"2.0500","0.0659","0.7020"
"2.1000","0.0675","0.5907"
"2.1500","0.0690","0.6223"
"2.2000","0.0710","0.5148"
"2.2500","0.0724","0.5089"
"2.3000","0.0742","0.7369"
"2.3500","0.0758","0.5838"
"2.4000","0.0776","0.4476"
"2.4500","0.0791","0.6268"
"2.5000","0.0806","0.8691"
"2.5500","0.0826","0.5123"
"2.6000","0.0841","0.7974"
"2.6500","0.0859","0.6283"
"2.7000","0.0875","0.6207"
"2.7500","0.0893","0.8397"
"2.8000","0.0907","0.5960"
"2.8500","0.0924","0.7673"
"2.9000","0.0943","0.6969"
"2.9500","0.0957","0.7205"
"3.0000","0.0976","0.7684"
"3.0500","0.0991","0.7670"
"3.1000","0.1010","0.8179"
"3.1500","0.1024","0.5923"
"3.2000","0.1041","0.7868"
"3.2500","0.1060","0.8333"
"3.3000","0.1074","0.8291"
"3.3500","0.1093","0.6418"
"3.4000","0.1108","0.6395"
"3.4500","0.1127","0.6397"
"3.5000","0.1140","0.7856"
"3.5500","0.1158","0.9937"
"3.6000","0.1176","0.8601"
"3.6500","0.1191","0.7268"
"3.7000","0.1210","0.7789"
"3.7500","0.1225","0.7330"
"3.8000","0.1243","0.9419"
"3.8500","0.1256","0.9442"
"3.9000","0.1275","0.8596"
"3.9500","0.1292","0.7652"
"4.0000","0.1309","0.8073"
"4.0500","0.1326","0.7375"
"4.1000","0.1340","0.7819"
"4.1500","0.1359","0.8928"
"4.2000","0.1372","0.8958"
"4.2500","0.1393","0.7964"
"4.3000","0.1409","0.8181"
"4.3500","0.1425","1.0522"
"4.4000","0.1442","0.8780"
"4.4500","0.1458","0.8476"
"4.5000","0.1476","0.8048"
"4.5500","0.1490","0.8583"
"4.6000","0.1510","1.0175"
"4.6500","0.1525","1.0505"
"4.7000","0.1542","0.9072"
"4.7500","0.1558","1.0510"
"4.8000","0.1576","0.8521"
"4.8500","0.1592","1.0380"
"4.9000","0.1606","0.7455"
"4.9500","0.1626","0.8051"
"5.0000","0.1641","1.1053"
"5.0500","0.1660","1.0510"
"5.1000","0.1675","0.8909"
"5.1500","0.1692","0.8259"
"5.2000","0.1708","0.6704"
"5.2500","0.1723","0.9784"
"5.3000","0.1744","1.0076"
"5.3500","0.1758","0.8780"
"5.4000","0.1776","0.9340"
"5.4500","0.1791","0.8956"
"5.5000","0.1809","1.2352"
"5.5500","0.1824","1.7603"
"5.6000","0.1841","1.4821"
"5.6500","0.1860","1.5932"
"5.7000","0.1874","1.6254"
"5.7500","0.1892","1.6696"
"5.8000","0.1908","1.5518"
"5.8500","0.1926","1.6714"
"5.9000","0.1940","1.8615"
"5.9500","0.1957","1.8400"
"6.0000","0.1976","1.7720"
"6.0500","0.1990","1.8617"
"6.1000","0.2009","1.7478"
"6.1500","0.2025","1.7570"
"6.2000","0.2043","1.9326"
"6.2500","0.2056","1.8781"
"6.3000","0.2074","2.1862"
"6.3500","0.2093","2.3372"
"6.4000","0.2108","2.4742"
"6.4500","0.2127","2.9066"
"6.5000","0.2141","3.1885"
"6.5500","0.2159","3.5858"
"6.6000","0.2173","4.4797"
"6.6500","0.2192","5.9916"
"6.7000","0.2209","7.1419"
"6.7500","0.2224","8.1371"
"6.8000","0.2242","9.4475"
"6.8500","0.2258","10.1771"
"6.9000","0.2276","10.7773"
"6.9500","0.2290","11.3609"
"7.0000","0.2309","12.6119"
"7.0500","0.2325","13.1769"
"7.1000","0.2342","14.2797"
"7.1500","0.2359","15.2328"
"7.2000","0.2375","16.3844"
"7.2500","0.2393","17.6053"
"7.3000","0.2406","18.5127"
"7.3500","0.2425","20.1636"
"7.4000","0.2442","21.4603"
"7.4500","0.2459","22.7466"
"7.5000","0.2476","24.1932"
"7.5500","0.2491","25.3693"
"7.6000","0.2509","26.9730"
"7.6500","0.2523","28.2267"
"7.7000","0.2543","30.2649"
"7.7500","0.2558","31.8964"
"7.8000","0.2575","33.7319"
"7.8500","0.2592","35.6091"
"7.9000","0.2608","37.4611"
"7.9500","0.2625","39.3520"
"8.0000","0.2640","41.3009"
"8.0500","0.2659","43.9118"
"8.1000","0.2675","45.8218"
"8.1500","0.2692","48.3495"
"8.2000","0.2708","50.5715"
"8.2500","0.2726","53.1432"
"8.3000","0.2742","55.1715"
"8.3500","0.2756","57.2857"
"8.4000","0.2776","60.3268"
"8.4500","0.2792","62.5133"
"8.5000","0.2809","65.0021"
"8.5500","0.2825","67.2158"
"8.6000","0.2842","69.7774"
"8.6500","0.2858","71.8217"
"8.7000","0.2874","74.0747"
"8.7500","0.2893","77.1984"
"8.8000","0.2908","79.2934"
"8.8500","0.2926","82.3570"
"8.9000","0.2942","84.4583"
"8.9500","0.2959","87.3112"
"9.0000","0.2974","89.4012"
"9.0500","0.2991","91.8051"
"9.1000","0.3010","94.8763"
"9.1500","0.3024","96.7970"
"9.2000","0.3043","99.9463"
"9.2500","0.3059","102.4594"
"9.3000","0.3076","105.2016"
"9.3500","0.3090","107.4253"
"9.4000","0.3107","109.7276"
"9.4500","0.3126","113.0258"
"9.5000","0.3141","115.0869"
"9.5500","0.3159","118.0652"
"9.6000","0.3175","120.3779"
"9.6500","0.3193","123.2853"
"9.7000","0.3206","125.3110"
"9.7500","0.3224","128.1176"
"9.8000","0.3242","131.0514"
"9.8500","0.3257","133.1658"
"9.9000","0.3276","136.1442"
"9.9500","0.3291","138.6084"
"10.0000","0.3310","141.5976"
"10.0500","0.3323","143.5164"
"10.1000","0.3342","146.7258"
"10.1500","0.3359","149.1200"
"10.2000","0.3374","151.2938"
"10.2500","0.3393","154.4953"
"10.3000","0.3408","156.6606"
"10.3500","0.3426","159.3511"
"10.4000","0.3439","161.3043"
"10.4500","0.3459","164.6693"
"10.5000","0.3475","167.0982"
"10.5500","0.3491","169.4298"
"10.6000","0.3509","172.5612"
"10.6500","0.3526","175.0049"
"10.7000","0.3543","177.6121"
"10.7500","0.3556","179.1835"
"10.8000","0.3576","182.6836"
"10.8500","0.3592","184.8051"
"10.9000","0.3608","187.1396"
"10.9500","0.3625","189.6047"
"11.0000","0.3642","192.2396"
"11.0500","0.3659","194.2995"
"11.1000","0.3672","196.0549"
"11.1500","0.3693","199.3720"
"11.2000","0.3709","201.5917"
"11.2500","0.3727","204.5025"
"11.3000","0.3741","206.6147"
