
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0897"
"0.0500","0.0001","0.1143"
"0.1000","0.0006","-0.0862"
"0.1500","0.0010","0.0844"
"0.2000","0.0021","-0.0271"
"0.2500","0.0050","-0.1691"
"0.3000","0.0071","0.0585"
"0.3500","0.0089","0.0183"
"0.4000","0.0106","-0.0205"
"0.4500","0.0123","-0.0553"
"0.5000","0.0140","0.1489"
"0.5500","0.0156","0.2145"
"0.6000","0.0173","0.2195"
"0.6500","0.0187","0.0918"
"0.7000","0.0208","0.1197"
"0.7500","0.0223","0.0055"
"0.8000","0.0240","0.1034"
"0.8500","0.0256","0.0372"
"0.9000","0.0273","0.0091"
"0.9500","0.0289","-0.0362"
"1.0000","0.0304","0.0776"
"1.0500","0.0325","-0.0177"
"1.1000","0.0339","0.0438"
"1.1500","0.0356","0.1679"
"1.2000","0.0373","-0.0002"
"1.2500","0.0390","-0.0126"
"1.3000","0.0406","-0.0037"
"1.3500","0.0421","0.0625"
"1.4000","0.0441","0.1773"
"1.4500","0.0455","0.1292"
"1.5000","0.0473","0.0907"
"1.5500","0.0490","0.2607"
"1.6000","0.0507","0.1831"
"1.6500","0.0521","-0.0383"
"1.7000","0.0538","-0.0054"
"1.7500","0.0558","0.0932"
"1.8000","0.0572","-0.0063"
"1.8500","0.0591","0.0284"
"1.9000","0.0606","0.0029"
"1.9500","0.0623","-0.0993"
"2.0000","0.0638","0.0863"
"2.0500","0.0656","0.1964"
"2.1000","0.0675","0.0943"
"2.1500","0.0689","0.1326"
"2.2000","0.0707","-0.0844"
"2.2500","0.0722","-0.0165"
"2.3000","0.0741","0.0024"
"2.3500","0.0755","0.1266"
"2.4000","0.0773","0.1490"
"2.4500","0.0790","0.0103"
"2.5000","0.0805","0.1817"
"2.5500","0.0824","-0.0673"
"2.6000","0.0840","0.1645"
"2.6500","0.0858","0.0211"
"2.7000","0.0871","0.0549"
"2.7500","0.0889","0.0798"
"2.8000","0.0907","0.1305"
"2.8500","0.0923","0.0947"
"2.9000","0.0941","0.0567"
"2.9500","0.0956","0.0248"
"3.0000","0.0973","0.0319"
"3.0500","0.0987","0.1345"
"3.1000","0.1006","-0.0523"
"3.1500","0.1024","0.2344"
"3.2000","0.1039","-0.0447"
"3.2500","0.1056","0.0752"
"3.3000","0.1072","0.1848"
"3.3500","0.1090","0.0665"
"3.4000","0.1104","0.0978"
"3.4500","0.1124","0.0169"
"3.5000","0.1140","0.1997"
"3.5500","0.1156","0.1925"
"3.6000","0.1173","0.0738"
"3.6500","0.1189","0.0598"
"3.7000","0.1207","0.0175"
"3.7500","0.1220","0.0640"
"3.8000","0.1240","0.0933"
"3.8500","0.1256","0.1027"
"3.9000","0.1273","0.0066"
"3.9500","0.1290","0.1570"
"4.0000","0.1307","0.0447"
"4.0500","0.1323","-0.0446"
"4.1000","0.1337","0.0599"
"4.1500","0.1357","0.2404"
"4.2000","0.1373","0.2132"
"4.2500","0.1390","0.1338"
"4.3000","0.1406","0.3082"
"4.3500","0.1424","0.1596"
"4.4000","0.1439","0.2772"
"4.4500","0.1454","0.1825"
"4.5000","0.1475","-0.0104"
"4.5500","0.1489","0.1058"
"4.6000","0.1506","0.0534"
"4.6500","0.1523","0.1433"
"4.7000","0.1540","0.1424"
"4.7500","0.1555","0.1118"
"4.8000","0.1571","0.0662"
"4.8500","0.1591","0.1033"
"4.9000","0.1605","0.2165"
"4.9500","0.1623","0.1342"
"5.0000","0.1639","0.2766"
"5.0500","0.1658","-0.0278"
"5.1000","0.1671","0.2027"
"5.1500","0.1688","-0.0522"
"5.2000","0.1708","0.0853"
"5.2500","0.1722","-0.0990"
"5.3000","0.1740","0.1381"
"5.3500","0.1756","0.0498"
"5.4000","0.1774","0.0362"
"5.4500","0.1788","0.1547"
"5.5000","0.1805","0.1162"
"5.5500","0.1824","0.0918"
"5.6000","0.1838","-0.0616"
"5.6500","0.1857","0.0745"
"5.7000","0.1872","-0.0382"
"5.7500","0.1891","0.1935"
"5.8000","0.1904","0.0949"
"5.8500","0.1923","0.1984"
"5.9000","0.1941","0.0685"
"5.9500","0.1955","0.1105"
"6.0000","0.1974","0.1714"
"6.0500","0.1989","-0.0371"
"6.1000","0.2008","0.0142"
"6.1500","0.2020","0.0554"
"6.2000","0.2040","0.0597"
"6.2500","0.2058","0.0875"
"6.3000","0.2073","0.1359"
"6.3500","0.2090","0.0283"
"6.4000","0.2105","-0.0644"
"6.4500","0.2124","0.0454"
"6.5000","0.2137","0.0158"
"6.5500","0.2157","0.2091"
"6.6000","0.2174","0.0308"
"6.6500","0.2190","-0.0186"
"6.7000","0.2206","0.1742"
"6.7500","0.2222","0.2001"
"6.8000","0.2240","-0.0331"
"6.8500","0.2254","0.0736"
"6.9000","0.2274","-0.0580"
"6.9500","0.2289","-0.0103"
"7.0000","0.2306","0.0819"
"7.0500","0.2323","0.0372"
"7.1000","0.2340","0.2139"
"7.1500","0.2357","0.1651"
"7.2000","0.2370","0.4172"
"7.2500","0.2391","0.1417"
"7.3000","0.2406","0.0727"
"7.3500","0.2423","0.1738"
"7.4000","0.2439","0.0994"
"7.4500","0.2457","0.1874"
"7.5000","0.2473","0.1725"
"7.5500","0.2488","0.1025"
"7.6000","0.2508","0.1532"
"7.6500","0.2522","0.0792"
"7.7000","0.2541","-0.0171"
"7.7500","0.2555","-0.0034"
"7.8000","0.2574","-0.0994"
"7.8500","0.2589","-0.0867"
"7.9000","0.2605","0.0515"
"7.9500","0.2625","0.2061"
