
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0300"
"0.0500","0.0001","-0.0835"
"0.1000","0.0007","-0.1550"
"0.1500","0.0010","-0.1733"
"0.2000","0.0024","0.1120"
"0.2500","0.0054","-0.0912"
"0.3000","0.0075","0.1638"
"0.3500","0.0090","0.0098"
"0.4000","0.0106","0.1271"
"0.4500","0.0126","0.0154"
"0.5000","0.0141","0.3461"
"0.5500","0.0159","0.1682"
"0.6000","0.0173","0.2586"
"0.6500","0.0192","0.3430"
"0.7000","0.0206","0.2967"
"0.7500","0.0224","0.3236"
"0.8000","0.0243","0.3292"
"0.8500","0.0257","0.5076"
"0.9000","0.0275","0.3591"
"0.9500","0.0290","0.4824"
"1.0000","0.0309","0.5670"
"1.0500","0.0323","0.6356"
"1.1000","0.0341","0.6944"
"1.1500","0.0359","0.8218"
"1.2000","0.0374","0.7020"
"1.2500","0.0392","0.8555"
"1.3000","0.0407","0.7937"
"1.3500","0.0427","0.7490"
"1.4000","0.0439","1.0034"
"1.4500","0.0458","1.0533"
"1.5000","0.0475","1.0423"
"1.5500","0.0491","1.1857"
"1.6000","0.0509","1.4692"
"1.6500","0.0524","1.5395"
"1.7000","0.0542","1.3270"
"1.7500","0.0556","1.6810"
"1.8000","0.0576","1.8796"
"1.8500","0.0592","2.1470"
"1.9000","0.0608","2.4739"
"1.9500","0.0625","2.4718"
"2.0000","0.0641","2.6247"
"2.0500","0.0658","2.5790"
"2.1000","0.0673","2.5918"
"2.1500","0.0693","2.8924"
"2.2000","0.0707","2.8842"
"2.2500","0.0725","3.0137"
"2.3000","0.0741","2.8628"
"2.3500","0.0758","2.7007"
"2.4000","0.0775","2.8510"
"2.4500","0.0789","2.8990"
"2.5000","0.0809","2.7983"
"2.5500","0.0823","2.8624"
"2.6000","0.0841","2.7291"
"2.6500","0.0858","2.8734"
"2.7000","0.0875","2.9775"
"2.7500","0.0890","2.9048"
"2.8000","0.0906","2.8021"
"2.8500","0.0926","2.7643"
"2.9000","0.0941","2.7263"
"2.9500","0.0959","2.8349"
"3.0000","0.0975","2.9302"
"3.0500","0.0992","2.8181"
"3.1000","0.1007","2.9541"
"3.1500","0.1024","2.7517"
"3.2000","0.1043","2.7673"
"3.2500","0.1057","3.1195"
"3.3000","0.1075","3.0111"
"3.3500","0.1091","2.8204"
"3.4000","0.1109","3.0320"
"3.4500","0.1123","3.0219"
"3.5000","0.1141","3.0641"
"3.5500","0.1159","2.8244"
"3.6000","0.1174","2.8849"
"3.6500","0.1192","2.8761"
"3.7000","0.1208","2.8180"
"3.7500","0.1226","2.7901"
"3.8000","0.1239","3.0161"
"3.8500","0.1257","3.0779"
"3.9000","0.1275","2.9524"
"3.9500","0.1291","2.8011"
"4.0000","0.1309","2.8668"
"4.0500","0.1324","2.8648"
"4.1000","0.1342","3.0356"
"4.1500","0.1356","2.7123"
"4.2000","0.1374","2.9418"
"4.2500","0.1392","3.0319"
"4.3000","0.1407","3.0064"
"4.3500","0.1425","2.8045"
"4.4000","0.1441","3.0803"
"4.4500","0.1459","2.9586"
"4.5000","0.1473","2.8833"
"4.5500","0.1492","2.9049"
"4.6000","0.1508","3.0239"
"4.6500","0.1524","3.0412"
"4.7000","0.1542","3.0619"
"4.7500","0.1558","3.1615"
"4.8000","0.1576","3.0879"
"4.8500","0.1589","3.2085"
"4.9000","0.1608","3.0668"
"4.9500","0.1625","3.0367"
"5.0000","0.1641","2.9974"
"5.0500","0.1659","3.1398"
"5.1000","0.1675","3.2911"
"5.1500","0.1692","3.3728"
"5.2000","0.1706","3.3148"
"5.2500","0.1725","3.1906"
"5.3000","0.1742","3.2184"
"5.3500","0.1758","3.1743"
"5.4000","0.1775","3.2705"
"5.4500","0.1791","3.5373"
"5.5000","0.1808","3.2537"
"5.5500","0.1823","3.3976"
"5.6000","0.1843","3.3488"
"5.6500","0.1857","3.2250"
"5.7000","0.1875","3.2647"
"5.7500","0.1892","3.4224"
"5.8000","0.1909","3.5266"
"5.8500","0.1925","3.2061"
"5.9000","0.1939","3.5729"
"5.9500","0.1959","3.5353"
"6.0000","0.1974","3.7181"
"6.0500","0.1991","3.6097"
"6.1000","0.2008","3.6330"
"6.1500","0.2026","3.6291"
"6.2000","0.2040","3.6110"
"6.2500","0.2056","3.7473"
"6.3000","0.2076","3.5597"
"6.3500","0.2090","3.5720"
"6.4000","0.2109","3.5365"
"6.4500","0.2124","3.4501"
"6.5000","0.2142","3.5980"
"6.5500","0.2157","3.6877"
"6.6000","0.2173","3.4670"
"6.6500","0.2193","3.4801"
"6.7000","0.2207","3.5949"
"6.7500","0.2226","3.6448"
"6.8000","0.2241","3.6026"
"6.8500","0.2259","3.6802"
"6.9000","0.2273","3.6333"
"6.9500","0.2290","3.6269"
"7.0000","0.2309","3.6246"
"7.0500","0.2324","3.5592"
"7.1000","0.2342","3.5797"
"7.1500","0.2358","3.4669"
"7.2000","0.2377","3.3686"
"7.2500","0.2389","3.5476"
"7.3000","0.2408","3.6311"
"7.3500","0.2426","3.4025"
"7.4000","0.2441","3.6198"
"7.4500","0.2459","3.5565"
"7.5000","0.2474","3.5430"
"7.5500","0.2493","3.6215"
"7.6000","0.2506","3.5754"
"7.6500","0.2525","3.5187"
