
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1179"
"0.2500","0.0162","9.9239"
"0.5000","0.0370","29.9332"
"0.7500","0.0578","55.9838"
"1.0000","0.0786","84.1889"
"1.2500","0.0996","107.8978"
"1.5000","0.1204","131.2139"
"1.7500","0.1412","156.3531"
"2.0000","0.1620","183.9758"
"2.2500","0.1828","214.0624"
"2.5000","0.2037","246.9242"
"2.7500","0.2246","283.2483"
"3.0000","0.2453","320.1246"
"3.2500","0.2662","359.0397"
"3.5000","0.2870","397.9604"
"3.7500","0.3078","437.7028"
"4.0000","0.3287","477.7855"
"4.2500","0.3496","517.2328"
"4.5000","0.3703","558.1609"
"4.7500","0.3911","599.0333"
"5.0000","0.4120","643.4670"
"5.2500","0.4329","690.3878"
"5.5000","0.4538","737.9037"
"5.7500","0.4746","787.4434"
"6.0000","0.4953","840.6671"
"6.2500","0.5162","896.5421"
"6.5000","0.5370","955.6042"
"6.7500","0.5579","1015.3517"
"7.0000","0.5787","1073.7427"
"7.2500","0.5995","1131.2721"
"7.5000","0.6202","1187.2692"
"7.7500","0.6412","1244.1804"
"8.0000","0.6621","1300.3656"
"8.2500","0.6829","1354.6215"
"8.5000","0.7037","1406.8859"
"8.7500","0.7245","1457.3226"
"9.0000","0.7453","1508.1478"
"9.2500","0.7662","1558.8010"
"9.5000","0.7871","1609.1293"
"9.7500","0.8079","1649.7793"
"10.0000","0.8287","1698.3306"
"10.2500","0.8494","1744.6758"
"10.5000","0.8703","1793.2137"
"10.7500","0.8913","1840.3580"
"11.0000","0.9120","1882.3302"
"11.2500","0.9328","1923.7037"
"11.5000","0.9536","1965.3586"
"11.7500","0.9744","2006.1522"
"12.0000","0.9954","2047.5541"
"12.2500","1.0163","2087.9255"
"12.5000","1.0370","2126.2278"
"12.7500","1.0578","2163.7861"
"13.0000","1.0786","2199.9724"
"13.2500","1.0995","2236.4490"
"13.5000","1.1205","2274.3049"
"13.7500","1.1412","2306.5354"
"14.0000","1.1619","2338.0166"
"14.2500","1.1829","2370.9238"
"14.5000","1.2037","2401.6719"
"14.7500","1.2245","2429.8906"
"15.0000","1.2455","2454.1873"
"15.2500","1.2662","2477.2478"
"15.5000","1.2869","2495.6538"
"15.7500","1.3078","2518.0505"
"16.0000","1.3287","2529.5520"
"16.2500","1.3496","2552.7534"
"16.5000","1.3704","2567.1331"
"16.7500","1.3911","2577.5593"
"17.0000","1.4120","2581.1277"
"17.2500","1.4329","2587.6675"
"17.5000","1.4537","2590.0305"
"17.7500","1.4745","2529.2273"
"18.0000","1.4954","2456.7349"
"18.2500","1.5161","2384.9844"
"18.5000","1.5369","2359.5432"
"18.7500","1.5579","2335.0330"
"19.0000","1.5787","2300.5469"
"19.2500","1.5995","2269.6897"
"19.5000","1.6204","2250.4377"
"19.7500","1.6411","2230.0193"
"20.0000","1.6621","2067.7693"
"20.2500","1.6830","1852.5524"
"20.5000","1.7037","1656.9696"
"20.7500","1.7245","1574.7916"
"21.0000","1.7453","1523.8035"
"21.2500","1.7661","1489.3876"
"21.5000","1.7871","1409.0735"
"21.7500","1.8079","979.1231"
"22.0000","1.8287","871.2657"
"22.2500","1.8495","789.0464"
"22.3070","1.8543","640.2937"

