
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0199"
"0.0500","0.0001","0.0811"
"0.1000","0.0006","0.0779"
"0.1500","0.0009","0.0218"
"0.2000","0.0022","-0.0669"
"0.2500","0.0051","0.0013"
"0.3000","0.0071","-0.0305"
"0.3500","0.0090","-0.0975"
"0.4000","0.0105","0.0398"
"0.4500","0.0123","0.0270"
"0.5000","0.0139","0.0398"
"0.5500","0.0157","0.0491"
"0.6000","0.0172","0.0412"
"0.6500","0.0188","0.0121"
"0.7000","0.0207","-0.0028"
"0.7500","0.0221","0.0518"
"0.8000","0.0240","0.0291"
"0.8500","0.0256","-0.2354"
"0.9000","0.0274","-0.0050"
"0.9500","0.0288","-0.0271"
"1.0000","0.0305","-0.0781"
"1.0500","0.0324","0.0824"
"1.1000","0.0338","-0.0041"
"1.1500","0.0357","0.2243"
"1.2000","0.0372","-0.0095"
"1.2500","0.0391","-0.1946"
"1.3000","0.0404","0.0664"
"1.3500","0.0422","0.0676"
"1.4000","0.0441","0.1422"
"1.4500","0.0455","0.1148"
"1.5000","0.0474","0.2609"
"1.5500","0.0489","0.0353"
"1.6000","0.0507","0.0338"
"1.6500","0.0521","-0.0588"
"1.7000","0.0540","-0.0335"
"1.7500","0.0557","-0.0604"
"1.8000","0.0572","0.1016"
"1.8500","0.0590","-0.0216"
"1.9000","0.0606","-0.0220"
"1.9500","0.0625","0.0408"
"2.0000","0.0637","-0.0704"
"2.0500","0.0657","0.0768"
"2.1000","0.0674","-0.0016"
"2.1500","0.0690","-0.1668"
"2.2000","0.0707","0.1010"
"2.2500","0.0722","-0.0401"
"2.3000","0.0741","-0.0461"
"2.3500","0.0753","0.0208"
"2.4000","0.0774","0.1095"
"2.4500","0.0790","-0.1120"
"2.5000","0.0807","-0.1649"
"2.5500","0.0823","-0.0422"
"2.6000","0.0839","0.0897"
"2.6500","0.0856","0.0943"
"2.7000","0.0870","-0.0195"
"2.7500","0.0891","0.0760"
"2.8000","0.0906","0.1295"
"2.8500","0.0923","-0.1653"
"2.9000","0.0939","-0.0318"
"2.9500","0.0956","0.0744"
"3.0000","0.0973","0.0043"
"3.0500","0.0987","-0.0270"
"3.1000","0.1008","-0.0111"
"3.1500","0.1023","-0.0570"
"3.2000","0.1040","-0.1844"
"3.2500","0.1055","-0.0355"
"3.3000","0.1074","-0.0155"
"3.3500","0.1089","-0.0943"
"3.4000","0.1104","-0.1174"
"3.4500","0.1124","-0.0977"
"3.5000","0.1139","-0.1546"
"3.5500","0.1158","-0.2887"
"3.6000","0.1172","0.0673"
"3.6500","0.1191","0.0302"
"3.7000","0.1205","-0.1126"
"3.7500","0.1222","-0.0283"
"3.8000","0.1241","0.0350"
"3.8500","0.1256","-0.1065"
"3.9000","0.1274","-0.1149"
"3.9500","0.1289","0.1440"
"4.0000","0.1307","0.1444"
"4.0500","0.1321","-0.0312"
"4.1000","0.1339","-0.0693"
"4.1500","0.1357","0.0112"
"4.2000","0.1372","0.0342"
"4.2500","0.1391","0.2220"
"4.3000","0.1406","0.1409"
"4.3500","0.1424","-0.0183"
"4.4000","0.1438","-0.0387"
"4.4500","0.1456","-0.0233"
"4.5000","0.1473","-0.1064"
"4.5500","0.1488","-0.0327"
"4.6000","0.1507","-0.0364"
"4.6500","0.1523","0.1368"
"4.7000","0.1540","-0.0396"
"4.7500","0.1553","0.0046"
"4.8000","0.1573","0.1606"
"4.8500","0.1590","-0.0149"
"4.9000","0.1606","0.1276"
"4.9500","0.1624","-0.1033"
"5.0000","0.1639","0.0253"
"5.0500","0.1656","0.1315"
"5.1000","0.1671","0.0693"
"5.1500","0.1691","-0.0357"
"5.2000","0.1707","0.0428"
"5.2500","0.1723","0.0314"
"5.3000","0.1740","-0.0513"
"5.3500","0.1756","-0.0392"
"5.4000","0.1773","0.1860"
"5.4500","0.1788","0.0395"
"5.5000","0.1807","0.0180"
"5.5500","0.1822","-0.0292"
"5.6000","0.1839","-0.0745"
"5.6500","0.1857","0.0903"
"5.7000","0.1874","-0.0054"
"5.7500","0.1890","0.0071"
"5.8000","0.1904","-0.0406"
"5.8500","0.1923","-0.0405"
"5.9000","0.1939","0.0484"
"5.9500","0.1957","0.1080"
"6.0000","0.1973","0.0091"
"6.0500","0.1990","0.0436"
"6.1000","0.2005","-0.2264"
"6.1500","0.2020","-0.0292"
"6.2000","0.2041","-0.0340"
"6.2500","0.2056","0.0479"
"6.3000","0.2073","-0.0499"
"6.3500","0.2089","-0.0856"
"6.4000","0.2106","0.0210"
"6.4500","0.2122","-0.1946"
"6.5000","0.2138","-0.0271"
"6.5500","0.2158","0.0275"
"6.6000","0.2172","0.1678"
"6.6500","0.2190","0.1573"
"6.7000","0.2205","0.0081"
"6.7500","0.2224","-0.0426"
"6.8000","0.2239","-0.0675"
"6.8500","0.2255","0.0734"
"6.9000","0.2274","0.0697"
"6.9500","0.2289","-0.1429"
"7.0000","0.2307","0.0969"
"7.0500","0.2323","0.1810"
"7.1000","0.2341","0.1384"
"7.1500","0.2354","0.2460"
"7.2000","0.2371","0.1433"
"7.2500","0.2391","0.1163"
"7.3000","0.2406","0.2442"
"7.3500","0.2424","0.2085"
"7.4000","0.2439","0.2402"
"7.4500","0.2457","0.2816"
"7.5000","0.2471","0.2616"
"7.5500","0.2489","0.3034"
"7.6000","0.2508","0.0355"
"7.6500","0.2522","0.0255"
"7.7000","0.2540","0.2789"
"7.7500","0.2556","0.1046"
"7.8000","0.2574","0.3814"
"7.8500","0.2588","0.2510"
"7.9000","0.2606","0.1234"
"7.9500","0.2623","0.1809"
"8.0000","0.2638","0.3914"
"8.0500","0.2657","0.3158"
"8.1000","0.2673","0.1021"
"8.1500","0.2691","0.1140"
"8.2000","0.2704","0.1253"
"8.2500","0.2723","0.0440"
"8.3000","0.2739","0.3433"
"8.3500","0.2756","0.4748"
"8.4000","0.2774","0.3250"
"8.4500","0.2789","0.3108"
"8.5000","0.2807","0.4625"
"8.5500","0.2820","0.3738"
"8.6000","0.2841","0.4767"
"8.6500","0.2856","0.5393"
"8.7000","0.2873","0.4669"
"8.7500","0.2890","0.4690"
"8.8000","0.2906","0.3185"
"8.8500","0.2923","0.3776"
"8.9000","0.2937","0.3270"
"8.9500","0.2958","0.4638"
"9.0000","0.2972","0.2137"
"9.0500","0.2990","0.4298"
"9.1000","0.3006","0.3258"
"9.1500","0.3024","0.5070"
"9.2000","0.3040","0.4204"
