
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.3021"
"0.2500","0.0150","3.7811"
"0.5000","0.0360","5.8176"
"0.7500","0.0568","7.2030"
"1.0000","0.0777","8.3753"
"1.2500","0.0985","10.2233"
"1.5000","0.1193","12.0436"
"1.7500","0.1401","14.0774"
"2.0000","0.1610","16.6626"
"2.2500","0.1819","19.7092"
"2.5000","0.2027","22.6768"
"2.7500","0.2235","26.0829"
"3.0000","0.2443","30.0437"
"3.2500","0.2651","30.3160"
"3.5000","0.2860","37.7029"
"3.7500","0.3069","43.2879"
"4.0000","0.3277","48.9072"
"4.2500","0.3485","55.4126"
"4.5000","0.3692","64.0347"
"4.7500","0.3902","73.7261"
"5.0000","0.4111","84.5784"
"5.2500","0.4319","96.4543"
"5.5000","0.4527","110.4044"
"5.7500","0.4735","126.9088"
"6.0000","0.4943","146.2570"
"6.2500","0.5152","169.2985"
"6.5000","0.5360","196.1056"
"6.7500","0.5569","226.1102"
"7.0000","0.5776","260.5276"
"7.2500","0.5984","301.5366"
"7.5000","0.6194","352.4256"
"7.7500","0.6402","409.2928"
"8.0000","0.6610","470.6608"
"8.2500","0.6818","535.7359"
"8.5000","0.7026","601.6879"
"8.7500","0.7234","670.8911"
"9.0000","0.7443","743.2411"
"9.2500","0.7652","817.1048"
"9.5000","0.7860","890.8331"
"9.7500","0.8068","963.6662"
"10.0000","0.8276","1034.5082"
"10.2500","0.8484","1103.4751"
"10.5000","0.8695","1171.9491"
"10.7500","0.8902","1235.3240"
"11.0000","0.9109","1297.3988"
"11.2500","0.9319","1357.6169"
"11.5000","0.9526","1413.6316"
"11.7500","0.9735","1468.3279"
"12.0000","0.9944","1522.1238"
"12.2500","1.0152","1571.2371"
"12.5000","1.0359","1619.0166"
"12.7500","1.0568","1665.2886"
"13.0000","1.0777","1710.9100"
"13.2500","1.0986","1756.0015"
"13.5000","1.1194","1797.3418"
"13.7500","1.1401","1833.6411"
"14.0000","1.1609","1871.9824"
"14.2500","1.1819","1909.0604"
"14.5000","1.2027","1945.2097"
"14.7500","1.2235","1979.4426"
"15.0000","1.2443","2011.8816"
"15.2500","1.2650","2042.7382"
"15.5000","1.2859","2072.5747"
"15.7500","1.3069","2099.7070"
"16.0000","1.3277","2127.7827"
"16.2500","1.3485","2154.2180"
"16.5000","1.3693","2177.0645"
"16.7500","1.3901","2199.9580"
"17.0000","1.4110","2224.3845"
"17.2500","1.4319","2247.3013"
"17.5000","1.4526","2265.0151"
"17.7500","1.4735","2285.4758"
"18.0000","1.4943","2298.9751"
"18.2500","1.5151","2316.0630"
"18.5000","1.5361","2328.8486"
"18.7500","1.5569","2341.9829"
"19.0000","1.5777","2354.6492"
"19.2500","1.5984","2365.6001"
"19.5000","1.6193","2375.0525"
"19.7500","1.6402","2383.1240"
"20.0000","1.6611","2382.3657"
"20.2500","1.6818","2382.6885"
"20.5000","1.7027","2379.3965"
"20.7500","1.7234","2367.6934"
"21.0000","1.7443","2356.4849"
"21.2500","1.7652","2345.1064"
"21.5000","1.7860","2330.1169"
"21.7500","1.8068","2313.6321"
"22.0000","1.8276","2299.1699"
"22.2500","1.8485","2287.4106"
"22.5000","1.8694","2271.9590"
"22.7500","1.8902","2254.0068"
"23.0000","1.9110","2233.9836"
"23.2500","1.9318","2211.2317"
"23.5000","1.9527","2196.9990"
