
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1079"
"0.0500","0.0001","-0.0811"
"0.1000","0.0006","-0.0078"
"0.1500","0.0009","-0.0305"
"0.2000","0.0022","0.0228"
"0.2500","0.0051","-0.0733"
"0.3000","0.0071","-0.1027"
"0.3500","0.0089","0.1194"
"0.4000","0.0106","-0.0422"
"0.4500","0.0123","-0.0105"
"0.5000","0.0140","0.0158"
"0.5500","0.0156","0.0422"
"0.6000","0.0173","0.1585"
"0.6500","0.0187","0.1528"
"0.7000","0.0208","0.0540"
"0.7500","0.0223","0.2238"
"0.8000","0.0240","0.0219"
"0.8500","0.0256","0.0028"
"0.9000","0.0273","0.0292"
"0.9500","0.0289","0.1165"
"1.0000","0.0304","0.0148"
"1.0500","0.0325","0.0848"
"1.1000","0.0339","0.1137"
"1.1500","0.0357","0.1285"
"1.2000","0.0373","0.1777"
"1.2500","0.0390","-0.0853"
"1.3000","0.0406","0.2152"
"1.3500","0.0421","0.2041"
"1.4000","0.0440","0.1876"
"1.4500","0.0455","0.2579"
"1.5000","0.0473","0.1776"
"1.5500","0.0490","-0.0417"
"1.6000","0.0508","0.1934"
"1.6500","0.0521","0.3464"
"1.7000","0.0538","-0.1505"
"1.7500","0.0558","0.2633"
"1.8000","0.0572","0.0433"
"1.8500","0.0591","0.0633"
"1.9000","0.0606","0.0620"
"1.9500","0.0623","0.2440"
"2.0000","0.0638","0.0256"
"2.0500","0.0656","0.1148"
"2.1000","0.0675","0.2647"
"2.1500","0.0689","0.0499"
"2.2000","0.0707","0.1053"
"2.2500","0.0722","0.0659"
"2.3000","0.0741","0.0383"
"2.3500","0.0755","0.1888"
"2.4000","0.0773","0.1706"
"2.4500","0.0790","-0.0594"
"2.5000","0.0806","0.1993"
"2.5500","0.0824","0.1307"
"2.6000","0.0840","0.0729"
"2.6500","0.0858","0.2377"
"2.7000","0.0871","0.0285"
"2.7500","0.0889","0.2947"
"2.8000","0.0907","0.1456"
"2.8500","0.0923","0.0237"
"2.9000","0.0941","-0.1553"
"2.9500","0.0956","-0.0888"
"3.0000","0.0974","-0.0205"
"3.0500","0.0987","-0.0119"
"3.1000","0.1006","-0.0723"
"3.1500","0.1024","0.0523"
"3.2000","0.1039","0.1028"
"3.2500","0.1056","0.0147"
"3.3000","0.1072","0.0745"
"3.3500","0.1090","0.0382"
"3.4000","0.1104","0.2888"
"3.4500","0.1124","-0.0129"
"3.5000","0.1140","-0.0116"
"3.5500","0.1156","0.3182"
"3.6000","0.1173","0.3220"
"3.6500","0.1190","0.1370"
"3.7000","0.1207","0.0309"
"3.7500","0.1220","-0.0131"
"3.8000","0.1240","-0.0124"
"3.8500","0.1256","0.2039"
"3.9000","0.1273","0.1212"
"3.9500","0.1290","-0.0912"
"4.0000","0.1307","0.1228"
"4.0500","0.1323","0.0135"
"4.1000","0.1337","0.1594"
"4.1500","0.1357","-0.0960"
"4.2000","0.1373","0.1038"
"4.2500","0.1390","0.1318"
"4.3000","0.1406","0.1154"
"4.3500","0.1424","0.1970"
"4.4000","0.1439","0.0589"
"4.4500","0.1454","0.1596"
"4.5000","0.1475","0.1940"
"4.5500","0.1489","0.2209"
"4.6000","0.1506","0.0958"
"4.6500","0.1523","0.1831"
"4.7000","0.1540","0.1940"
"4.7500","0.1556","0.2850"
"4.8000","0.1571","0.1172"
"4.8500","0.1591","0.1260"
"4.9000","0.1605","0.2202"
"4.9500","0.1623","0.2592"
"5.0000","0.1639","0.1025"
"5.0500","0.1658","0.1207"
"5.1000","0.1671","0.0267"
"5.1500","0.1688","0.0756"
"5.2000","0.1708","0.0624"
"5.2500","0.1722","0.1480"
"5.3000","0.1740","-0.0529"
"5.3500","0.1756","0.1661"
"5.4000","0.1774","0.1948"
"5.4500","0.1788","0.1173"
"5.5000","0.1805","0.1610"
"5.5500","0.1824","0.1139"
"5.6000","0.1838","0.2253"
"5.6500","0.1857","0.0426"
"5.7000","0.1873","0.1756"
"5.7500","0.1891","0.0461"
"5.8000","0.1904","0.2596"
"5.8500","0.1923","0.1983"
"5.9000","0.1941","0.0920"
"5.9500","0.1955","0.0425"
"6.0000","0.1974","0.2144"
"6.0500","0.1989","0.0864"
"6.1000","0.2008","0.0166"
"6.1500","0.2020","0.0743"
"6.2000","0.2040","0.1193"
"6.2500","0.2057","0.3510"
"6.3000","0.2073","0.1788"
"6.3500","0.2090","0.1377"
"6.4000","0.2105","0.0546"
"6.4500","0.2125","0.1823"
"6.5000","0.2137","0.1625"
"6.5500","0.2157","0.0417"
"6.6000","0.2174","-0.0541"
"6.6500","0.2190","0.0654"
"6.7000","0.2206","0.1351"
"6.7500","0.2222","0.0524"
"6.8000","0.2240","0.1424"
"6.8500","0.2253","0.3225"
"6.9000","0.2274","0.1206"
"6.9500","0.2289","0.0083"
"7.0000","0.2306","0.2034"
"7.0500","0.2323","-0.0681"
"7.1000","0.2340","0.0573"
"7.1500","0.2357","0.1805"
"7.2000","0.2370","0.1494"
"7.2500","0.2391","0.3059"
"7.3000","0.2406","0.1380"
"7.3500","0.2423","0.1771"
"7.4000","0.2439","0.1224"
"7.4500","0.2457","0.1608"
"7.5000","0.2473","0.2507"
"7.5500","0.2488","0.1341"
"7.6000","0.2508","-0.0755"
"7.6500","0.2522","0.0567"
"7.7000","0.2541","0.2454"
"7.7500","0.2555","0.2936"
"7.8000","0.2574","0.0005"
"7.8500","0.2589","-0.0085"
"7.9000","0.2605","0.1620"
"7.9500","0.2625","0.1612"
"8.0000","0.2639","0.0785"
"8.0500","0.2657","0.3312"
"8.1000","0.2672","-0.0223"
"8.1500","0.2690","-0.0375"
"8.2000","0.2705","0.1571"
"8.2500","0.2723","0.2870"
"8.3000","0.2741","0.2384"
"8.3500","0.2755","0.1895"
"8.4000","0.2774","0.2851"
"8.4500","0.2789","0.0040"
"8.5000","0.2808","0.0887"
"8.5500","0.2821","0.2845"
"8.6000","0.2839","0.0075"
"8.6500","0.2857","0.2944"
"8.7000","0.2872","0.0142"
"8.7500","0.2890","0.2546"
"8.8000","0.2906","0.0153"
"8.8500","0.2924","0.1172"
"8.9000","0.2937","0.0668"
"8.9500","0.2956","0.1433"
"9.0000","0.2974","-0.0015"
"9.0500","0.2989","0.0386"
"9.1000","0.3007","0.1611"
"9.1500","0.3022","0.1421"
"9.2000","0.3040","0.2010"
"9.2500","0.3054","0.0971"
"9.3000","0.3074","-0.0159"
"9.3500","0.3090","0.2045"
"9.4000","0.3106","0.0876"
"9.4500","0.3123","0.1913"
"9.5000","0.3139","-0.0758"
"9.5500","0.3157","0.0765"
"9.6000","0.3171","0.1381"
"9.6500","0.3191","0.0273"
"9.7000","0.3206","0.2447"
"9.7500","0.3223","0.1112"
"9.8000","0.3240","0.2314"
"9.8500","0.3257","0.1683"
"9.9000","0.3274","0.2032"
"9.9500","0.3287","0.2159"
"10.0000","0.3307","0.0488"
"10.0500","0.3323","0.0864"
"10.1000","0.3340","0.2400"
"10.1500","0.3357","0.0181"
"10.2000","0.3373","-0.0019"
"10.2500","0.3389","0.2316"
"10.3000","0.3404","0.2286"
"10.3500","0.3424","0.1115"
"10.4000","0.3440","-0.1493"
"10.4500","0.3456","0.2790"
"10.5000","0.3472","-0.0197"
"10.5500","0.3490","-0.0011"
"10.6000","0.3506","0.2938"
"10.6500","0.3521","0.2172"
"10.7000","0.3541","0.0832"
"10.7500","0.3556","0.1053"
"10.8000","0.3573","0.0311"
"10.8500","0.3589","-0.0200"
"10.9000","0.3608","0.1466"
"10.9500","0.3623","0.0684"
"11.0000","0.3638","0.2647"
"11.0500","0.3657","0.1591"
"11.1000","0.3672","0.1670"
"11.1500","0.3690","0.0189"
"11.2000","0.3706","0.2778"
"11.2500","0.3724","0.0861"
"11.3000","0.3738","0.1111"
"11.3500","0.3754","0.1444"
"11.4000","0.3774","0.1337"
"11.4500","0.3790","0.3286"
"11.5000","0.3808","0.2555"
"11.5500","0.3822","-0.0485"
"11.6000","0.3840","0.2134"
"11.6500","0.3854","0.1533"
"11.7000","0.3872","0.1656"
"11.7500","0.3891","0.0223"
"11.8000","0.3905","0.0558"
"11.8500","0.3924","0.1565"
"11.9000","0.3939","0.0529"
"11.9500","0.3958","0.2004"
"12.0000","0.3971","0.1207"
"12.0500","0.3990","0.1290"
"12.1000","0.4007","0.0695"
"12.1500","0.4021","0.2346"
"12.2000","0.4040","0.2731"
"12.2500","0.4056","0.1486"
"12.3000","0.4074","0.2599"
"12.3500","0.4087","0.0865"
"12.4000","0.4106","0.0778"
"12.4500","0.4123","0.0988"
"12.5000","0.4139","0.2148"
"12.5500","0.4157","0.1050"
"12.6000","0.4173","0.0573"
"12.6500","0.4190","0.1234"
"12.7000","0.4203","0.2812"
"12.7500","0.4224","0.0696"
"12.8000","0.4240","0.2483"
"12.8500","0.4256","0.2981"
"12.9000","0.4274","0.2181"
"12.9500","0.4290","0.0789"
"13.0000","0.4307","0.1976"
"13.0500","0.4321","0.0488"
"13.1000","0.4341","0.1715"
"13.1500","0.4356","0.2593"
"13.2000","0.4373","0.1119"
"13.2500","0.4390","0.1112"
"13.3000","0.4407","0.2667"
"13.3500","0.4423","0.1599"
"13.4000","0.4437","0.2273"
"13.4500","0.4458","-0.0198"
"13.5000","0.4472","0.2858"
"13.5500","0.4490","0.0926"
"13.6000","0.4506","0.1077"
"13.6500","0.4524","0.1207"
"13.7000","0.4539","0.1898"
"13.7500","0.4554","0.2308"
"13.8000","0.4574","0.2332"
"13.8500","0.4590","0.2694"
"13.9000","0.4608","0.0830"
"13.9500","0.4622","0.1485"
"14.0000","0.4640","0.4084"
"14.0500","0.4655","0.1826"
"14.1000","0.4671","0.2144"
"14.1500","0.4691","0.1790"
"14.2000","0.4705","0.1805"
"14.2500","0.4724","0.2064"
"14.3000","0.4738","0.1477"
"14.3500","0.4757","0.1642"
"14.4000","0.4772","0.0714"
"14.4500","0.4789","0.1524"
"14.5000","0.4808","0.2384"
"14.5500","0.4822","0.2096"
"14.6000","0.4840","0.2365"
"14.6500","0.4856","0.1030"
"14.7000","0.4875","0.3296"
"14.7500","0.4888","0.0787"
"14.8000","0.4906","0.2021"
"14.8500","0.4924","0.2791"
"14.9000","0.4939","0.0144"
"14.9500","0.4957","0.0463"
"15.0000","0.4972","0.3009"
"15.0500","0.4991","0.1973"
"15.1000","0.5004","0.0689"
"15.1500","0.5023","0.2752"
"15.2000","0.5041","0.2936"
"15.2500","0.5056","0.2634"
"15.3000","0.5074","0.2095"
"15.3500","0.5089","0.1640"
"15.4000","0.5107","0.0113"
"15.4500","0.5121","0.1792"
"15.5000","0.5141","0.3079"
"15.5500","0.5156","0.0691"
"15.6000","0.5173","0.1376"
"15.6500","0.5190","0.2429"
"15.7000","0.5207","0.3473"
"15.7500","0.5223","0.0689"
"15.8000","0.5237","0.2128"
"15.8500","0.5257","0.3149"
"15.9000","0.5273","0.2331"
"15.9500","0.5289","0.3807"
"16.0000","0.5307","0.1822"
"16.0500","0.5323","0.2679"
"16.1000","0.5339","0.2676"
"16.1500","0.5354","0.1442"
"16.2000","0.5374","0.2618"
"16.2500","0.5390","0.0764"
"16.3000","0.5407","0.1106"
"16.3500","0.5423","0.2197"
"16.4000","0.5440","0.0967"
"16.4500","0.5456","0.3428"
"16.5000","0.5471","0.0259"
"16.5500","0.5492","0.0242"
"16.6000","0.5505","0.1857"
"16.6500","0.5523","0.2650"
"16.7000","0.5539","0.2055"
"16.7500","0.5557","0.3100"
"16.8000","0.5572","0.1953"
"16.8500","0.5588","0.4164"
"16.9000","0.5608","0.3169"
"16.9500","0.5623","0.2081"
"17.0000","0.5640","0.2268"
"17.0500","0.5657","0.1036"
"17.1000","0.5674","0.1466"
"17.1500","0.5688","0.0917"
"17.2000","0.5704","0.3639"
"17.2500","0.5724","0.1906"
"17.3000","0.5740","0.2781"
"17.3500","0.5757","0.2454"
"17.4000","0.5772","0.2029"
"17.4500","0.5791","0.2221"
"17.5000","0.5804","0.2082"
"17.5500","0.5822","0.2234"
"17.6000","0.5841","0.3324"
"17.6500","0.5855","0.4602"
"17.7000","0.5873","-0.0240"
"17.7500","0.5889","0.3006"
"17.8000","0.5907","0.3307"
"17.8500","0.5921","0.0994"
"17.9000","0.5939","0.0667"
"17.9500","0.5957","0.2797"
"18.0000","0.5972","0.2943"
"18.0500","0.5990","0.2933"
"18.1000","0.6006","0.3258"
"18.1500","0.6024","0.3427"
"18.2000","0.6037","0.0486"
"18.2500","0.6056","0.2284"
"18.3000","0.6074","0.2037"
"18.3500","0.6089","0.1300"
"18.4000","0.6107","0.2818"
"18.4500","0.6122","0.0856"
"18.5000","0.6141","0.3096"
"18.5500","0.6154","0.1973"
"18.6000","0.6173","0.2552"
"18.6500","0.6190","0.3894"
"18.7000","0.6205","0.2230"
"18.7500","0.6224","0.0608"
"18.8000","0.6240","0.3010"
"18.8500","0.6257","0.2262"
"18.9000","0.6271","0.0563"
"18.9500","0.6290","0.1123"
"19.0000","0.6306","0.2083"
"19.0500","0.6322","0.3192"
"19.1000","0.6341","0.2201"
"19.1500","0.6357","0.2810"
"19.2000","0.6373","0.2571"
"19.2500","0.6387","0.1217"
"19.3000","0.6407","0.0796"
"19.3500","0.6423","0.3160"
"19.4000","0.6440","0.2780"
"19.4500","0.6457","0.0255"
