
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0953"
"0.0500","0.0001","0.0324"
"0.1000","0.0005","-0.1280"
"0.1500","0.0009","-0.0983"
"0.2000","0.0021","-0.0032"
"0.2500","0.0049","-0.0465"
"0.3000","0.0071","0.0539"
"0.3500","0.0089","-0.0392"
"0.4000","0.0103","-0.1290"
"0.4500","0.0121","0.1456"
"0.5000","0.0140","0.0301"
"0.5500","0.0156","-0.1134"
"0.6000","0.0173","0.0173"
"0.6500","0.0187","0.1819"
"0.7000","0.0207","-0.2405"
"0.7500","0.0220","-0.2319"
"0.8000","0.0239","0.0652"
"0.8500","0.0256","-0.1292"
"0.9000","0.0271","-0.0373"
"0.9500","0.0289","-0.0811"
"1.0000","0.0304","-0.0595"
"1.0500","0.0323","-0.1039"
"1.1000","0.0337","-0.1746"
"1.1500","0.0356","0.0456"
"1.2000","0.0372","-0.1822"
"1.2500","0.0389","0.0026"
"1.3000","0.0406","-0.0850"
"1.3500","0.0422","-0.0686"
"1.4000","0.0440","0.0485"
"1.4500","0.0453","0.0101"
"1.5000","0.0473","-0.0541"
"1.5500","0.0489","-0.0255"
"1.6000","0.0506","0.0960"
"1.6500","0.0522","-0.1486"
"1.7000","0.0539","-0.2735"
"1.7500","0.0556","-0.0401"
"1.8000","0.0570","0.1223"
"1.8500","0.0590","0.0272"
"1.9000","0.0606","-0.0707"
"1.9500","0.0623","0.0612"
"2.0000","0.0639","-0.0563"
"2.0500","0.0656","0.1021"
"2.1000","0.0672","-0.1898"
"2.1500","0.0687","0.0389"
"2.2000","0.0707","0.0472"
"2.2500","0.0721","-0.1494"
"2.3000","0.0740","0.0323"
"2.3500","0.0755","0.0609"
"2.4000","0.0773","-0.1955"
"2.4500","0.0788","0.0671"
"2.5000","0.0804","0.0104"
"2.5500","0.0823","0.0989"
"2.6000","0.0837","-0.0989"
"2.6500","0.0856","0.0018"
"2.7000","0.0872","0.0585"
"2.7500","0.0890","-0.1865"
"2.8000","0.0904","-0.1378"
"2.8500","0.0921","0.0709"
"2.9000","0.0940","-0.0346"
"2.9500","0.0955","-0.0426"
"3.0000","0.0974","-0.0700"
"3.0500","0.0988","-0.1638"
"3.1000","0.1006","-0.0864"
"3.1500","0.1020","-0.1153"
"3.2000","0.1039","-0.0791"
"3.2500","0.1057","-0.0247"
"3.3000","0.1071","-0.1622"
