
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0326"
"0.0500","0.0001","0.0962"
"0.1000","0.0006","0.1480"
"0.1500","0.0009","0.3772"
"0.2000","0.0024","0.3688"
"0.2500","0.0054","0.5114"
"0.3000","0.0074","0.4012"
"0.3500","0.0091","0.6326"
"0.4000","0.0105","0.5220"
"0.4500","0.0125","0.6412"
"0.5000","0.0141","0.5420"
"0.5500","0.0159","0.5091"
"0.6000","0.0175","0.8837"
"0.6500","0.0192","0.8206"
"0.7000","0.0208","0.7278"
"0.7500","0.0223","0.8777"
"0.8000","0.0243","0.6714"
"0.8500","0.0257","1.0820"
"0.9000","0.0275","1.0695"
"0.9500","0.0291","0.9082"
"1.0000","0.0309","1.0033"
"1.0500","0.0324","1.2850"
"1.1000","0.0340","1.3381"
"1.1500","0.0359","1.1489"
"1.2000","0.0373","1.3752"
"1.2500","0.0392","1.5691"
"1.3000","0.0407","1.6063"
"1.3500","0.0426","1.6952"
"1.4000","0.0440","1.7250"
"1.4500","0.0456","1.7320"
"1.5000","0.0476","1.8581"
"1.5500","0.0490","1.9493"
"1.6000","0.0509","1.8106"
"1.6500","0.0525","1.7715"
"1.7000","0.0543","1.9489"
"1.7500","0.0556","2.1696"
"1.8000","0.0574","2.1270"
"1.8500","0.0593","2.3172"
"1.9000","0.0607","2.3428"
"1.9500","0.0626","2.1991"
"2.0000","0.0641","2.3511"
"2.0500","0.0659","2.3268"
"2.1000","0.0673","2.3191"
"2.1500","0.0692","2.2928"
"2.2000","0.0709","2.2078"
"2.2500","0.0724","2.3510"
"2.3000","0.0742","2.2978"
"2.3500","0.0758","2.3892"
"2.4000","0.0777","2.3261"
"2.4500","0.0789","2.5270"
"2.5000","0.0808","2.1764"
"2.5500","0.0825","2.3817"
"2.6000","0.0841","2.3642"
"2.6500","0.0859","2.6073"
"2.7000","0.0875","2.2307"
"2.7500","0.0893","2.3337"
"2.8000","0.0905","2.4123"
"2.8500","0.0925","2.4313"
"2.9000","0.0942","2.5449"
"2.9500","0.0959","2.3555"
"3.0000","0.0975","2.4219"
"3.0500","0.0990","2.2905"
"3.1000","0.1009","2.5898"
"3.1500","0.1022","2.3826"
"3.2000","0.1043","2.3427"
"3.2500","0.1058","2.2896"
"3.3000","0.1075","2.3640"
"3.3500","0.1091","2.3985"
"3.4000","0.1108","2.3603"
"3.4500","0.1125","2.2478"
"3.5000","0.1140","2.3917"
"3.5500","0.1160","2.3970"
"3.6000","0.1174","2.2251"
"3.6500","0.1192","2.4829"
"3.7000","0.1207","2.4154"
"3.7500","0.1226","2.3260"
"3.8000","0.1241","2.3758"
"3.8500","0.1256","2.3404"
"3.9000","0.1276","2.4092"
"3.9500","0.1291","2.5297"
"4.0000","0.1310","2.5190"
"4.0500","0.1324","2.3872"
"4.1000","0.1342","2.4244"
"4.1500","0.1357","2.3932"
"4.2000","0.1374","2.1945"
"4.2500","0.1393","2.4405"
"4.3000","0.1408","2.5958"
"4.3500","0.1426","2.5965"
"4.4000","0.1441","2.6137"
"4.4500","0.1459","2.6070"
"4.5000","0.1473","2.5757"
"4.5500","0.1491","2.4287"
"4.6000","0.1509","2.5366"
"4.6500","0.1524","2.5311"
"4.7000","0.1542","2.3825"
"4.7500","0.1558","2.6862"
"4.8000","0.1576","2.5828"
"4.8500","0.1589","2.4805"
"4.9000","0.1607","2.5379"
"4.9500","0.1625","2.5561"
"5.0000","0.1640","2.2922"
"5.0500","0.1659","2.4935"
"5.1000","0.1674","2.4859"
"5.1500","0.1692","2.3762"
"5.2000","0.1705","2.4853"
"5.2500","0.1724","2.4582"
"5.3000","0.1742","2.3797"
"5.3500","0.1758","2.4831"
"5.4000","0.1776","2.7661"
"5.4500","0.1791","2.6075"
"5.5000","0.1808","2.3873"
"5.5500","0.1823","2.6692"
"5.6000","0.1843","2.3678"
"5.6500","0.1858","2.5060"
"5.7000","0.1874","2.6783"
"5.7500","0.1892","2.5490"
"5.8000","0.1908","2.6569"
"5.8500","0.1925","2.5598"
"5.9000","0.1940","2.7480"
"5.9500","0.1959","2.6146"
"6.0000","0.1975","2.6623"
"6.0500","0.1991","2.5687"
"6.1000","0.2009","2.5210"
"6.1500","0.2025","2.7095"
"6.2000","0.2042","2.6520"
"6.2500","0.2055","2.8827"
"6.3000","0.2075","2.6392"
"6.3500","0.2091","2.4233"
"6.4000","0.2109","2.6967"
"6.4500","0.2125","2.6829"
"6.5000","0.2141","2.6086"
"6.5500","0.2158","2.6451"
"6.6000","0.2172","2.6350"
"6.6500","0.2193","2.6911"
"6.7000","0.2208","2.4480"
"6.7500","0.2224","2.7245"
"6.8000","0.2241","2.6289"
"6.8500","0.2258","2.6854"
"6.9000","0.2274","2.7237"
"6.9500","0.2290","2.8056"
"7.0000","0.2309","2.8205"
"7.0500","0.2324","2.7491"
"7.1000","0.2342","2.6640"
"7.1500","0.2357","2.6473"
"7.2000","0.2376","2.6520"
"7.2500","0.2391","2.8003"
"7.3000","0.2407","2.6844"
"7.3500","0.2426","2.7811"
"7.4000","0.2442","2.7227"
"7.4500","0.2459","2.6152"
"7.5000","0.2474","2.7428"
"7.5500","0.2493","2.7894"
"7.6000","0.2507","2.7246"
