
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1328"
"0.0500","0.0001","-0.0819"
"0.1000","0.0006","0.0444"
"0.1500","0.0009","0.0980"
"0.2000","0.0026","0.0753"
"0.2500","0.0054","-0.0806"
"0.3000","0.0072","0.1774"
"0.3500","0.0090","0.1268"
"0.4000","0.0109","0.0559"
"0.4500","0.0123","-0.0149"
"0.5000","0.0142","0.0487"
"0.5500","0.0158","-0.0459"
"0.6000","0.0177","-0.0856"
"0.6500","0.0189","0.2946"
"0.7000","0.0208","0.0755"
"0.7500","0.0225","-0.0376"
"0.8000","0.0241","0.0302"
"0.8500","0.0259","-0.1463"
"0.9000","0.0275","-0.0479"
"0.9500","0.0293","0.2240"
"1.0000","0.0305","0.1513"
"1.0500","0.0325","0.1547"
"1.1000","0.0342","-0.0785"
"1.1500","0.0359","0.0944"
"1.2000","0.0375","0.0720"
"1.2500","0.0390","-0.0924"
"1.3000","0.0408","-0.1473"
"1.3500","0.0422","0.0178"
"1.4000","0.0443","0.0501"
"1.4500","0.0458","0.2502"
"1.5000","0.0475","-0.0799"
"1.5500","0.0491","0.0357"
"1.6000","0.0508","0.0401"
"1.6500","0.0525","0.0286"
"1.7000","0.0540","0.1615"
"1.7500","0.0560","0.0679"
"1.8000","0.0574","0.0181"
"1.8500","0.0592","-0.0943"
"1.9000","0.0607","-0.0394"
"1.9500","0.0626","0.0546"
"2.0000","0.0641","0.0043"
"2.0500","0.0656","0.2627"
"2.1000","0.0676","0.0724"
"2.1500","0.0691","-0.0968"
"2.2000","0.0710","0.1560"
"2.2500","0.0724","0.2009"
"2.3000","0.0742","-0.0195"
"2.3500","0.0757","0.1714"
"2.4000","0.0773","-0.0422"
"2.4500","0.0793","-0.0993"
"2.5000","0.0808","-0.1813"
"2.5500","0.0826","0.0309"
"2.6000","0.0840","-0.0625"
"2.6500","0.0859","-0.1202"
"2.7000","0.0873","0.0465"
"2.7500","0.0891","-0.1046"
"2.8000","0.0909","0.0061"
"2.8500","0.0924","-0.0291"
"2.9000","0.0942","0.0170"
"2.9500","0.0958","0.0229"
"3.0000","0.0976","0.1881"
"3.0500","0.0989","0.1012"
"3.1000","0.1007","-0.0969"
"3.1500","0.1025","-0.0078"
"3.2000","0.1040","-0.0250"
"3.2500","0.1059","-0.0071"
"3.3000","0.1075","0.1000"
"3.3500","0.1092","-0.1300"
"3.4000","0.1105","0.1532"
"3.4500","0.1125","-0.1178"
"3.5000","0.1142","-0.0169"
"3.5500","0.1158","-0.0440"
"3.6000","0.1176","0.1701"
"3.6500","0.1191","-0.1191"
"3.7000","0.1208","0.0921"
"3.7500","0.1222","0.1547"
"3.8000","0.1242","0.0626"
"3.8500","0.1258","-0.0308"
"3.9000","0.1274","-0.0371"
"3.9500","0.1292","0.0021"
"4.0000","0.1308","0.2365"
"4.0500","0.1325","0.0485"
"4.1000","0.1340","-0.1105"
"4.1500","0.1359","0.1059"
"4.2000","0.1374","0.0294"
"4.2500","0.1391","0.0015"
"4.3000","0.1409","-0.0907"
"4.3500","0.1426","-0.0354"
"4.4000","0.1442","0.0431"
"4.4500","0.1455","-0.0646"
