
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0028"
"0.0500","0.0001","-0.0269"
"0.1000","0.0007","0.1120"
"0.1500","0.0010","-0.1232"
"0.2000","0.0025","0.1158"
"0.2500","0.0053","-0.2392"
"0.3000","0.0074","-0.0907"
"0.3500","0.0092","0.2734"
"0.4000","0.0107","0.0221"
"0.4500","0.0123","-0.0148"
"0.5000","0.0142","0.1164"
"0.5500","0.0158","0.1054"
"0.6000","0.0176","-0.0165"
"0.6500","0.0191","-0.0522"
"0.7000","0.0210","-0.0261"
"0.7500","0.0223","-0.1423"
"0.8000","0.0241","-0.0759"
"0.8500","0.0259","-0.0171"
"0.9000","0.0275","0.0106"
"0.9500","0.0293","0.0837"
"1.0000","0.0308","0.0596"
"1.0500","0.0326","0.1018"
"1.1000","0.0340","0.0375"
"1.1500","0.0359","-0.0757"
"1.2000","0.0376","-0.1205"
"1.2500","0.0391","0.0838"
"1.3000","0.0409","-0.0641"
"1.3500","0.0425","0.0756"
"1.4000","0.0443","0.2498"
"1.4500","0.0456","0.0143"
"1.5000","0.0476","0.1177"
"1.5500","0.0492","0.0499"
"1.6000","0.0508","-0.0163"
"1.6500","0.0525","0.0067"
"1.7000","0.0542","0.3807"
"1.7500","0.0559","-0.0312"
"1.8000","0.0572","0.3978"
"1.8500","0.0592","0.1897"
"1.9000","0.0608","0.0764"
"1.9500","0.0625","0.0234"
"2.0000","0.0642","0.0582"
"2.0500","0.0658","-0.0117"
"2.1000","0.0676","0.0229"
"2.1500","0.0689","0.0182"
"2.2000","0.0710","0.0603"
"2.2500","0.0725","-0.0648"
"2.3000","0.0742","0.1016"
"2.3500","0.0758","0.0848"
"2.4000","0.0775","0.0864"
"2.4500","0.0792","0.0659"
"2.5000","0.0807","0.3035"
"2.5500","0.0827","0.0875"
"2.6000","0.0841","-0.0415"
"2.6500","0.0859","-0.1013"
"2.7000","0.0875","0.1093"
"2.7500","0.0893","-0.0179"
"2.8000","0.0908","-0.0274"
"2.8500","0.0923","0.0340"
"2.9000","0.0944","0.1465"
"2.9500","0.0958","0.1709"
"3.0000","0.0977","0.2351"
"3.0500","0.0991","0.3093"
"3.1000","0.1010","0.2244"
"3.1500","0.1024","0.1577"
"3.2000","0.1040","0.0738"
"3.2500","0.1060","0.1995"
"3.3000","0.1075","0.1042"
"3.3500","0.1093","0.1305"
"3.4000","0.1107","0.0435"
"3.4500","0.1126","0.1605"
"3.5000","0.1140","0.1617"
"3.5500","0.1158","0.0416"
"3.6000","0.1176","0.2968"
"3.6500","0.1191","0.1663"
"3.7000","0.1209","0.0794"
"3.7500","0.1224","0.0481"
"3.8000","0.1243","0.0881"
"3.8500","0.1257","0.1111"
"3.9000","0.1275","0.0896"
"3.9500","0.1293","0.3712"
"4.0000","0.1308","0.3663"
"4.0500","0.1326","0.1152"
"4.1000","0.1341","0.1625"
"4.1500","0.1360","0.2938"
"4.2000","0.1373","0.2895"
"4.2500","0.1392","0.1624"
"4.3000","0.1409","0.3195"
"4.3500","0.1425","0.2361"
"4.4000","0.1443","0.5258"
"4.4500","0.1458","0.2207"
"4.5000","0.1476","0.1894"
"4.5500","0.1489","0.1350"
"4.6000","0.1510","0.2400"
"4.6500","0.1525","0.1036"
"4.7000","0.1542","0.1175"
"4.7500","0.1559","0.1110"
"4.8000","0.1575","0.0696"
"4.8500","0.1592","0.2073"
"4.9000","0.1606","0.1068"
"4.9500","0.1627","0.1579"
"5.0000","0.1641","0.3405"
"5.0500","0.1659","0.0432"
"5.1000","0.1675","0.0848"
"5.1500","0.1692","0.2059"
"5.2000","0.1708","0.1305"
"5.2500","0.1723","0.3113"
"5.3000","0.1742","0.2284"
"5.3500","0.1757","0.0941"
"5.4000","0.1775","0.2373"
"5.4500","0.1792","0.2872"
"5.5000","0.1809","0.4060"
"5.5500","0.1824","0.2069"
"5.6000","0.1840","0.1644"
"5.6500","0.1860","0.1196"
"5.7000","0.1874","0.1728"
"5.7500","0.1893","0.1575"
"5.8000","0.1908","0.1436"
"5.8500","0.1925","0.1360"
"5.9000","0.1940","0.1347"
"5.9500","0.1957","0.0118"
"6.0000","0.1977","0.1152"
"6.0500","0.1991","0.1048"
