
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0728"
"0.2500","0.0152","2.2333"
"0.5000","0.0361","3.3231"
"0.7500","0.0570","4.0407"
"1.0000","0.0777","4.4594"
"1.2500","0.0987","4.8958"
"1.5000","0.1196","6.4454"
"1.7500","0.1403","8.0978"
"2.0000","0.1611","10.1660"
"2.2500","0.1820","12.5080"
"2.5000","0.2028","14.8693"
"2.7500","0.2238","16.6330"
"3.0000","0.2445","19.8465"
"3.2500","0.2653","23.2698"
"3.5000","0.2861","26.6934"
"3.7500","0.3070","30.8916"
"4.0000","0.3278","35.6867"
"4.2500","0.3488","41.5606"
"4.5000","0.3695","48.7536"
"4.7500","0.3902","57.9357"
"5.0000","0.4111","68.9462"
"5.2500","0.4321","82.9049"
"5.5000","0.4529","99.4640"
"5.7500","0.4737","119.4315"
"6.0000","0.4945","145.1490"
"6.2500","0.5153","179.5949"
"6.5000","0.5361","222.0977"
"6.7500","0.5571","271.1382"
"7.0000","0.5779","326.1397"
"7.2500","0.5986","386.8853"
"7.5000","0.6193","458.9476"
"7.7500","0.6403","546.8865"
"8.0000","0.6612","644.5203"
"8.2500","0.6820","748.1193"
"8.5000","0.7028","857.2858"
"8.7500","0.7236","972.8589"
"9.0000","0.7444","1097.0261"
"9.2500","0.7653","1227.6357"
"9.5000","0.7862","1358.6630"
"9.7500","0.8070","1487.0017"
"10.0000","0.8278","1613.1422"
"10.2500","0.8486","1734.0928"
"10.5000","0.8694","1855.1582"
"10.7500","0.8904","1976.8601"
"11.0000","0.9112","2090.7554"
"11.2500","0.9319","2200.5510"
"11.5000","0.9528","2307.8503"
"11.7500","0.9736","2411.4385"
"12.0000","0.9945","2513.7976"
"12.2500","1.0154","2613.8931"
"12.5000","1.0362","2706.9929"
"12.7500","1.0569","2797.0789"
"13.0000","1.0778","2886.1431"
"13.2500","1.0986","2973.8477"
"13.5000","1.1195","3062.8730"
"13.7500","1.1404","3146.7698"
"14.0000","1.1611","3228.3765"
"14.2500","1.1819","3309.3882"
"14.5000","1.2028","3390.4001"
"14.7500","1.2236","3469.7461"
"15.0000","1.2445","3547.9438"
"15.2500","1.2654","3623.7097"
"15.5000","1.2861","3694.9263"
"15.7500","1.3069","3767.8794"
"16.0000","1.3279","3842.0859"
"16.2500","1.3487","3911.0969"
"16.5000","1.3695","3980.7256"
"16.7500","1.3903","4046.8779"
"17.0000","1.4110","4109.8354"
"17.2500","1.4320","4175.7065"
"17.5000","1.4529","4241.0688"
"17.7500","1.4736","4301.0889"
"18.0000","1.4945","4362.2671"
"18.2500","1.5153","4420.8018"
"18.5000","1.5360","4476.8862"
"18.7500","1.5571","4537.7563"
"19.0000","1.5779","4593.3818"
"19.2500","1.5987","4648.0864"
"19.5000","1.6195","4698.2124"
"19.7500","1.6403","4748.7173"
"20.0000","1.6612","4799.0806"
"20.2500","1.6821","4849.5684"
"20.5000","1.7028","4895.7573"
"20.7500","1.7237","4943.4219"
"21.0000","1.7445","4986.6016"
"21.2500","1.7652","5029.7686"
"21.5000","1.7862","5073.5186"
"21.7500","1.8070","5113.4771"
"22.0000","1.8279","5155.3550"
"22.2500","1.8485","5188.8511"
"22.5000","1.8695","5227.4429"
"22.7500","1.8904","5266.5127"
"23.0000","1.9113","5301.7290"
"23.2500","1.9320","5334.8301"
"23.5000","1.9528","5363.5352"
"23.7500","1.9736","5395.8794"
"24.0000","1.9945","5428.0947"
"24.2500","2.0153","5457.1943"
"24.5000","2.0363","5488.6982"
"24.7500","2.0570","5516.3560"
"25.0000","2.0777","5542.6738"
"25.2500","2.0986","5570.3701"
"25.5000","2.1196","5599.4209"
"25.7500","2.1404","5627.7090"
"26.0000","2.1612","5652.4614"
"26.2500","2.1819","5674.4692"
"26.5000","2.2027","5696.7163"
"26.7500","2.2236","5718.0542"
"27.0000","2.2445","5740.8975"
"27.2500","2.2654","5759.9478"
"27.5000","2.2861","5775.9297"
"27.7500","2.3069","5794.0181"
"28.0000","2.3278","5816.4326"
"28.2500","2.3487","5836.5410"
"28.5000","2.3696","5855.3350"
"28.7500","2.3904","5869.2568"
"29.0000","2.4111","5885.2358"
"29.2500","2.4319","5897.3271"
"29.5000","2.4528","5913.8057"
"29.7500","2.4738","5931.1987"
"30.0000","2.4945","5945.0229"
"30.2500","2.5153","5958.9492"
"30.5000","2.5361","5968.3335"
"30.7500","2.5569","5981.3315"
"31.0000","2.5780","5998.2920"
"31.2500","2.5988","6008.3521"
"31.5000","2.6194","6013.0928"
"31.7500","2.6403","6024.3101"
"32.0000","2.6611","6033.5381"
"32.2500","2.6820","6045.5073"
"32.5000","2.7029","6056.9062"
"32.7500","2.7237","6063.1533"
"33.0000","2.7444","6071.2422"
"33.2500","2.7653","6077.0718"
"33.5000","2.7861","6085.6758"
"33.7500","2.8071","6098.8242"
"34.0000","2.8279","6105.0884"
"34.2500","2.8486","6110.6133"
"34.5000","2.8694","6117.4814"
"34.7500","2.8903","6124.6836"
"35.0000","2.9111","6129.9858"
"35.2500","2.9320","6138.2329"
"35.5000","2.9529","6140.3257"
"35.7500","2.9736","6142.8970"
"36.0000","2.9944","6147.6343"
"36.2500","3.0154","6154.9121"
"36.5000","3.0362","6159.3799"
"36.7500","3.0570","6163.9087"
"37.0000","3.0779","6167.6270"
"37.2500","3.0986","6167.4902"
"37.5000","3.1195","6170.9927"
"37.7500","3.1404","6174.6133"
"38.0000","3.1612","6173.0840"
"38.2500","3.1821","6175.5151"
"38.5000","3.2028","6174.6787"
"38.7500","3.2236","6173.8052"
"39.0000","3.2446","6177.5342"
"39.2500","3.2654","6179.4458"
"39.5000","3.2862","6179.7012"
"39.7500","3.3070","6176.0405"
"40.0000","3.3277","6169.6709"
"40.2500","3.3487","6170.2573"
"40.5000","3.3696","6170.8286"
"40.7500","3.3903","6167.5435"
"41.0000","3.4112","6165.1807"
"41.2500","3.4319","6157.7080"
"41.5000","3.4527","6151.6948"
"41.7500","3.4737","6149.8613"
"42.0000","3.4946","6143.0415"
"42.2500","3.5153","6135.5005"
"42.5000","3.5361","6125.3472"
"42.7500","3.5570","6115.3398"
"43.0000","3.5778","6106.7827"
"43.2500","3.5987","6097.6313"
"43.5000","3.6195","6083.3926"
"43.7500","3.6403","6068.5488"
"44.0000","3.6611","6053.1450"
"44.2500","3.6820","6033.8340"
"44.5000","3.7029","6015.6035"
"44.7500","3.7237","5992.6064"
"45.0000","3.7445","5965.7012"
"45.2500","3.7652","5932.4624"
"45.5000","3.7861","5899.7637"
"45.7500","3.8071","5864.9253"
"46.0000","3.8279","5825.0815"
"46.2500","3.8487","5773.3477"
"46.5000","3.8694","5710.6206"
"46.7500","3.8903","5632.5161"
"47.0000","3.9111","5563.3350"
"47.2500","3.9320","5499.3862"
"47.5000","3.9529","5435.0420"
"47.7500","3.9737","5363.9009"
"48.0000","3.9944","5295.6382"
"48.2500","4.0153","5235.2017"
"48.5000","4.0362","5169.3657"
"48.7500","4.0571","5110.3823"
"49.0000","4.0778","5054.7881"
"49.2500","4.0986","4998.2471"
"49.5000","4.1194","4941.2930"
"49.7500","4.1403","4881.2129"
"50.0000","4.1613","4815.3564"
"50.2500","4.1820","4740.2251"
"50.5000","4.2028","4660.7153"
"50.7500","4.2236","4575.0464"
"51.0000","4.2444","4487.0381"
"51.2500","4.2655","4373.3276"
"51.5000","4.2862","4259.0825"
"51.7500","4.3070","4178.0908"
"52.0000","4.3279","4109.3813"
"52.2500","4.3486","4040.6704"
"52.5000","4.3695","3970.0251"
"52.7500","4.3904","3878.3477"
"53.0000","4.4112","3781.1719"
"53.2500","4.4320","3691.4041"
"53.5000","4.4528","3612.3206"
"53.7500","4.4736","3534.3896"
"54.0000","4.4946","3480.4690"
"54.2500","4.5154","3440.5298"
"54.5000","4.5361","3406.6995"
"54.7500","4.5569","3376.7092"
"55.0000","4.5778","3342.3887"
"55.2500","4.5987","3306.5166"
"55.5000","4.6195","3243.9883"
"55.7500","4.6404","3178.2727"
"56.0000","4.6611","3110.3435"
"56.2500","4.6819","3059.8804"
"56.5000","4.7029","3017.8416"
"56.7500","4.7237","2972.9827"
"57.0000","4.7446","2931.1477"
"57.2500","4.7653","2902.9326"
"57.5000","4.7860","2874.3621"
"57.7500","4.8070","2852.2197"
"58.0000","4.8279","2833.2244"
"58.2500","4.8487","2805.4844"
"58.5000","4.8696","2788.1387"
"58.7500","4.8903","2775.5818"
"59.0000","4.9111","2766.0322"
"59.2500","4.9321","2755.0891"
"59.5000","4.9529","2743.0310"
"59.7500","4.9737","2716.9526"
"60.0000","4.9945","2684.5696"
"60.2500","5.0153","2657.9268"
"60.5000","5.0361","2636.7944"
"60.7500","5.0571","2621.3481"
"61.0000","5.0778","2603.7727"
"61.2500","5.0987","2595.5615"
"61.5000","5.1195","2591.2869"
"61.7500","5.1403","2579.0295"
"62.0000","5.1612","2574.2158"
"62.2500","5.1820","2565.3901"
"62.5000","5.2028","2567.2104"
"62.7500","5.2236","2559.5203"
"63.0000","5.2444","2555.0098"
"63.2500","5.2653","2552.9783"
"63.5000","5.2863","2523.5942"
"63.7500","5.3070","2492.6060"
"64.0000","5.3278","2464.0247"
"64.1500","5.3404","2441.1616"

