
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1398"
"0.0500","0.0001","0.2168"
"0.1000","0.0007","-0.0803"
"0.1500","0.0010","-0.0884"
"0.2000","0.0027","-0.2541"
"0.2500","0.0055","-0.0135"
"0.3000","0.0074","0.0709"
"0.3500","0.0092","0.0390"
"0.4000","0.0106","-0.0866"
"0.4500","0.0124","-0.2118"
"0.5000","0.0143","0.0186"
"0.5500","0.0158","-0.0739"
"0.6000","0.0176","-0.1284"
"0.6500","0.0191","0.0707"
"0.7000","0.0210","0.0406"
"0.7500","0.0223","0.2684"
"0.8000","0.0242","0.1947"
"0.8500","0.0259","0.0767"
"0.9000","0.0275","0.0988"
"0.9500","0.0292","0.2085"
"1.0000","0.0308","0.1629"
"1.0500","0.0327","0.2674"
"1.1000","0.0340","0.3448"
"1.1500","0.0359","0.1197"
"1.2000","0.0376","0.2497"
"1.2500","0.0392","0.0953"
"1.3000","0.0409","0.2526"
"1.3500","0.0425","0.2510"
"1.4000","0.0443","0.4058"
"1.4500","0.0456","0.1898"
"1.5000","0.0476","0.3229"
"1.5500","0.0492","0.1954"
"1.6000","0.0509","0.1962"
"1.6500","0.0526","0.3597"
"1.7000","0.0542","0.3843"
"1.7500","0.0559","0.2683"
"1.8000","0.0573","0.4751"
"1.8500","0.0593","0.4398"
"1.9000","0.0608","0.2097"
"1.9500","0.0625","0.3925"
"2.0000","0.0643","0.4996"
"2.0500","0.0659","0.4883"
"2.1000","0.0675","0.5092"
"2.1500","0.0690","0.6309"
"2.2000","0.0710","0.6545"
"2.2500","0.0724","0.5828"
"2.3000","0.0742","0.8021"
"2.3500","0.0758","0.7150"
"2.4000","0.0776","1.0862"
"2.4500","0.0791","0.9915"
"2.5000","0.0806","1.2962"
"2.5500","0.0826","1.3084"
"2.6000","0.0841","1.7150"
"2.6500","0.0860","1.8531"
"2.7000","0.0875","2.1594"
"2.7500","0.0893","2.2222"
"2.8000","0.0907","2.2000"
"2.8500","0.0924","2.2398"
"2.9000","0.0944","2.5275"
"2.9500","0.0958","2.6089"
"3.0000","0.0977","2.5902"
"3.0500","0.0991","2.6753"
"3.1000","0.1010","2.9995"
