Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"","",""

Results Table 1
,Start date,Modulus (Automatic Young's),Diameter,Geometry,Height,Compressive strain (Displacement) gauge length,Rate 1
,,(MPa),(mm),,(mm),(mm),(mm/min)
"1","4/6/2020","37.44","20.00","Circular","50.00","50.00","3.00"


Time,Displacement,Force
(s),(mm),(kN)
"0.0000","1.6562","0.0041"
"0.1400","1.6581","0.0045"
"0.2800","1.6658","0.0065"
"0.4200","1.6730","0.0078"
"0.5600","1.6801","0.0090"
"0.7000","1.6870","0.0101"
"0.8400","1.6940","0.0111"
"0.9800","1.7011","0.0121"
"1.1200","1.7080","0.0129"
"1.2600","1.7151","0.0139"
"1.4000","1.7221","0.0148"
"1.5400","1.7291","0.0158"
"1.6800","1.7361","0.0168"
"1.8200","1.7429","0.0177"
"1.9600","1.7501","0.0187"
"2.1000","1.7570","0.0197"
"2.2400","1.7641","0.0207"
"2.3800","1.7712","0.0218"
"2.5200","1.7779","0.0227"
"2.6600","1.7851","0.0238"
"2.8000","1.7920","0.0249"
"2.9400","1.7991","0.0260"
"3.0800","1.8062","0.0271"
"3.2200","1.8129","0.0282"
"3.3600","1.8201","0.0293"
"3.5000","1.8270","0.0304"
"3.6400","1.8340","0.0316"
"3.7800","1.8412","0.0327"
"3.9200","1.8480","0.0339"
"4.0600","1.8552","0.0351"
"4.2000","1.8621","0.0363"
"4.3400","1.8689","0.0374"
"4.4800","1.8761","0.0388"
"4.6200","1.8830","0.0400"
"4.7600","1.8902","0.0413"
"4.9000","1.8972","0.0425"
"5.0400","1.9039","0.0437"
"5.1800","1.9110","0.0451"
"5.3200","1.9181","0.0464"
"5.4600","1.9251","0.0477"
"5.6000","1.9321","0.0491"
"5.7400","1.9390","0.0503"
"5.8800","1.9460","0.0517"
"6.0200","1.9531","0.0531"
"6.1600","1.9600","0.0544"
"6.3000","1.9671","0.0558"
"6.4400","1.9740","0.0572"
"6.5800","1.9811","0.0586"
"6.7200","1.9880","0.0600"
"6.8600","1.9949","0.0613"
"7.0000","2.0022","0.0629"
"7.1400","2.0090","0.0642"
"7.2800","2.0161","0.0657"
"7.4200","2.0231","0.0671"
"7.5600","2.0300","0.0685"
"7.7000","2.0371","0.0700"
"7.8400","2.0440","0.0715"
"7.9800","2.0511","0.0730"
"8.1200","2.0582","0.0745"
"8.2600","2.0649","0.0759"
"8.4000","2.0721","0.0774"
"8.5400","2.0790","0.0789"
"8.6800","2.0861","0.0804"
"8.8200","2.0931","0.0820"
"8.9600","2.0999","0.0834"
"9.1000","2.1071","0.0850"
"9.2400","2.1141","0.0866"
"9.3800","2.1210","0.0880"
"9.5200","2.1281","0.0896"
"9.6600","2.1350","0.0911"
"9.8000","2.1422","0.0928"
"9.9400","2.1491","0.0943"
"10.0800","2.1560","0.0958"
"10.2200","2.1630","0.0974"
"10.3600","2.1700","0.0990"
"10.5000","2.1771","0.1006"
"10.6400","2.1842","0.1022"
"10.7800","2.1910","0.1037"
"10.9200","2.1981","0.1053"
"11.0600","2.2051","0.1069"
"11.2000","2.2121","0.1085"
"11.3400","2.2191","0.1101"
"11.4800","2.2259","0.1117"
