Results Table 1
,Modulus (Automatic Young's),Specimen number (included),Maximum Force
,(MPa),,(kN)
"4","39.13","4","0.04"

Results Table 2



Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0001"
"0.0500","0.0002","0.0001"
"0.1000","0.0023","0.0002"
"0.1500","0.0048","0.0004"
"0.2000","0.0108","0.0008"
"0.2500","0.0157","0.0011"
"0.3000","0.0198","0.0013"
"0.3500","0.0241","0.0016"
"0.4000","0.0283","0.0019"
"0.4500","0.0325","0.0021"
"0.5000","0.0365","0.0023"
"0.5500","0.0408","0.0025"
"0.6000","0.0450","0.0028"
"0.6500","0.0491","0.0030"
"0.7000","0.0533","0.0032"
"0.7500","0.0575","0.0034"
"0.8000","0.0616","0.0037"
"0.8500","0.0658","0.0038"
"0.9000","0.0699","0.0041"
"0.9500","0.0740","0.0043"
"1.0000","0.0783","0.0045"
"1.0500","0.0824","0.0047"
"1.1000","0.0866","0.0050"
"1.1500","0.0909","0.0051"
"1.2000","0.0949","0.0053"
"1.2500","0.0991","0.0056"
"1.3000","0.1034","0.0058"
"1.3500","0.1075","0.0059"
"1.4000","0.1117","0.0061"
"1.4500","0.1157","0.0064"
"1.5000","0.1199","0.0066"
"1.5500","0.1242","0.0068"
"1.6000","0.1282","0.0070"
"1.6500","0.1324","0.0072"
"1.7000","0.1366","0.0074"
"1.7500","0.1407","0.0076"
"1.8000","0.1450","0.0078"
"1.8500","0.1492","0.0080"
"1.9000","0.1533","0.0082"
"1.9500","0.1575","0.0083"
"2.0000","0.1616","0.0085"
"2.0500","0.1658","0.0087"
"2.1000","0.1700","0.0089"
"2.1500","0.1740","0.0091"
"2.2000","0.1783","0.0093"
"2.2500","0.1825","0.0095"
"2.3000","0.1865","0.0097"
"2.3500","0.1908","0.0099"
"2.4000","0.1950","0.0101"
"2.4500","0.1990","0.0103"
"2.5000","0.2033","0.0104"
"2.5500","0.2074","0.0107"
"2.6000","0.2116","0.0108"
"2.6500","0.2159","0.0110"
"2.7000","0.2199","0.0112"
"2.7500","0.2241","0.0114"
"2.8000","0.2284","0.0116"
"2.8500","0.2324","0.0117"
"2.9000","0.2367","0.0119"
"2.9500","0.2408","0.0121"
"3.0000","0.2449","0.0123"
"3.0500","0.2491","0.0125"
"3.1000","0.2532","0.0127"
"3.1500","0.2574","0.0128"
"3.2000","0.2616","0.0130"
"3.2500","0.2657","0.0132"
"3.3000","0.2699","0.0134"
"3.3500","0.2742","0.0136"
"3.4000","0.2782","0.0138"
"3.4500","0.2825","0.0139"
"3.5000","0.2867","0.0141"
"3.5500","0.2908","0.0143"
