
Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0500","0.0003","0.0000"
"0.1000","0.0025","0.0000"
"0.1500","0.0048","0.0001"
"0.2000","0.0108","0.0002"
"0.2500","0.0157","0.0003"
"0.3000","0.0199","0.0003"
"0.3500","0.0240","0.0004"
"0.4000","0.0283","0.0004"
"0.4500","0.0325","0.0005"
"0.5000","0.0365","0.0006"
"0.5500","0.0408","0.0006"
"0.6000","0.0449","0.0007"
"0.6500","0.0491","0.0007"
"0.7000","0.0533","0.0008"
"0.7500","0.0575","0.0008"
"0.8000","0.0616","0.0008"
"0.8500","0.0658","0.0009"
"0.9000","0.0699","0.0010"
"0.9500","0.0741","0.0010"
"1.0000","0.0784","0.0010"
"1.0500","0.0824","0.0011"
"1.1000","0.0866","0.0012"
"1.1500","0.0909","0.0012"
"1.2000","0.0949","0.0012"
"1.2500","0.0991","0.0013"
"1.3000","0.1032","0.0013"
"1.3500","0.1074","0.0013"
"1.4000","0.1117","0.0014"
"1.4500","0.1157","0.0014"
"1.5000","0.1200","0.0015"
"1.5500","0.1242","0.0015"
"1.6000","0.1282","0.0015"
"1.6500","0.1325","0.0016"
"1.7000","0.1367","0.0017"
"1.7500","0.1407","0.0017"
"1.8000","0.1450","0.0017"
"1.8500","0.1491","0.0017"
"1.9000","0.1532","0.0018"
"1.9500","0.1574","0.0019"
"2.0000","0.1615","0.0019"
"2.0500","0.1657","0.0019"
"2.1000","0.1700","0.0020"
"2.1500","0.1740","0.0020"
"2.2000","0.1783","0.0020"
"2.2500","0.1825","0.0020"
"2.3000","0.1865","0.0021"
"2.3500","0.1908","0.0021"
"2.4000","0.1950","0.0021"
"2.4500","0.1991","0.0022"
"2.5000","0.2033","0.0022"
"2.5500","0.2075","0.0022"
"2.6000","0.2116","0.0023"
"2.6500","0.2158","0.0023"
"2.7000","0.2199","0.0023"
"2.7500","0.2240","0.0024"
"2.8000","0.2283","0.0024"
"2.8500","0.2324","0.0024"
"2.9000","0.2366","0.0025"
"2.9500","0.2408","0.0025"
"3.0000","0.2449","0.0026"
"3.0500","0.2491","0.0026"
"3.1000","0.2533","0.0026"
"3.1500","0.2574","0.0027"
"3.2000","0.2617","0.0027"
"3.2500","0.2657","0.0027"
"3.3000","0.2700","0.0027"
"3.3500","0.2742","0.0028"
"3.4000","0.2782","0.0028"
"3.4500","0.2824","0.0028"
"3.5000","0.2866","0.0028"
"3.5500","0.2907","0.0029"
"3.6000","0.2950","0.0029"
"3.6500","0.2991","0.0030"
"3.7000","0.3032","0.0030"
"3.7500","0.3075","0.0030"
"3.8000","0.3116","0.0031"
"3.8500","0.3158","0.0031"
"3.9000","0.3201","0.0031"
"3.9500","0.3241","0.0031"
"4.0000","0.3283","0.0032"
"4.0500","0.3325","0.0032"
"4.1000","0.3365","0.0032"
"4.1500","0.3407","0.0032"
"4.2000","0.3449","0.0033"
"4.2500","0.3491","0.0033"
"4.3000","0.3534","0.0034"
"4.3500","0.3574","0.0034"
"4.4000","0.3616","0.0034"
"4.4500","0.3658","0.0034"
"4.5000","0.3699","0.0034"
"4.5500","0.3741","0.0035"
"4.6000","0.3783","0.0035"
"4.6500","0.3824","0.0035"
"4.7000","0.3867","0.0035"
"4.7500","0.3908","0.0036"
"4.8000","0.3949","0.0036"
"4.8500","0.3991","0.0036"
"4.9000","0.4032","0.0037"
"4.9500","0.4074","0.0037"
"5.0000","0.4117","0.0037"
"5.0500","0.4157","0.0038"
"5.1000","0.4200","0.0038"
"5.1500","0.4241","0.0038"
"5.2000","0.4282","0.0038"
"5.2500","0.4325","0.0039"
"5.3000","0.4366","0.0039"
"5.3500","0.4407","0.0039"
"5.4000","0.4450","0.0039"
"5.4500","0.4491","0.0040"
"5.5000","0.4532","0.0040"
"5.5500","0.4575","0.0040"
"5.6000","0.4615","0.0040"
"5.6500","0.4657","0.0040"
"5.7000","0.4699","0.0041"
"5.7500","0.4740","0.0041"
"5.8000","0.4783","0.0042"
