Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"","",""

Results Table 1
,Start date,Modulus (Automatic Young's),Diameter,Geometry,Height,Compressive strain (Displacement) gauge length,Rate 1
,,(MPa),(mm),,(mm),(mm),(mm/min)
"2","4/6/2020","24.94","20.00","Circular","50.00","50.00","3.00"


Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0001"
"0.1400","0.0018","0.0002"
"0.2800","0.0097","0.0012"
"0.4200","0.0169","0.0021"
"0.5600","0.0239","0.0029"
"0.7000","0.0307","0.0039"
"0.8400","0.0379","0.0048"
"0.9800","0.0449","0.0057"
"1.1200","0.0520","0.0064"
"1.2600","0.0589","0.0072"
"1.4000","0.0657","0.0079"
"1.5400","0.0729","0.0086"
"1.6800","0.0798","0.0094"
"1.8200","0.0869","0.0101"
"1.9600","0.0940","0.0109"
"2.1000","0.1008","0.0116"
"2.2400","0.1079","0.0125"
"2.3800","0.1149","0.0133"
"2.5200","0.1218","0.0141"
"2.6600","0.1289","0.0150"
"2.8000","0.1358","0.0158"
"2.9400","0.1429","0.0167"
"3.0800","0.1499","0.0176"
"3.2200","0.1568","0.0184"
"3.3600","0.1639","0.0194"
"3.5000","0.1709","0.0203"
"3.6400","0.1779","0.0213"
"3.7800","0.1850","0.0222"
"3.9200","0.1917","0.0232"
"4.0600","0.1989","0.0242"
"4.2000","0.2059","0.0252"
"4.3400","0.2130","0.0262"
"4.4800","0.2200","0.0273"
"4.6200","0.2268","0.0283"
"4.7600","0.2339","0.0294"
"4.9000","0.2409","0.0305"
"5.0400","0.2478","0.0316"
"5.1800","0.2550","0.0327"
"5.3200","0.2617","0.0338"
"5.4600","0.2689","0.0350"
"5.6000","0.2759","0.0362"
"5.7400","0.2828","0.0372"
"5.8800","0.2899","0.0385"
"6.0200","0.2968","0.0396"
"6.1600","0.3039","0.0408"
"6.3000","0.3109","0.0420"
"6.4400","0.3177","0.0431"
"6.5800","0.3249","0.0443"
"6.7200","0.3319","0.0455"
"6.8600","0.3390","0.0467"
"7.0000","0.3460","0.0479"
"7.1400","0.3528","0.0490"
"7.2800","0.3599","0.0503"
"7.4200","0.3669","0.0515"
"7.5600","0.3739","0.0526"
"7.7000","0.3810","0.0539"
"7.8400","0.3878","0.0550"
"7.9800","0.3949","0.0562"
"8.1200","0.4019","0.0574"
"8.2600","0.4088","0.0585"
"8.4000","0.4159","0.0597"
"8.5400","0.4228","0.0609"
"8.6800","0.4299","0.0621"
"8.8200","0.4369","0.0633"
"8.9600","0.4437","0.0644"
"9.1000","0.4509","0.0656"
"9.2400","0.4579","0.0668"
"9.3800","0.4649","0.0680"
"9.5200","0.4720","0.0692"
"9.6600","0.4787","0.0702"
"9.8000","0.4859","0.0714"
"9.9400","0.4929","0.0726"
"10.0800","0.5000","0.0738"
"10.2200","0.5070","0.0750"
"10.3600","0.5137","0.0760"
"10.5000","0.5209","0.0772"
"10.6400","0.5279","0.0784"
"10.7800","0.5349","0.0794"
"10.9200","0.5419","0.0807"
"11.0600","0.5487","0.0817"
"11.2000","0.5560","0.0829"
"11.3400","0.5629","0.0840"
"11.4800","0.5698","0.0851"
