
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","2.0632"
"0.1000","0.0004","2.9427"
"0.2000","0.0017","9.2402"
"0.3000","0.0065","32.5180"
"0.4000","0.0099","48.3443"
"0.5000","0.0134","63.3456"
"0.6000","0.0168","77.3262"
"0.7000","0.0200","90.4655"
"0.8000","0.0237","104.6820"
"0.9000","0.0270","116.8161"
"1.0000","0.0303","128.5797"
"1.1000","0.0334","139.2967"
"1.2000","0.0368","150.3972"
"1.3000","0.0400","160.9969"
"1.4000","0.0433","171.0601"
"1.5000","0.0469","182.5663"
"1.6000","0.0502","192.7468"
"1.7000","0.0537","203.5984"
"1.8000","0.0569","213.2661"
"1.9000","0.0602","223.5106"
"2.0000","0.0634","232.9987"
"2.1000","0.0666","242.2577"
"2.2000","0.0702","253.5635"
"2.3000","0.0735","264.2024"
"2.4000","0.0768","274.1780"
"2.5000","0.0804","285.2837"
"2.6000","0.0835","294.2141"
"2.7000","0.0869","304.2070"
"2.8000","0.0899","312.5027"
"2.9000","0.0934","321.9264"
"3.0000","0.0969","330.8347"
"3.1000","0.1001","338.2501"
"3.2000","0.1036","345.7879"
"3.3000","0.1070","352.0714"
"3.4000","0.1102","358.3448"
"3.5000","0.1134","364.5139"
"3.6000","0.1167","370.3959"
"3.7000","0.1201","377.2238"
"3.8000","0.1234","382.7798"
"3.9000","0.1270","390.1414"
"4.0000","0.1303","396.4622"
"4.1000","0.1337","402.7748"
"4.2000","0.1367","408.9534"
"4.3000","0.1402","415.6703"
"4.4000","0.1435","421.7395"
"4.5000","0.1466","427.8529"
"4.6000","0.1503","435.7869"
"4.7000","0.1536","442.3049"
"4.8000","0.1569","448.9442"
"4.9000","0.1602","455.6066"
"5.0000","0.1634","461.5723"
"5.1000","0.1668","468.2894"
"5.2000","0.1699","474.0208"
"5.3000","0.1736","481.1191"
"5.4000","0.1769","487.2810"
"5.5000","0.1802","493.7308"
"5.6000","0.1836","500.3454"
"5.7000","0.1868","505.9486"
"5.8000","0.1902","512.1042"
"5.9000","0.1933","517.1084"
"6.0000","0.1968","523.2626"
"6.1000","0.2002","529.3242"
"6.2000","0.2034","534.3341"
"6.3000","0.2070","541.0778"
"6.4000","0.2102","546.0673"
"6.5000","0.2136","551.4517"
"6.6000","0.2167","556.2911"
"6.7000","0.2201","561.7542"
"6.8000","0.2234","567.3868"
"6.9000","0.2267","572.7253"
"7.0000","0.2303","579.1208"
"7.1000","0.2337","584.8598"
"7.2000","0.2370","590.7372"
"7.3000","0.2401","595.4640"
"7.4000","0.2434","600.6185"
"7.5000","0.2468","606.1728"
"7.6000","0.2499","610.8524"
"7.7000","0.2536","617.8852"
"7.8000","0.2569","622.9260"
"7.9000","0.2603","629.1544"
"8.0000","0.2635","634.7856"
"8.1000","0.2668","640.4720"
"8.2000","0.2701","646.0882"
"8.3000","0.2733","651.6326"
"8.4000","0.2768","658.5524"
"8.5000","0.2802","664.5181"
"8.6000","0.2836","670.3235"
"8.7000","0.2870","676.9056"
"8.8000","0.2902","681.8598"
"8.9000","0.2935","687.2307"
"9.0000","0.2966","691.9244"
"9.1000","0.3001","698.8678"
"9.2000","0.3034","704.5217"
"9.3000","0.3068","710.4208"
"9.4000","0.3103","717.0261"
"9.5000","0.3136","721.8231"
"9.6000","0.3170","726.5747"
