
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1025"
"0.2500","0.0150","15.0180"
"0.5000","0.0360","26.0681"
"0.7500","0.0569","35.9534"
"1.0000","0.0777","43.9124"
"1.2500","0.0984","51.1068"
"1.5000","0.1192","55.8788"
"1.7500","0.1401","61.2123"
"2.0000","0.1610","70.8332"
"2.2500","0.1819","84.0402"
"2.5000","0.2026","99.8839"
"2.7500","0.2233","120.4018"
"3.0000","0.2443","146.4773"
"3.2500","0.2652","178.9154"
"3.5000","0.2860","217.0096"
"3.7500","0.3068","259.6934"
"4.0000","0.3276","306.2619"
"4.2500","0.3483","357.7371"
"4.5000","0.3693","415.3622"
"4.7500","0.3901","476.3693"
"5.0000","0.4109","542.1388"
"5.2500","0.4318","612.7449"
"5.5000","0.4525","687.0284"
"5.7500","0.4734","766.6783"
"6.0000","0.4944","850.0037"
"6.2500","0.5152","932.2119"
"6.5000","0.5359","1014.6013"
"6.7500","0.5568","1097.5372"
"7.0000","0.5776","1177.7853"
"7.2500","0.5985","1257.4290"
"7.5000","0.6194","1333.5708"
"7.7500","0.6401","1404.0592"
"8.0000","0.6609","1471.7273"
"8.2500","0.6817","1536.9850"
"8.5000","0.7026","1600.3469"
"8.7500","0.7235","1661.8882"
"9.0000","0.7444","1718.1802"
"9.2500","0.7651","1771.2083"
"9.5000","0.7859","1822.7244"
"9.7500","0.8068","1873.1345"
"10.0000","0.8276","1920.6311"
"10.2500","0.8485","1965.7406"
"10.5000","0.8693","2008.6667"
"10.7500","0.8900","2048.0483"
"11.0000","0.9109","2087.8408"
"11.2500","0.9318","2127.1245"
"11.5000","0.9527","2163.7671"
"11.7500","0.9735","2199.8423"
"12.0000","0.9942","2231.8037"
"12.2500","1.0150","2263.3921"
"12.5000","1.0360","2296.9834"
"12.7500","1.0569","2327.9304"
"13.0000","1.0776","2356.4302"
"13.2500","1.0985","2385.2092"
"13.5000","1.1192","2411.1245"
"13.7500","1.1400","2437.2632"
"14.0000","1.1611","2464.4304"
"14.2500","1.1819","2489.2639"
"14.5000","1.2026","2510.6865"
"14.7500","1.2234","2531.9534"
"15.0000","1.2443","2553.3616"
"15.2500","1.2651","2574.9958"
"15.5000","1.2860","2595.1838"
"15.7500","1.3068","2614.6692"
