
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1206"
"0.2500","0.0152","53.6265"
"0.5000","0.0363","170.6756"
"0.7500","0.0570","322.1686"
"1.0000","0.0778","492.5511"
"1.2500","0.0986","662.0027"
"1.5000","0.1194","801.9534"
"1.7500","0.1404","888.6623"
"2.0000","0.1613","953.9792"
"2.2500","0.1820","1013.3676"
"2.5000","0.2028","1074.1255"
"2.7500","0.2236","1136.0457"
"3.0000","0.2445","1198.1974"
"3.2500","0.2654","1260.0925"
"3.5000","0.2862","1319.2567"
"3.7500","0.3069","1377.0139"
"4.0000","0.3277","1433.5736"
"4.2500","0.3487","1490.6981"
"4.5000","0.3695","1546.7920"
"4.7500","0.3904","1601.0793"
"5.0000","0.4112","1650.5737"
"5.2500","0.4319","1697.8290"
"5.5000","0.4529","1746.4166"
"5.7500","0.4737","1791.6901"
"6.0000","0.4945","1835.2000"
"6.2500","0.5154","1876.5250"
"6.5000","0.5361","1914.1130"
"6.7500","0.5569","1950.7346"
"7.0000","0.5779","1988.4360"
"7.2500","0.5987","2024.6427"
"7.5000","0.6195","2058.4141"
"7.7500","0.6403","2089.3232"
"8.0000","0.6611","2117.6541"
"8.2500","0.6820","2149.1035"
"8.5000","0.7029","2179.5330"
"8.7500","0.7237","2208.3716"
"9.0000","0.7445","2234.5569"
"9.2500","0.7653","2259.0271"
"9.5000","0.7861","2284.4626"
"9.7500","0.8070","2308.7991"
"10.0000","0.8279","2335.5718"
"10.2500","0.8487","2360.0708"
"10.5000","0.8694","2380.7471"
"10.7500","0.8903","2402.0320"
"11.0000","0.9111","2424.2854"
"11.2500","0.9321","2447.6289"
"11.5000","0.9529","2467.2947"
"11.7500","0.9736","2484.9104"
"12.0000","0.9945","2503.4456"
"12.2500","1.0153","2520.3940"
"12.5000","1.0362","2539.5540"
"12.7500","1.0571","2557.7012"
"13.0000","1.0779","2573.1533"
"13.2500","1.0986","2587.7725"
"13.5000","1.1195","2602.1472"
"13.7500","1.1404","2618.8879"
"14.0000","1.1613","2635.9546"
"14.2500","1.1820","2648.1003"
"14.5000","1.2028","2660.9031"
"14.7500","1.2236","2672.3259"
"15.0000","1.2445","2684.4534"
"15.2500","1.2654","2697.6628"
"15.5000","1.2863","2710.7380"
"15.7500","1.3070","2720.1108"
"16.0000","1.3277","2727.4302"
"16.2500","1.3486","2737.0566"
"16.5000","1.3695","2747.2126"
"16.7500","1.3904","2756.7903"
"17.0000","1.4112","2763.2673"
"17.2500","1.4320","2768.9792"
"17.5000","1.4528","2774.2458"
"17.7500","1.4737","2781.6667"
"18.0000","1.4946","2787.9966"
"18.2500","1.5154","2793.0679"
"18.5000","1.5362","2797.8423"
"18.7500","1.5569","2798.8899"
"19.0000","1.5778","2803.7839"
"19.2500","1.5988","2811.1709"
"19.5000","1.6196","2814.7190"
"19.7500","1.6403","2817.1741"
"20.0000","1.6612","2819.6792"
"20.2500","1.6819","2820.5027"
"20.5000","1.7028","2824.7205"
"20.7500","1.7238","2828.6777"
"21.0000","1.7446","2828.1626"
"21.2500","1.7653","2828.7148"
"21.5000","1.7861","2827.0198"
"21.7500","1.8069","2826.4941"
"22.0000","1.8280","2830.0242"
"22.2500","1.8488","2828.7307"
"22.5000","1.8695","2824.6155"
"22.7500","1.8903","2822.0134"
"23.0000","1.9111","2818.7607"
"23.2500","1.9320","2816.5210"
"23.5000","1.9529","2814.6631"
"23.7500","1.9737","2809.8516"
"24.0000","1.9945","2804.1882"
