
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0044"
"0.0500","0.0001","-0.0009"
"0.1000","0.0005","0.0119"
"0.1500","0.0009","-0.0071"
"0.2000","0.0022","0.0193"
"0.2500","0.0050","0.0153"
"0.3000","0.0071","0.0502"
"0.3500","0.0087","0.0428"
"0.4000","0.0107","0.0326"
"0.4500","0.0122","0.0114"
"0.5000","0.0140","0.0372"
"0.5500","0.0154","0.0489"
"0.6000","0.0173","0.0313"
"0.6500","0.0187","0.0159"
"0.7000","0.0205","0.0308"
"0.7500","0.0224","0.0439"
"0.8000","0.0239","0.0289"
"0.8500","0.0257","0.0276"
"0.9000","0.0272","0.0317"
"0.9500","0.0291","0.0237"
"1.0000","0.0304","0.0275"
"1.0500","0.0323","0.0305"
"1.1000","0.0340","0.0294"
"1.1500","0.0356","0.0342"
"1.2000","0.0373","0.0379"
"1.2500","0.0389","0.0397"
"1.3000","0.0407","0.0565"
"1.3500","0.0420","0.0272"
"1.4000","0.0440","0.0205"
"1.4500","0.0456","0.0428"
"1.5000","0.0473","0.0360"
"1.5500","0.0490","0.0339"
"1.6000","0.0506","0.0489"
"1.6500","0.0523","0.0318"
"1.7000","0.0537","0.0643"
"1.7500","0.0557","0.0555"
"1.8000","0.0573","0.0644"
"1.8500","0.0590","0.0428"
"1.9000","0.0606","0.0588"
"1.9500","0.0623","0.0554"
"2.0000","0.0639","0.0542"
"2.0500","0.0654","0.0435"
"2.1000","0.0674","0.0626"
"2.1500","0.0689","0.0625"
"2.2000","0.0707","0.0534"
"2.2500","0.0723","0.0658"
"2.3000","0.0740","0.0730"
"2.3500","0.0755","0.0685"
"2.4000","0.0770","0.0596"
"2.4500","0.0790","0.0575"
"2.5000","0.0805","0.0737"
"2.5500","0.0823","0.0576"
"2.6000","0.0839","0.0678"
"2.6500","0.0857","0.0685"
"2.7000","0.0872","0.0574"
"2.7500","0.0887","0.0770"
"2.8000","0.0907","0.0801"
"2.8500","0.0922","0.0690"
"2.9000","0.0940","0.0507"
"2.9500","0.0956","0.0440"
"3.0000","0.0973","0.0655"
"3.0500","0.0988","0.0644"
"3.1000","0.1005","0.0624"
"3.1500","0.1024","0.0713"
"3.2000","0.1039","0.0398"
"3.2500","0.1057","0.0533"
"3.3000","0.1072","0.0658"
"3.3500","0.1090","0.0599"
"3.4000","0.1104","0.0541"
"3.4500","0.1122","0.0753"
"3.5000","0.1141","0.0700"
"3.5500","0.1156","0.0660"
"3.6000","0.1174","0.0817"
"3.6500","0.1190","0.0505"
"3.7000","0.1207","0.0670"
"3.7500","0.1221","0.0493"
"3.8000","0.1239","0.0675"
"3.8500","0.1257","0.0577"
"3.9000","0.1273","0.0679"
"3.9500","0.1290","0.0725"
"4.0000","0.1306","0.0661"
"4.0500","0.1324","0.0811"
"4.1000","0.1337","0.0864"
"4.1500","0.1356","0.0898"
"4.2000","0.1373","0.0865"
"4.2500","0.1389","0.0780"
"4.3000","0.1407","0.0894"
"4.3500","0.1423","0.0835"
"4.4000","0.1440","0.0895"
"4.4500","0.1454","0.0869"
"4.5000","0.1473","0.0820"
"4.5500","0.1490","0.0908"
"4.6000","0.1506","0.0874"
"4.6500","0.1523","0.0794"
"4.7000","0.1539","0.0723"
"4.7500","0.1557","0.0826"
"4.8000","0.1570","0.0932"
"4.8500","0.1590","0.0644"
"4.9000","0.1606","0.0728"
"4.9500","0.1623","0.0699"
"5.0000","0.1640","0.0959"
"5.0500","0.1656","0.0782"
"5.1000","0.1673","0.0881"
"5.1500","0.1687","0.0761"
"5.2000","0.1707","0.0884"
"5.2500","0.1723","0.0768"
"5.3000","0.1740","0.0820"
"5.3500","0.1756","0.0700"
"5.4000","0.1773","0.0885"
"5.4500","0.1789","0.1126"
"5.5000","0.1804","0.0908"
"5.5500","0.1824","0.1064"
"5.6000","0.1839","0.1152"
"5.6500","0.1857","0.1044"
"5.7000","0.1873","0.1139"
"5.7500","0.1890","0.1060"
"5.8000","0.1905","0.1040"
"5.8500","0.1921","0.1050"
"5.9000","0.1941","0.0996"
"5.9500","0.1955","0.0857"
"6.0000","0.1973","0.1109"
"6.0500","0.1989","0.1063"
"6.1000","0.2007","0.1194"
"6.1500","0.2021","0.1137"
"6.2000","0.2037","0.1113"
"6.2500","0.2057","0.1046"
"6.3000","0.2071","0.1165"
"6.3500","0.2090","0.1103"
"6.4000","0.2106","0.1154"
