
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0367"
"0.1000","0.0005","0.3364"
"0.2000","0.0016","1.4771"
"0.3000","0.0070","7.0149"
"0.4000","0.0103","10.2845"
"0.5000","0.0136","13.4827"
"0.6000","0.0172","17.0602"
"0.7000","0.0205","20.2059"
"0.8000","0.0238","23.4165"
"0.9000","0.0269","26.3804"
"1.0000","0.0303","29.5845"
"1.1000","0.0336","32.7030"
"1.2000","0.0369","35.7625"
"1.3000","0.0405","39.1900"
"1.4000","0.0438","42.2294"
"1.5000","0.0472","45.4237"
"1.6000","0.0504","48.3346"
"1.7000","0.0537","51.3885"
"1.8000","0.0570","54.3119"
"1.9000","0.0601","57.1235"
"2.0000","0.0637","60.3661"
"2.1000","0.0671","63.3722"
"2.2000","0.0704","66.2082"
"2.3000","0.0739","69.2946"
"2.4000","0.0771","72.0131"
"2.5000","0.0804","74.8288"
"2.6000","0.0835","77.2151"
"2.7000","0.0870","80.0989"
"2.8000","0.0904","82.7680"
"2.9000","0.0936","85.0271"
"3.0000","0.0972","86.3983"
"3.1000","0.1005","87.4644"
"3.2000","0.1038","89.1479"
"3.3000","0.1069","90.9127"
"3.4000","0.1103","92.8058"
"3.5000","0.1137","94.8505"
"3.6000","0.1169","96.8533"
"3.7000","0.1205","99.1972"
"3.8000","0.1238","101.2851"
"3.9000","0.1272","103.3928"
"4.0000","0.1303","105.3695"
"4.1000","0.1337","107.8237"
"4.2000","0.1370","110.3884"
"4.3000","0.1401","112.8400"
"4.4000","0.1438","115.3339"
"4.5000","0.1471","117.2721"
"4.6000","0.1505","119.1408"
"4.7000","0.1537","121.1050"
"4.8000","0.1570","123.2363"
"4.9000","0.1604","125.7671"
"5.0000","0.1635","127.7886"
"5.1000","0.1671","130.4890"
"5.2000","0.1704","132.6492"
"5.3000","0.1738","135.0330"
"5.4000","0.1771","137.2394"
"5.5000","0.1804","139.4018"
"5.6000","0.1838","141.3807"
"5.7000","0.1868","142.8241"
"5.8000","0.1903","145.2617"
"5.9000","0.1938","147.6715"
"6.0000","0.1970","149.9433"
"6.1000","0.2005","152.4288"
"6.2000","0.2037","154.7396"
"6.3000","0.2072","157.1508"
"6.4000","0.2102","159.3052"
"6.5000","0.2136","161.7025"
"6.6000","0.2170","164.1089"
"6.7000","0.2202","166.0791"
"6.8000","0.2239","168.0241"
"6.9000","0.2272","169.2311"
"7.0000","0.2305","171.6575"
"7.1000","0.2336","173.7902"
"7.2000","0.2369","175.6507"
"7.3000","0.2404","177.9079"
"7.4000","0.2435","179.8708"
"7.5000","0.2472","182.5377"
"7.6000","0.2504","184.6835"
"7.7000","0.2539","187.1428"
"7.8000","0.2571","189.5811"
"7.9000","0.2604","192.0924"
"8.0000","0.2636","194.4374"
"8.1000","0.2668","196.7290"
"8.2000","0.2704","199.4545"
"8.3000","0.2737","201.9070"
"8.4000","0.2771","204.3660"
"8.5000","0.2805","206.8583"
"8.6000","0.2837","209.1551"
"8.7000","0.2871","211.5706"
"8.8000","0.2902","213.6900"
"8.9000","0.2937","216.2435"
"9.0000","0.2971","218.7091"
"9.1000","0.3003","221.0891"
"9.2000","0.3039","223.7693"
"9.3000","0.3072","226.2072"
"9.4000","0.3104","228.5859"
"9.5000","0.3136","230.9195"
"9.6000","0.3170","233.4636"
"9.7000","0.3204","236.0819"
"9.8000","0.3235","238.4406"
"9.9000","0.3271","241.3419"
"10.0000","0.3305","243.9556"
"10.1000","0.3338","246.5983"
"10.2000","0.3370","249.0915"
"10.3000","0.3403","251.7279"
"10.4000","0.3437","254.4355"
"10.5000","0.3468","256.9668"
"10.6000","0.3504","259.9367"
"10.7000","0.3538","262.6573"
"10.8000","0.3571","265.3882"
"10.9000","0.3605","268.1130"
"11.0000","0.3637","270.7034"
"11.1000","0.3671","273.4800"
"11.2000","0.3701","275.8659"
"11.3000","0.3738","278.8962"
"11.4000","0.3771","281.5214"
"11.5000","0.3804","284.1859"
"11.6000","0.3838","286.9428"
"11.7000","0.3870","289.4998"
"11.8000","0.3904","292.2068"
"11.9000","0.3935","294.6118"
"12.0000","0.3970","297.3799"
"12.1000","0.4004","300.0336"
"12.2000","0.4037","302.6427"
"12.3000","0.4072","305.4286"
"12.4000","0.4105","307.9522"
"12.5000","0.4138","310.5055"
"12.6000","0.4169","312.8195"
"12.7000","0.4203","315.5305"
"12.8000","0.4237","318.0969"
"12.9000","0.4269","320.5182"
"13.0000","0.4305","323.3065"
"13.1000","0.4338","325.7390"
"13.2000","0.4372","328.2770"
"13.3000","0.4403","330.5850"
"13.4000","0.4436","332.9894"
"13.5000","0.4471","335.6164"
"13.6000","0.4502","337.8367"
"13.7000","0.4538","340.6111"
"13.8000","0.4571","343.0255"
"13.9000","0.4605","345.4705"
"14.0000","0.4638","347.8805"
"14.1000","0.4670","350.1541"
"14.2000","0.4704","352.5924"
"14.3000","0.4734","354.7005"
"14.4000","0.4771","357.3514"
"14.5000","0.4804","359.7242"
"14.6000","0.4838","362.0780"
"14.7000","0.4872","364.5069"
"14.8000","0.4904","366.7395"
"14.9000","0.4938","369.0359"
"15.0000","0.4968","371.0541"
"15.1000","0.5004","373.5977"
"15.2000","0.5036","375.7891"
"15.3000","0.5070","378.0785"
"15.4000","0.5105","380.5878"
"15.5000","0.5138","382.7400"
"15.6000","0.5171","385.0199"
