
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0139"
"0.0500","0.0000","0.0047"
"0.1000","0.0006","0.0093"
"0.1500","0.0009","0.0284"
"0.2000","0.0023","0.0313"
"0.2500","0.0050","0.0589"
"0.3000","0.0073","0.0635"
"0.3500","0.0089","0.0683"
"0.4000","0.0108","0.0787"
"0.4500","0.0124","0.0891"
"0.5000","0.0142","0.0910"
"0.5500","0.0155","0.1045"
"0.6000","0.0172","0.1349"
"0.6500","0.0191","0.1179"
"0.7000","0.0207","0.1587"
"0.7500","0.0225","0.1792"
"0.8000","0.0240","0.1851"
"0.8500","0.0258","0.1984"
"0.9000","0.0271","0.2100"
"0.9500","0.0290","0.2131"
"1.0000","0.0308","0.2059"
"1.0500","0.0323","0.2377"
"1.1000","0.0341","0.2402"
"1.1500","0.0356","0.2442"
"1.2000","0.0374","0.2409"
"1.2500","0.0388","0.2651"
"1.3000","0.0407","0.2767"
"1.3500","0.0424","0.2895"
"1.4000","0.0440","0.3008"
"1.4500","0.0457","0.2886"
"1.5000","0.0474","0.2870"
"1.5500","0.0491","0.2996"
"1.6000","0.0505","0.3008"
"1.6500","0.0524","0.2959"
"1.7000","0.0541","0.2972"
"1.7500","0.0557","0.2918"
"1.8000","0.0574","0.3126"
"1.8500","0.0590","0.3130"
"1.9000","0.0608","0.3025"
"1.9500","0.0621","0.2972"
"2.0000","0.0641","0.3071"
"2.0500","0.0657","0.3161"
"2.1000","0.0674","0.3039"
"2.1500","0.0691","0.3099"
"2.2000","0.0708","0.3047"
"2.2500","0.0724","0.2919"
"2.3000","0.0738","0.2958"
"2.3500","0.0758","0.3033"
"2.4000","0.0773","0.2895"
"2.4500","0.0790","0.2620"
"2.5000","0.0807","0.2897"
"2.5500","0.0824","0.2914"
"2.6000","0.0840","0.2976"
"2.6500","0.0855","0.2997"
"2.7000","0.0875","0.2895"
"2.7500","0.0889","0.3008"
"2.8000","0.0907","0.2921"
"2.8500","0.0924","0.3136"
"2.9000","0.0941","0.2961"
"2.9500","0.0956","0.3151"
"3.0000","0.0972","0.3018"
"3.0500","0.0992","0.3092"
"3.1000","0.1006","0.3182"
"3.1500","0.1024","0.3138"
"3.2000","0.1040","0.2950"
"3.2500","0.1058","0.3178"
"3.3000","0.1072","0.3065"
"3.3500","0.1089","0.3293"
"3.4000","0.1109","0.3146"
"3.4500","0.1123","0.3117"
"3.5000","0.1142","0.3155"
"3.5500","0.1157","0.3136"
"3.6000","0.1175","0.3144"
"3.6500","0.1188","0.3241"
"3.7000","0.1206","0.3053"
"3.7500","0.1225","0.3130"
"3.8000","0.1240","0.3186"
"3.8500","0.1258","0.3030"
"3.9000","0.1273","0.3155"
"3.9500","0.1292","0.3109"
"4.0000","0.1305","0.3142"
"4.0500","0.1324","0.3216"
"4.1000","0.1342","0.3255"
"4.1500","0.1356","0.3410"
"4.2000","0.1374","0.3324"
"4.2500","0.1389","0.3486"
"4.3000","0.1408","0.3245"
"4.3500","0.1421","0.3318"
"4.4000","0.1440","0.3373"
"4.4500","0.1458","0.3394"
"4.5000","0.1474","0.3247"
"4.5500","0.1491","0.3275"
"4.6000","0.1506","0.3493"
"4.6500","0.1525","0.3419"
"4.7000","0.1538","0.3341"
"4.7500","0.1558","0.3346"
"4.8000","0.1574","0.3672"
"4.8500","0.1590","0.3445"
"4.9000","0.1607","0.3292"
"4.9500","0.1623","0.3567"
"5.0000","0.1641","0.3519"
"5.0500","0.1654","0.3387"
"5.1000","0.1675","0.3470"
"5.1500","0.1690","0.3535"
"5.2000","0.1708","0.3381"
"5.2500","0.1723","0.3438"
"5.3000","0.1741","0.3394"
"5.3500","0.1757","0.3303"
"5.4000","0.1771","0.3477"
"5.4500","0.1791","0.3465"
"5.5000","0.1806","0.3438"
"5.5500","0.1825","0.3514"
"5.6000","0.1840","0.3430"
"5.6500","0.1858","0.3550"
"5.7000","0.1873","0.3579"
"5.7500","0.1889","0.3421"
"5.8000","0.1909","0.3608"
"5.8500","0.1923","0.3628"
"5.9000","0.1942","0.3467"
"5.9500","0.1957","0.3595"
"6.0000","0.1974","0.3482"
"6.0500","0.1989","0.3389"
"6.1000","0.2005","0.3511"
"6.1500","0.2025","0.3616"
"6.2000","0.2040","0.3447"
"6.2500","0.2058","0.3525"
"6.3000","0.2073","0.3561"
"6.3500","0.2091","0.3536"
"6.4000","0.2105","0.3637"
"6.4500","0.2122","0.3432"
"6.5000","0.2141","0.3640"
"6.5500","0.2156","0.3382"
"6.6000","0.2175","0.3691"
"6.6500","0.2190","0.3539"
"6.7000","0.2208","0.3436"
"6.7500","0.2222","0.3693"
"6.8000","0.2240","0.3610"
"6.8500","0.2258","0.3643"
"6.9000","0.2273","0.3748"
"6.9500","0.2292","0.3528"
"7.0000","0.2307","0.3566"
"7.0500","0.2324","0.3574"
"7.1000","0.2338","0.3573"
"7.1500","0.2358","0.3571"
"7.2000","0.2374","0.3607"
"7.2500","0.2389","0.3691"
"7.3000","0.2408","0.3492"
"7.3500","0.2424","0.3650"
"7.4000","0.2441","0.3758"
"7.4500","0.2455","0.3578"
"7.5000","0.2474","0.3882"
"7.5500","0.2491","0.3844"
"7.6000","0.2507","0.3734"
"7.6500","0.2524","0.3756"
"7.7000","0.2541","0.3659"
"7.7500","0.2557","0.3663"
"7.8000","0.2571","0.3731"
"7.8500","0.2591","0.3870"
"7.9000","0.2607","0.3746"
"7.9500","0.2624","0.3698"
"8.0000","0.2641","0.3600"
"8.0500","0.2657","0.3863"
"8.1000","0.2674","0.3678"
"8.1500","0.2688","0.3918"
"8.2000","0.2708","0.3765"
"8.2500","0.2723","0.3827"
