
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.2512"
"0.2500","0.0154","73.8725"
"0.5000","0.0363","192.4779"
"0.7500","0.0573","254.7978"
"1.0000","0.0781","294.3516"
"1.2500","0.0988","334.2544"
"1.5000","0.1196","378.6084"
"1.7500","0.1405","427.3853"
"2.0000","0.1614","479.4386"
"2.2500","0.1822","535.2245"
"2.5000","0.2031","591.7087"
"2.7500","0.2238","648.6995"
"3.0000","0.2446","706.0694"
"3.2500","0.2655","766.1011"
"3.5000","0.2864","827.8632"
"3.7500","0.3073","889.9718"
"4.0000","0.3280","949.4787"
"4.2500","0.3487","1009.1955"
"4.5000","0.3697","1070.9315"
"4.7500","0.3906","1130.2350"
"5.0000","0.4114","1187.1908"
"5.2500","0.4323","1243.3300"
"5.5000","0.4530","1296.0754"
"5.7500","0.4738","1347.1260"
"6.0000","0.4948","1399.4878"
"6.2500","0.5157","1449.1830"
"6.5000","0.5364","1494.9193"
"6.7500","0.5572","1539.1783"
"7.0000","0.5780","1582.7024"
"7.2500","0.5989","1627.8439"
"7.5000","0.6198","1674.2184"
"7.7500","0.6405","1717.8447"
"8.0000","0.6614","1763.3569"
"8.2500","0.6822","1805.7672"
"8.5000","0.7030","1849.3395"
"8.7500","0.7239","1891.8048"
"9.0000","0.7448","1932.5511"
"9.2500","0.7656","1972.1820"
"9.5000","0.7863","2009.5391"
"9.7500","0.8071","2047.5001"
"10.0000","0.8281","2085.3970"
"10.2500","0.8490","2121.1111"
"10.5000","0.8697","2153.2688"
"10.7500","0.8905","2185.0039"
"11.0000","0.9113","2213.9026"
"11.2500","0.9322","2243.3384"
"11.5000","0.9531","2273.8892"
"11.7500","0.9740","2301.8027"
"12.0000","0.9947","2326.7161"
"12.2500","1.0155","2351.4866"
"12.5000","1.0364","2375.2356"
"12.7500","1.0573","2399.2681"
"13.0000","1.0782","2422.8772"
"13.2500","1.0989","2442.8440"
"13.5000","1.1197","2462.1438"
"13.7500","1.1405","2481.3379"
"14.0000","1.1614","2500.3130"
"14.2500","1.1823","2518.5117"
"14.5000","1.2031","2536.4131"
"14.7500","1.2239","2551.4004"
"15.0000","1.2446","2566.1895"
"15.2500","1.2655","2581.8494"
"15.5000","1.2864","2598.0171"
"15.7500","1.3073","2611.9468"
"16.0000","1.3281","2625.0029"
"16.2500","1.3488","2636.5063"
"16.5000","1.3697","2648.7939"
"16.7500","1.3906","2661.0461"
"17.0000","1.4114","2672.8037"
"17.2500","1.4322","2682.1721"
"17.5000","1.4531","2691.9368"
"17.7500","1.4738","2698.9517"
"18.0000","1.4946","2706.9973"
"18.2500","1.5157","2718.0811"
"18.5000","1.5364","2724.1343"
"18.7500","1.5572","2729.4236"
"19.0000","1.5780","2734.8774"
"19.2500","1.5988","2738.8770"
"19.5000","1.6197","2743.5576"
"19.7500","1.6407","2747.2603"
"20.0000","1.6614","2747.8557"
"20.2500","1.6821","2749.0828"
"20.5000","1.7030","2749.2815"
"20.7500","1.7238","2749.6450"
"21.0000","1.7448","2752.8962"
"21.2500","1.7656","2751.5828"
"21.5000","1.7863","2747.8306"
"21.7500","1.8071","2746.2065"
"22.0000","1.8280","2746.0178"
"22.2500","1.8489","2745.5608"
"22.5000","1.8698","2745.3831"
"22.7500","1.8906","2742.6648"
"23.0000","1.9113","2740.1184"
"23.2500","1.9321","2737.3105"
"23.5000","1.9531","2736.5994"
"23.7500","1.9739","2734.3201"
"24.0000","1.9948","2730.7751"
"24.2500","2.0155","2722.2588"
"24.5000","2.0362","2715.0703"
"24.7500","2.0573","2711.5950"
"25.0000","2.0781","2705.9221"
"25.2500","2.0989","2698.3462"
"25.5000","2.1198","2690.5000"
"25.7500","2.1405","2681.3828"
"26.0000","2.1613","2670.8826"
"26.2500","2.1823","2663.5659"
"26.5000","2.2031","2652.3018"
"26.7500","2.2239","2640.2617"
"27.0000","2.2447","2625.5984"
"27.2500","2.2655","2609.8921"
"27.5000","2.2864","2596.5303"
"27.7500","2.3073","2581.8213"
"28.0000","2.3281","2566.3682"
"28.2500","2.3489","2551.2673"
"28.5000","2.3696","2532.1108"
"28.7500","2.3905","2513.9250"
"29.0000","2.4114","2496.2122"
"29.2500","2.4323","2476.7178"
"29.5000","2.4531","2456.1438"
"29.7500","2.4737","2436.4561"
"30.0000","2.4947","2419.9490"
"30.2500","2.5156","2403.3755"
"30.5000","2.5365","2387.9612"
"30.7500","2.5573","2371.0232"
"31.0000","2.5780","2354.6179"
"31.2500","2.5988","2337.2368"
"31.5000","2.6197","2321.7305"
"31.7500","2.6406","2308.6729"
"32.0000","2.6615","2294.9277"
"32.2500","2.6822","2280.7019"
"32.5000","2.7030","2263.8025"
"32.7500","2.7239","2246.8167"
"33.0000","2.7448","2231.8625"
"33.2500","2.7657","2215.9341"
"33.5000","2.7864","2192.8948"
"33.7500","2.8072","2168.5693"
"34.0000","2.8280","2143.8674"
"34.2500","2.8489","2120.6194"
"34.5000","2.8698","2095.8101"
"34.7500","2.8906","2069.4109"
"35.0000","2.9114","2039.2810"
"35.2500","2.9321","2013.4727"
"35.5000","2.9530","1994.1140"
"35.7500","2.9740","1978.5493"
"36.0000","2.9948","1960.2595"
"36.2500","3.0156","1943.4703"
"36.5000","3.0364","1927.2402"
"36.7500","3.0572","1910.4686"
"37.0000","3.0780","1898.9473"
"37.2500","3.0989","1888.0234"
"37.5000","3.1197","1875.8608"
"37.7500","3.1406","1861.1062"
"38.0000","3.1613","1847.7170"
"38.2500","3.1821","1835.0786"
"38.5000","3.2032","1821.5931"
"38.7500","3.2239","1804.8226"
"39.0000","3.2447","1785.5670"
"39.2500","3.2655","1769.0613"
"39.5000","3.2863","1749.3824"
"39.7500","3.3072","1730.5593"
"40.0000","3.3282","1710.1403"
"40.2500","3.3489","1688.6038"
"40.5000","3.3697","1666.1383"
"40.7500","3.3905","1644.6179"
"41.0000","3.4113","1622.8060"
"41.2500","3.4323","1599.8989"
"41.5000","3.4532","1572.2230"
"41.7500","3.4738","1540.5150"
"42.0000","3.4947","1502.5864"
"42.2500","3.5155","1459.5895"
"42.5000","3.5364","1421.6312"
"42.7500","3.5573","1389.6654"
"43.0000","3.5781","1359.3890"
"43.2500","3.5988","1331.1112"
"43.5000","3.6196","1308.9041"
"43.7500","3.6406","1293.3639"
"44.0000","3.6615","1276.2870"
"44.2500","3.6823","1259.7216"
"44.5000","3.7030","1240.9550"
"44.7500","3.7237","1222.4652"
"45.0000","3.7447","1203.6614"
"45.2500","3.7656","1184.0765"
"45.5000","3.7864","1167.4309"
"45.7500","3.8073","1148.0151"
"46.0000","3.8280","1122.0370"
"46.2500","3.8488","1100.2711"
"46.5000","3.8698","1073.2500"
"46.7500","3.8906","1046.7281"
"47.0000","3.9114","1002.5775"
"47.2500","3.9322","979.7500"
"47.5000","3.9530","846.0543"
"47.7500","3.9739","877.5144"
"48.0000","3.9949","761.1686"
"48.2500","4.0155","816.5762"
"48.5000","4.0364","814.2955"
"48.7060","4.0536","688.0491"

