
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0111"
"0.0500","0.0000","0.0086"
"0.1000","0.0006","0.0187"
"0.1500","0.0009","0.0072"
"0.2000","0.0023","0.0156"
"0.2500","0.0050","0.0135"
"0.3000","0.0073","-0.0023"
"0.3500","0.0090","0.0144"
"0.4000","0.0108","0.0152"
"0.4500","0.0124","0.0111"
"0.5000","0.0142","0.0026"
"0.5500","0.0155","0.0076"
"0.6000","0.0172","0.0065"
"0.6500","0.0191","0.0178"
"0.7000","0.0207","0.0134"
"0.7500","0.0225","0.0136"
"0.8000","0.0240","0.0005"
"0.8500","0.0258","0.0265"
"0.9000","0.0271","0.0187"
"0.9500","0.0290","0.0252"
"1.0000","0.0308","0.0012"
"1.0500","0.0323","-0.0037"
"1.1000","0.0341","0.0141"
"1.1500","0.0357","0.0232"
"1.2000","0.0375","0.0082"
"1.2500","0.0388","0.0372"
"1.3000","0.0407","0.0166"
"1.3500","0.0424","0.0332"
"1.4000","0.0440","0.0121"
"1.4500","0.0457","0.0268"
"1.5000","0.0474","0.0259"
"1.5500","0.0491","0.0152"
"1.6000","0.0504","0.0283"
"1.6500","0.0524","0.0174"
"1.7000","0.0541","0.0168"
"1.7500","0.0557","0.0216"
"1.8000","0.0574","0.0374"
"1.8500","0.0590","0.0208"
"1.9000","0.0608","0.0320"
"1.9500","0.0621","0.0338"
"2.0000","0.0641","0.0200"
"2.0500","0.0657","0.0265"
"2.1000","0.0674","0.0352"
"2.1500","0.0691","0.0373"
"2.2000","0.0708","0.0330"
"2.2500","0.0724","0.0200"
"2.3000","0.0738","0.0301"
"2.3500","0.0759","0.0296"
"2.4000","0.0773","0.0440"
"2.4500","0.0791","0.0194"
"2.5000","0.0807","0.0365"
"2.5500","0.0825","0.0271"
"2.6000","0.0840","0.0210"
"2.6500","0.0855","0.0194"
"2.7000","0.0875","0.0159"
"2.7500","0.0889","0.0342"
"2.8000","0.0908","0.0254"
"2.8500","0.0924","0.0307"
"2.9000","0.0941","0.0403"
"2.9500","0.0956","0.0318"
"3.0000","0.0972","0.0237"
"3.0500","0.0992","0.0216"
"3.1000","0.1006","0.0370"
"3.1500","0.1024","0.0365"
"3.2000","0.1040","0.0283"
"3.2500","0.1058","0.0292"
"3.3000","0.1072","0.0313"
"3.3500","0.1089","0.0321"
"3.4000","0.1109","0.0316"
"3.4500","0.1123","0.0295"
"3.5000","0.1142","0.0467"
"3.5500","0.1157","0.0169"
"3.6000","0.1175","0.0288"
"3.6500","0.1188","0.0370"
"3.7000","0.1206","0.0289"
"3.7500","0.1225","0.0334"
"3.8000","0.1239","0.0290"
"3.8500","0.1258","0.0389"
"3.9000","0.1273","0.0505"
"3.9500","0.1292","0.0313"
"4.0000","0.1305","0.0452"
"4.0500","0.1324","0.0380"
"4.1000","0.1342","0.0341"
"4.1500","0.1357","0.0300"
"4.2000","0.1375","0.0175"
"4.2500","0.1389","0.0347"
"4.3000","0.1409","0.0441"
"4.3500","0.1421","0.0305"
"4.4000","0.1441","0.0283"
"4.4500","0.1458","0.0450"
"4.5000","0.1474","0.0251"
"4.5500","0.1491","0.0376"
"4.6000","0.1506","0.0380"
"4.6500","0.1525","0.0496"
"4.7000","0.1538","0.0359"
"4.7500","0.1558","0.0398"
"4.8000","0.1574","0.0386"
"4.8500","0.1590","0.0378"
"4.9000","0.1607","0.0384"
"4.9500","0.1623","0.0248"
"5.0000","0.1641","0.0455"
"5.0500","0.1654","0.0372"
"5.1000","0.1675","0.0300"
"5.1500","0.1690","0.0263"
"5.2000","0.1708","0.0255"
"5.2500","0.1723","0.0592"
"5.3000","0.1741","0.0387"
"5.3500","0.1757","0.0423"
"5.4000","0.1771","0.0486"
"5.4500","0.1792","0.0404"
"5.5000","0.1807","0.0366"
"5.5500","0.1825","0.0373"
"5.6000","0.1840","0.0464"
"5.6500","0.1858","0.0457"
"5.7000","0.1873","0.0396"
"5.7500","0.1889","0.0663"
"5.8000","0.1909","0.0460"
"5.8500","0.1923","0.0502"
"5.9000","0.1942","0.0530"
"5.9500","0.1957","0.0455"
"6.0000","0.1975","0.0568"
"6.0500","0.1989","0.0600"
"6.1000","0.2006","0.0496"
"6.1500","0.2025","0.0761"
"6.2000","0.2040","0.0738"
"6.2500","0.2058","0.0476"
"6.3000","0.2073","0.0531"
"6.3500","0.2091","0.0405"
"6.4000","0.2105","0.0448"
"6.4500","0.2122","0.0654"
"6.5000","0.2141","0.0652"
"6.5500","0.2156","0.0588"
"6.6000","0.2175","0.0596"
"6.6500","0.2190","0.0782"
"6.7000","0.2208","0.0540"
"6.7500","0.2222","0.0616"
"6.8000","0.2240","0.0531"
"6.8500","0.2258","0.0578"
"6.9000","0.2273","0.0654"
"6.9500","0.2292","0.0687"
"7.0000","0.2307","0.0654"
"7.0500","0.2324","0.0553"
"7.1000","0.2338","0.0535"
"7.1500","0.2358","0.0605"
"7.2000","0.2374","0.0620"
"7.2500","0.2390","0.0615"
"7.3000","0.2408","0.0699"
"7.3500","0.2424","0.0733"
"7.4000","0.2441","0.0767"
"7.4500","0.2455","0.0706"
"7.5000","0.2474","0.0690"
"7.5500","0.2491","0.0734"
"7.6000","0.2507","0.0630"
"7.6500","0.2524","0.0551"
"7.7000","0.2541","0.0602"
"7.7500","0.2557","0.0817"
"7.8000","0.2571","0.0681"
"7.8500","0.2591","0.0690"
"7.9000","0.2607","0.0816"
"7.9500","0.2625","0.0717"
"8.0000","0.2641","0.0753"
"8.0500","0.2657","0.0913"
"8.1000","0.2674","0.0644"
"8.1500","0.2688","0.0866"
"8.2000","0.2708","0.0986"
"8.2500","0.2723","0.0773"
"8.3000","0.2740","0.0625"
"8.3500","0.2757","0.0804"
"8.4000","0.2774","0.0770"
"8.4500","0.2790","0.0763"
"8.5000","0.2805","0.0779"
"8.5500","0.2825","0.0778"
"8.6000","0.2840","0.0895"
"8.6500","0.2857","0.0944"
"8.7000","0.2874","0.0919"
"8.7500","0.2892","0.0836"
"8.8000","0.2906","0.0836"
"8.8500","0.2922","0.0767"
"8.9000","0.2942","0.0848"
"8.9500","0.2957","0.0935"
"9.0000","0.2975","0.0966"
"9.0500","0.2990","0.0988"
"9.1000","0.3008","0.0964"
"9.1500","0.3023","0.0926"
"9.2000","0.3039","0.0957"
"9.2500","0.3059","0.0939"
"9.3000","0.3073","0.0920"
"9.3500","0.3092","0.1108"
"9.4000","0.3107","0.0886"
"9.4500","0.3125","0.0926"
"9.5000","0.3139","0.0971"
"9.5500","0.3156","0.1018"
"9.6000","0.3175","0.0956"
