
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.4081"
"0.0500","0.0001","0.5047"
"0.1000","0.0008","3.0355"
"0.1500","0.0010","3.9536"
"0.2000","0.0022","8.4740"
"0.2500","0.0053","19.7045"
"0.3000","0.0076","24.5582"
"0.3500","0.0092","26.7377"
"0.4000","0.0109","29.4493"
"0.4500","0.0125","30.4495"
"0.5000","0.0140","32.0686"
"0.5500","0.0160","34.6319"
"0.6000","0.0175","36.2323"
"0.6500","0.0193","38.8754"
"0.7000","0.0209","41.0066"
"0.7500","0.0227","44.1320"
"0.8000","0.0241","46.8784"
"0.8500","0.0258","50.5899"
"0.9000","0.0277","53.4973"
"0.9500","0.0291","55.0396"
"1.0000","0.0310","57.4080"
"1.0500","0.0326","58.9615"
"1.1000","0.0344","60.8238"
"1.1500","0.0357","61.8785"
"1.2000","0.0375","63.8359"
"1.2500","0.0393","65.5089"
"1.3000","0.0407","66.8088"
"1.3500","0.0426","68.8329"
"1.4000","0.0442","70.2511"
"1.4500","0.0460","72.2828"
"1.5000","0.0473","73.4510"
"1.5500","0.0492","76.2221"
"1.6000","0.0510","78.2524"
"1.6500","0.0525","80.4004"
"1.7000","0.0543","83.5031"
"1.7500","0.0559","85.6669"
"1.8000","0.0577","88.6426"
"1.8500","0.0590","90.6783"
"1.9000","0.0609","94.4444"
"1.9500","0.0626","96.9400"
"2.0000","0.0641","99.9257"
"2.0500","0.0660","103.4179"
"2.1000","0.0676","106.1842"
"2.1500","0.0693","109.4723"
"2.2000","0.0706","111.8528"
"2.2500","0.0727","116.5717"
"2.3000","0.0742","119.4907"
"2.3500","0.0758","123.1682"
"2.4000","0.0776","127.2861"
"2.4500","0.0793","131.2456"
"2.5000","0.0810","135.1924"
"2.5500","0.0823","138.2026"
"2.6000","0.0844","144.1160"
"2.6500","0.0859","147.5839"
"2.7000","0.0876","152.2120"
"2.7500","0.0892","156.4433"
"2.8000","0.0909","161.0854"
"2.8500","0.0926","165.4561"
"2.9000","0.0940","168.8896"
"2.9500","0.0960","175.0538"
"3.0000","0.0976","178.7388"
"3.0500","0.0993","183.7493"
"3.1000","0.1008","187.3768"
"3.1500","0.1026","192.3406"
"3.2000","0.1042","196.4949"
"3.2500","0.1057","200.5961"
"3.3000","0.1077","206.8736"
"3.3500","0.1091","210.3593"
"3.4000","0.1110","215.7960"
"3.4500","0.1125","219.7865"
"3.5000","0.1143","225.2658"
"3.5500","0.1158","229.2230"
"3.6000","0.1174","233.7188"
"3.6500","0.1194","239.9254"
"3.7000","0.1208","243.5268"
"3.7500","0.1227","249.0135"
"3.8000","0.1241","252.9382"
"3.8500","0.1260","258.7961"
"3.9000","0.1274","262.1530"
"3.9500","0.1291","267.2221"
