
Time,Displacement,Force
(s),(mm),(N)
"0.0000","1.0547","3.7923"
"0.2500","1.0702","4.0995"
"0.5000","1.0912","4.1451"
"0.7500","1.1121","4.4365"
"1.0000","1.1330","4.5604"
"1.2500","1.1537","4.7014"
"1.5000","1.1744","4.7868"
"1.7500","1.1954","5.1858"
"2.0000","1.2163","5.4174"
"2.2500","1.2371","5.5552"
"2.5000","1.2579","5.8623"
"2.7500","1.2787","6.1354"
"3.0000","1.2994","6.3036"
"3.2500","1.3204","6.3461"
"3.5000","1.3413","6.5209"
"3.7500","1.3621","6.7698"
"4.0000","1.3829","7.0824"
"4.2500","1.4036","7.2511"
"4.5000","1.4245","7.2591"
"4.7500","1.4454","7.6982"
"5.0000","1.4662","7.7479"
"5.2500","1.4871","8.0233"
"5.5000","1.5079","8.3376"
"5.7500","1.5287","8.3321"
"6.0000","1.5495","8.6119"
"6.2500","1.5705","8.7519"
"6.5000","1.5913","9.0716"
"6.7500","1.6120","9.0679"
"7.0000","1.6329","9.5350"
"7.2500","1.6537","9.7087"
"7.5000","1.6746","9.9396"
"7.7500","1.6954","9.9739"
"8.0000","1.7162","10.2617"
"8.2500","1.7370","10.5928"
"8.5000","1.7578","10.5101"
"8.7500","1.7787","10.7012"
"9.0000","1.7997","11.2186"
"9.2500","1.8205","11.0789"
"9.5000","1.8412","11.4861"
"9.7500","1.8620","11.8049"
"10.0000","1.8829","11.8613"
"10.2500","1.9038","11.9505"
"10.5000","1.9246","12.2294"
"10.7500","1.9454","12.5929"
"11.0000","1.9662","12.7147"
"11.2500","1.9870","12.8097"
"11.5000","2.0079","13.1534"
"11.7500","2.0288","13.3653"
"12.0000","2.0496","13.5360"
"12.2500","2.0703","13.7549"
"12.5000","2.0912","13.6570"
"12.7500","2.1121","14.0693"
"13.0000","2.1330","14.2150"
"13.2500","2.1537","14.3630"
"13.5000","2.1746","14.6486"
"13.7500","2.1953","14.7734"
"14.0000","2.2162","14.9142"
"14.2500","2.2371","15.2167"
"14.5000","2.2579","15.4818"
"14.7500","2.2787","15.7431"
"15.0000","2.2995","15.9392"
"15.2500","2.3203","16.3195"
"15.5000","2.3413","16.4969"
"15.7500","2.3622","16.5316"
"16.0000","2.3829","16.9786"
"16.2500","2.4037","17.1784"
"16.5000","2.4245","17.4215"
"16.7500","2.4454","17.6233"
"17.0000","2.4663","17.8457"
"17.2500","2.4870","18.2919"
"17.5000","2.5079","18.2651"
"17.7500","2.5287","18.8876"
"18.0000","2.5495","18.7788"
"18.2500","2.5704","18.9306"
"18.5000","2.5913","19.2359"
"18.7500","2.6120","19.4776"
"19.0000","2.6328","20.0236"
"19.2500","2.6537","19.9046"
"19.5000","2.6745","20.2578"
"19.7500","2.6955","20.5768"
"20.0000","2.7163","20.8113"
"20.2500","2.7370","20.9582"
"20.5000","2.7578","21.4102"
"20.7500","2.7787","21.6073"
"21.0000","2.7996","21.7677"
"21.2500","2.8205","22.0263"
"21.5000","2.8412","22.1898"
"21.7500","2.8619","22.6178"
"22.0000","2.8829","22.8986"
"22.2500","2.9037","23.0213"
"22.5000","2.9246","23.4283"
"22.7500","2.9455","23.6016"
"23.0000","2.9662","23.8976"
"23.2500","2.9869","24.1039"
"23.5000","3.0079","24.4076"
"23.7500","3.0288","24.6656"
"24.0000","3.0496","24.9292"
"24.2500","3.0704","25.3311"
"24.5000","3.0911","25.4766"
"24.7500","3.1120","25.8986"
"25.0000","3.1329","26.0039"
"25.2500","3.1537","26.3734"
"25.5000","3.1745","26.3573"
"25.7500","3.1953","26.7216"
"26.0000","3.2161","27.3062"
"26.2500","3.2370","27.3324"
"26.5000","3.2579","27.6655"
"26.7500","3.2788","27.8360"
"27.0000","3.2995","28.2135"
"27.2500","3.3203","28.4813"
"27.5000","3.3412","28.5626"
"27.7500","3.3621","28.9437"
"28.0000","3.3830","29.3225"
"28.2500","3.4037","29.6918"
"28.5000","3.4245","29.8799"
"28.7500","3.4454","30.1264"
"29.0000","3.4662","30.2449"
"29.2500","3.4872","30.6724"
"29.5000","3.5079","30.7952"
"29.7500","3.5287","31.4296"
"30.0000","3.5495","31.3706"
"30.2500","3.5704","31.8595"
"30.5000","3.5913","31.9755"
"30.7500","3.6121","32.5087"
"31.0000","3.6329","32.4557"
"31.2500","3.6537","32.9296"
"31.5000","3.6745","33.1844"
"31.7500","3.6954","33.4433"
"32.0000","3.7163","33.8270"
"32.2500","3.7371","34.0228"
"32.5000","3.7578","34.2850"
"32.7500","3.7786","34.6132"
"33.0000","3.7996","34.9061"
"33.2500","3.8204","35.1939"
"33.5000","3.8412","35.5402"
"33.7500","3.8620","35.7102"
"34.0000","3.8828","36.1590"
"34.2500","3.9037","36.4932"
"34.5000","3.9246","36.5336"
"34.7500","3.9454","36.9047"
"35.0000","3.9663","37.1529"
"35.2500","3.9870","37.5693"
"35.5000","4.0078","37.8685"
"35.7500","4.0288","38.0498"
"36.0000","4.0496","38.6810"
"36.2500","4.0704","38.8777"
"36.5000","4.0912","38.9544"
"36.7500","4.1120","39.5850"
"37.0000","4.1328","39.8658"
"37.2500","4.1538","40.0225"
"37.5000","4.1745","40.3971"
"37.7500","4.1954","40.8235"
"38.0000","4.2162","40.9881"
"38.2500","4.2370","41.3795"
"38.5000","4.2579","41.6137"
"38.7500","4.2788","41.9894"
"39.0000","4.2995","42.1353"
"39.2500","4.3203","42.7016"
"39.5000","4.3412","42.5372"
"39.7500","4.3620","43.2963"
"40.0000","4.3829","43.4100"
"40.2500","4.4038","43.6570"
"40.5000","4.4245","44.0720"
"40.7500","4.4453","44.2677"
"41.0000","4.4662","44.6276"
"41.2500","4.4871","44.9737"
"41.5000","4.5080","45.4374"
"41.7500","4.5287","45.6321"
"42.0000","4.5494","46.0518"
"42.2500","4.5704","46.3940"
"42.5000","4.5913","46.5623"
"42.7500","4.6121","47.0260"
"43.0000","4.6330","47.2624"
"43.2500","4.6537","47.6094"
"43.5000","4.6744","47.7570"
"43.7500","4.6954","48.2595"
"44.0000","4.7163","48.4458"
"44.2500","4.7371","48.7848"
"44.5000","4.7579","49.2835"
"44.7500","4.7786","49.6623"
"45.0000","4.7995","49.9405"
"45.2500","4.8204","50.2930"
"45.5000","4.8412","50.3743"
"45.7500","4.8620","50.7959"
"46.0000","4.8828","51.1306"
"46.2500","4.9036","51.4475"
"46.5000","4.9245","51.8483"
"46.7500","4.9455","52.2312"
"47.0000","4.9662","52.5426"
"47.2500","4.9870","52.6342"
"47.5000","5.0079","53.1865"
"47.7500","5.0287","53.5149"
"48.0000","5.0497","53.7142"
"48.2500","5.0704","54.1526"
"48.5000","5.0912","54.3980"
"48.7500","5.1120","54.7028"
"49.0000","5.1328","55.0201"
"49.2500","5.1537","55.3834"
"49.5000","5.1746","55.7881"
