
Time,Displacement,Force
(s),(mm),(N)
"0.0000","2.3594","4.7198"
"0.2500","2.3746","4.8693"
"0.5000","2.3957","5.3609"
"0.7500","2.4164","5.3725"
"1.0000","2.4373","5.7287"
"1.2500","2.4581","6.0069"
"1.5000","2.4788","6.3186"
"1.7500","2.4998","6.5339"
"2.0000","2.5206","6.7889"
"2.2500","2.5414","7.2330"
"2.5000","2.5623","7.6400"
"2.7500","2.5831","7.9991"
"3.0000","2.6039","8.1224"
"3.2500","2.6249","8.4206"
"3.5000","2.6456","8.8080"
"3.7500","2.6664","9.0234"
"4.0000","2.6872","9.4602"
"4.2500","2.7081","9.6800"
"4.5000","2.7290","10.1524"
"4.7500","2.7498","10.2655"
"5.0000","2.7706","10.6535"
"5.2500","2.7914","10.9433"
"5.5000","2.8122","11.2474"
"5.7500","2.8331","11.3210"
"6.0000","2.8540","11.7759"
"6.2500","2.8748","12.0047"
"6.5000","2.8955","12.5710"
"6.7500","2.9164","12.6645"
"7.0000","2.9372","13.0014"
"7.2500","2.9582","13.3151"
"7.5000","2.9790","13.6478"
"7.7500","2.9998","13.9130"
"8.0000","3.0205","14.3272"
"8.2500","3.0414","14.5897"
"8.5000","3.0623","14.9371"
"8.7500","3.0831","15.2435"
"9.0000","3.1040","15.5680"
"9.2500","3.1247","15.6985"
"9.5000","3.1455","16.3779"
"9.7500","3.1665","16.6080"
"10.0000","3.1874","16.7309"
"10.2500","3.2081","17.0825"
"10.5000","3.2290","17.2445"
"10.7500","3.2497","17.6455"
"11.0000","3.2706","18.1285"
"11.2500","3.2915","18.1535"
"11.5000","3.3123","18.7812"
"11.7500","3.3331","18.8793"
"12.0000","3.3539","19.2293"
"12.2500","3.3747","19.3795"
"12.5000","3.3956","19.8966"
"12.7500","3.4165","20.0051"
"13.0000","3.4372","20.3398"
"13.2500","3.4581","20.8085"
"13.5000","3.4789","21.0508"
"13.7500","3.4997","21.3483"
"14.0000","3.5207","21.7016"
"14.2500","3.5415","21.9532"
"14.5000","3.5622","22.4482"
"14.7500","3.5830","22.5363"
"15.0000","3.6039","22.8603"
"15.2500","3.6248","23.1387"
"15.5000","3.6457","23.6485"
"15.7500","3.6664","23.8922"
"16.0000","3.6871","24.0993"
"16.2500","3.7081","24.5611"
"16.5000","3.7290","24.8754"
"16.7500","3.7498","25.2840"
"17.0000","3.7706","25.4407"
"17.2500","3.7914","25.5562"
"17.5000","3.8122","25.9784"
"17.7500","3.8331","26.3648"
"18.0000","3.8540","26.6071"
"18.2500","3.8748","26.9676"
"18.5000","3.8956","27.1621"
"18.7500","3.9164","27.5056"
"19.0000","3.9372","28.1358"
"19.2500","3.9582","28.2808"
"19.5000","3.9789","28.5069"
"19.7500","3.9998","29.0116"
"20.0000","4.0206","29.2341"
"20.2500","4.0413","29.5254"
"20.5000","4.0622","29.8640"
"20.7500","4.0832","30.1390"
"21.0000","4.1040","30.4396"
"21.2500","4.1248","30.9516"
"21.5000","4.1456","31.2208"
"21.7500","4.1664","31.4648"
"22.0000","4.1873","31.6604"
"22.2500","4.2082","32.0955"
"22.5000","4.2289","32.3438"
"22.7500","4.2497","32.6579"
"23.0000","4.2706","33.1389"
"23.2500","4.2914","33.2864"
"23.5000","4.3124","33.3515"
"23.7500","4.3332","33.8864"
"24.0000","4.3539","34.3660"
"24.2500","4.3747","34.6131"
"24.5000","4.3956","34.9510"
"24.7500","4.4165","35.1128"
"25.0000","4.4373","35.3050"
"25.2500","4.4581","35.6585"
"25.5000","4.4789","35.9516"
"25.7500","4.4997","36.1962"
"26.0000","4.5206","36.7540"
"26.2500","4.5415","36.8740"
"26.5000","4.5623","37.2547"
"26.7500","4.5830","37.2934"
"27.0000","4.6038","37.7459"
"27.2500","4.6248","38.1956"
"27.5000","4.6457","38.5050"
"27.7500","4.6665","38.7416"
"28.0000","4.6873","38.9915"
"28.2500","4.7080","39.3301"
"28.5000","4.7289","39.6014"
"28.7500","4.7498","39.8687"
"29.0000","4.7706","40.2854"
"29.2500","4.7915","40.7933"
"29.5000","4.8122","41.0277"
"29.7500","4.8330","41.2576"
"30.0000","4.8540","41.3945"
"30.2500","4.8749","41.8393"
"30.5000","4.8956","42.1244"
"30.7500","4.9165","42.5519"
"31.0000","4.9372","42.8238"
"31.2500","4.9581","43.2742"
"31.5000","4.9790","43.5009"
"31.7500","4.9998","43.7601"
"32.0000","5.0206","44.1598"
"32.2500","5.0414","44.3089"
"32.5000","5.0622","44.9158"
"32.7500","5.0831","44.9087"
"33.0000","5.1041","45.3709"
"33.2500","5.1247","45.5462"
"33.5000","5.1456","45.9047"
"33.7500","5.1664","46.5411"
"34.0000","5.1872","46.5332"
"34.2500","5.2082","46.7292"
"34.5000","5.2290","47.1697"
"34.7500","5.2497","47.6795"
