
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0294"
"0.0500","0.0001","-0.0047"
"0.1000","0.0007","-0.0006"
"0.1500","0.0010","0.0367"
"0.2000","0.0024","0.0378"
"0.2500","0.0053","0.0412"
"0.3000","0.0074","0.0407"
"0.3500","0.0092","0.0493"
"0.4000","0.0106","0.0600"
"0.4500","0.0124","0.0386"
"0.5000","0.0143","0.0382"
"0.5500","0.0157","0.0644"
"0.6000","0.0176","0.0508"
"0.6500","0.0191","0.0496"
"0.7000","0.0210","0.0528"
"0.7500","0.0223","0.0384"
"0.8000","0.0241","0.0887"
"0.8500","0.0259","0.0301"
"0.9000","0.0274","0.0780"
"0.9500","0.0292","0.0406"
"1.0000","0.0308","0.0540"
"1.0500","0.0327","0.0471"
"1.1000","0.0339","0.0678"
"1.1500","0.0358","0.0705"
"1.2000","0.0375","0.0509"
"1.2500","0.0391","0.0590"
"1.3000","0.0409","0.0562"
"1.3500","0.0424","0.0533"
"1.4000","0.0443","0.0498"
"1.4500","0.0456","0.0814"
"1.5000","0.0476","0.0569"
"1.5500","0.0492","0.0742"
"1.6000","0.0508","0.0722"
"1.6500","0.0526","0.0535"
"1.7000","0.0541","0.0419"
"1.7500","0.0559","0.0718"
"1.8000","0.0572","0.0659"
"1.8500","0.0593","0.0767"
"1.9000","0.0608","0.0263"
"1.9500","0.0625","0.0509"
"2.0000","0.0642","0.0639"
"2.0500","0.0659","0.0593"
"2.1000","0.0676","0.0645"
"2.1500","0.0689","0.0593"
"2.2000","0.0710","0.0416"
"2.2500","0.0725","0.0888"
"2.3000","0.0742","0.1139"
"2.3500","0.0758","0.1121"
"2.4000","0.0775","0.1035"
"2.4500","0.0792","0.1196"
"2.5000","0.0806","0.1185"
"2.5500","0.0826","0.1322"
"2.6000","0.0842","0.1316"
"2.6500","0.0859","0.1002"
"2.7000","0.0874","0.1172"
"2.7500","0.0892","0.1367"
"2.8000","0.0907","0.1378"
"2.8500","0.0923","0.1410"
"2.9000","0.0943","0.1438"
"2.9500","0.0957","0.1441"
"3.0000","0.0976","0.1487"
"3.0500","0.0990","0.1646"
"3.1000","0.1009","0.1790"
"3.1500","0.1024","0.1933"
"3.2000","0.1040","0.1831"
"3.2500","0.1060","0.1861"
"3.3000","0.1074","0.2171"
"3.3500","0.1093","0.2478"
"3.4000","0.1107","0.2622"
"3.4500","0.1127","0.2513"
"3.5000","0.1140","0.2420"
"3.5500","0.1157","0.3068"
"3.6000","0.1176","0.3026"
"3.6500","0.1191","0.3064"
"3.7000","0.1209","0.3143"
"3.7500","0.1224","0.3449"
"3.8000","0.1243","0.3487"
"3.8500","0.1256","0.3505"
"3.9000","0.1275","0.3921"
"3.9500","0.1292","0.4207"
