
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0023"
"0.0500","0.0000","-0.0050"
"0.1000","0.0007","0.0083"
"0.1500","0.0010","0.0366"
"0.2000","0.0024","0.0342"
"0.2500","0.0053","0.0459"
"0.3000","0.0073","0.0230"
"0.3500","0.0091","0.0245"
"0.4000","0.0107","0.0374"
"0.4500","0.0125","0.0253"
"0.5000","0.0141","0.0479"
"0.5500","0.0159","0.0404"
"0.6000","0.0172","0.0584"
"0.6500","0.0191","0.0502"
"0.7000","0.0209","0.0621"
"0.7500","0.0225","0.0511"
"0.8000","0.0242","0.0477"
"0.8500","0.0258","0.0516"
"0.9000","0.0275","0.0409"
"0.9500","0.0289","0.0695"
"1.0000","0.0309","0.0493"
"1.0500","0.0325","0.0482"
"1.1000","0.0342","0.0381"
"1.1500","0.0359","0.0533"
"1.2000","0.0375","0.0427"
"1.2500","0.0392","0.0557"
"1.3000","0.0406","0.0255"
"1.3500","0.0426","0.0528"
"1.4000","0.0441","0.0478"
"1.4500","0.0458","0.0496"
"1.5000","0.0475","0.0483"
"1.5500","0.0492","0.0511"
"1.6000","0.0508","0.0496"
"1.6500","0.0522","0.0399"
"1.7000","0.0543","0.0696"
"1.7500","0.0558","0.0469"
"1.8000","0.0575","0.0515"
"1.8500","0.0591","0.0427"
"1.9000","0.0609","0.0508"
"1.9500","0.0624","0.0765"
"2.0000","0.0639","0.0488"
"2.0500","0.0659","0.0552"
"2.1000","0.0674","0.0819"
"2.1500","0.0692","0.0524"
"2.2000","0.0708","0.0585"
"2.2500","0.0726","0.0756"
"2.3000","0.0741","0.0719"
"2.3500","0.0757","0.0607"
"2.4000","0.0776","0.0766"
"2.4500","0.0790","0.0478"
"2.5000","0.0809","0.0681"
"2.5500","0.0824","0.1003"
"2.6000","0.0843","0.0638"
"2.6500","0.0856","0.0665"
"2.7000","0.0874","0.0814"
"2.7500","0.0893","0.0844"
"2.8000","0.0907","0.0531"
"2.8500","0.0926","0.0519"
"2.9000","0.0941","0.0732"
"2.9500","0.0960","0.0677"
"3.0000","0.0973","0.0698"
"3.0500","0.0991","0.0784"
"3.1000","0.1009","0.0728"
"3.1500","0.1024","0.0722"
"3.2000","0.1042","0.0510"
"3.2500","0.1057","0.0795"
