
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.3604"
"0.1000","0.0007","0.8665"
"0.2000","0.0022","2.1521"
"0.3000","0.0070","5.1242"
"0.4000","0.0104","6.2170"
"0.5000","0.0141","7.1508"
"0.6000","0.0174","8.4693"
"0.7000","0.0208","9.3494"
"0.8000","0.0241","10.2750"
"0.9000","0.0273","11.0145"
"1.0000","0.0307","11.4915"
"1.1000","0.0338","12.1352"
"1.2000","0.0374","13.0477"
"1.3000","0.0407","13.9445"
"1.4000","0.0441","14.6715"
"1.5000","0.0475","15.4733"
"1.6000","0.0507","16.1936"
"1.7000","0.0540","17.0747"
"1.8000","0.0571","17.7028"
"1.9000","0.0607","18.8470"
"2.0000","0.0639","19.7281"
"2.1000","0.0673","20.3017"
"2.2000","0.0709","21.6365"
"2.3000","0.0741","22.6785"
"2.4000","0.0774","23.3802"
"2.5000","0.0805","24.1784"
"2.6000","0.0840","24.9621"
"2.7000","0.0873","25.7803"
"2.8000","0.0905","26.3881"
"2.9000","0.0941","27.0232"
"3.0000","0.0975","27.9362"
"3.1000","0.1008","28.4432"
"3.2000","0.1040","29.2548"
"3.3000","0.1073","29.7154"
"3.4000","0.1106","30.2929"
"3.5000","0.1138","30.6827"
"3.6000","0.1174","31.1792"
"3.7000","0.1208","31.9795"
"3.8000","0.1241","32.2917"
"3.9000","0.1274","33.0620"
"4.0000","0.1306","33.6088"
"4.1000","0.1340","34.1038"
"4.2000","0.1371","34.6957"
"4.3000","0.1407","35.5782"
"4.4000","0.1441","36.1335"
"4.5000","0.1473","36.7044"
"4.6000","0.1508","37.5429"
"4.7000","0.1540","38.1049"
"4.8000","0.1574","38.6909"
"4.9000","0.1605","39.3142"
"5.0000","0.1640","40.0512"
"5.1000","0.1674","40.6164"
"5.2000","0.1706","41.1141"
"5.3000","0.1741","41.9642"
"5.4000","0.1774","42.8646"
"5.5000","0.1807","43.3597"
"5.6000","0.1838","43.6937"
"5.7000","0.1873","44.4477"
"5.8000","0.1907","45.2830"
"5.9000","0.1938","45.5354"
"6.0000","0.1974","46.0425"
"6.1000","0.2007","46.6325"
"6.2000","0.2042","47.1517"
"6.3000","0.2073","47.5802"
"6.4000","0.2106","47.8733"
"6.5000","0.2140","48.2903"
"6.6000","0.2171","48.7963"
"6.7000","0.2208","49.1237"
"6.8000","0.2241","49.2391"
"6.9000","0.2275","49.6906"
"7.0000","0.2307","49.9056"
"7.1000","0.2339","49.9366"
"7.2000","0.2373","50.1497"
"7.3000","0.2404","50.2066"
"7.4000","0.2440","50.2159"
"7.5000","0.2474","50.1706"
"7.6000","0.2507","50.1952"
"7.7000","0.2541","50.2865"
"7.8000","0.2573","50.2631"
"7.9000","0.2607","50.3734"
"8.0000","0.2638","50.4649"
"8.1000","0.2673","50.4693"
"8.2000","0.2707","50.4983"
"8.3000","0.2739","50.1840"
"8.4000","0.2775","50.3848"
"8.5000","0.2807","50.5372"
"8.6000","0.2842","50.6024"
"8.7000","0.2872","50.6515"
"8.8000","0.2906","50.3553"
"8.9000","0.2939","50.5973"
"9.0000","0.2972","50.4879"
"9.1000","0.3008","50.4083"
"9.2000","0.3041","50.4756"
"9.3000","0.3074","50.5572"
"9.4000","0.3106","50.4205"
"9.5000","0.3139","50.4347"
"9.6000","0.3172","50.4577"
"9.7000","0.3205","50.5966"
"9.8000","0.3241","50.5276"
"9.9000","0.3274","50.4624"
"10.0000","0.3308","50.4422"
"10.1000","0.3341","50.4898"
"10.2000","0.3374","50.3266"
"10.3000","0.3406","50.5306"
"10.4000","0.3438","50.4811"
"10.5000","0.3473","50.5476"
