
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1253"
"0.1000","0.0007","2.2535"
"0.2000","0.0024","8.9346"
"0.3000","0.0075","26.8774"
"0.4000","0.0110","38.5981"
"0.5000","0.0142","48.4829"
"0.6000","0.0176","58.8647"
"0.7000","0.0207","67.9002"
"0.8000","0.0242","78.0309"
"0.9000","0.0276","87.4345"
"1.0000","0.0308","96.0660"
"1.1000","0.0343","104.8290"
"1.2000","0.0376","112.8083"
"1.3000","0.0410","119.7124"
"1.4000","0.0441","125.6672"
"1.5000","0.0475","129.5144"
"1.6000","0.0509","129.7230"
"1.7000","0.0541","130.0805"
"1.8000","0.0577","130.5597"
"1.9000","0.0610","130.6232"
"2.0000","0.0644","130.8424"
"2.1000","0.0674","131.2688"
"2.2000","0.0709","131.6259"
"2.3000","0.0742","131.5563"
"2.4000","0.0774","131.9293"
"2.5000","0.0810","131.7945"
"2.6000","0.0843","131.8920"
"2.7000","0.0877","132.4151"
"2.8000","0.0909","132.5574"
"2.9000","0.0942","132.6785"
"3.0000","0.0976","132.7061"
"3.1000","0.1007","132.9113"
"3.2000","0.1042","132.8954"
"3.3000","0.1076","133.1405"
"3.4000","0.1110","133.0418"
"3.5000","0.1143","133.4139"
"3.6000","0.1176","133.7115"
"3.7000","0.1209","133.7831"
"3.8000","0.1240","134.2524"
"3.9000","0.1275","134.6071"
"4.0000","0.1309","134.9962"
"4.1000","0.1342","135.2353"
"4.2000","0.1377","135.3112"
"4.3000","0.1409","136.0043"
"4.4000","0.1444","136.3243"
"4.5000","0.1474","136.6251"
"4.6000","0.1508","137.2073"
"4.7000","0.1541","137.4834"
"4.8000","0.1575","137.7492"
"4.9000","0.1611","137.9748"
"5.0000","0.1644","138.5909"
"5.1000","0.1677","139.2208"
"5.2000","0.1708","139.5905"
"5.3000","0.1741","139.9615"
"5.4000","0.1774","139.9985"
"5.5000","0.1807","140.5397"
"5.6000","0.1844","141.4677"
"5.7000","0.1876","142.3913"
"5.8000","0.1911","143.2761"
"5.9000","0.1942","143.6934"
"6.0000","0.1976","144.4677"
"6.1000","0.2008","144.7412"
"6.2000","0.2040","145.2087"
"6.3000","0.2076","145.8808"
"6.4000","0.2109","146.5040"
"6.5000","0.2142","147.7151"
"6.6000","0.2177","148.6682"
"6.7000","0.2209","149.7442"
"6.8000","0.2243","151.0577"
"6.9000","0.2273","152.3153"
"7.0000","0.2309","154.0053"
"7.1000","0.2342","155.6479"
"7.2000","0.2375","157.9306"
"7.3000","0.2410","160.7380"
"7.4000","0.2443","163.1903"
"7.5000","0.2476","166.3541"
"7.6000","0.2508","169.1868"
"7.7000","0.2541","171.4713"
"7.8000","0.2575","175.1080"
"7.9000","0.2608","179.8910"
"8.0000","0.2644","185.5896"
"8.1000","0.2677","190.9562"
"8.2000","0.2710","195.8174"
"8.3000","0.2741","200.1628"
"8.4000","0.2776","204.9994"
"8.5000","0.2808","209.6806"
"8.6000","0.2840","214.7338"
"8.7000","0.2877","221.5965"
"8.8000","0.2909","227.4928"
"8.9000","0.2943","234.1004"
"9.0000","0.2976","240.2454"
"9.1000","0.3008","246.2565"
"9.2000","0.3042","252.7225"
"9.3000","0.3073","258.4640"
"9.4000","0.3110","265.7500"
"9.5000","0.3143","272.3324"
"9.6000","0.3176","278.8885"
"9.7000","0.3210","285.5503"
"9.8000","0.3243","292.0592"
"9.9000","0.3276","298.7131"
"10.0000","0.3307","304.7741"
"10.1000","0.3342","311.9752"
"10.2000","0.3376","318.8647"
"10.3000","0.3409","325.4212"
"10.4000","0.3444","332.3665"
"10.5000","0.3476","338.6359"
"10.6000","0.3510","345.5968"
"10.7000","0.3540","351.3167"
"10.8000","0.3575","358.2816"
"10.9000","0.3609","364.9951"
"11.0000","0.3641","371.1095"
"11.1000","0.3677","378.8661"
"11.2000","0.3710","385.1497"
"11.3000","0.3744","391.5407"
"11.4000","0.3775","397.4464"
"11.5000","0.3808","403.6479"
"11.6000","0.3842","410.0959"
"11.7000","0.3874","415.7654"
"11.8000","0.3910","423.1351"
"11.9000","0.3943","429.0553"
"12.0000","0.3977","435.2195"
"12.1000","0.4009","440.7355"
"12.2000","0.4042","446.8507"
"12.3000","0.4075","452.3353"
"12.4000","0.4106","457.4340"
"12.5000","0.4143","463.7323"
"12.6000","0.4176","469.5043"
"12.7000","0.4210","474.8748"
"12.8000","0.4243","480.4857"
"12.9000","0.4276","485.5154"
"13.0000","0.4310","490.7322"
"13.1000","0.4340","494.6964"
"13.2000","0.4375","500.7160"
"13.3000","0.4408","505.2471"
"13.4000","0.4442","510.3346"
"13.5000","0.4477","515.9343"
"13.6000","0.4510","520.7073"
"13.7000","0.4543","525.3243"
"13.8000","0.4575","529.6359"
"13.9000","0.4608","534.5236"
"14.0000","0.4642","539.5552"
"14.1000","0.4674","543.8469"
"14.2000","0.4710","549.3182"
"14.3000","0.4743","553.9548"
"14.4000","0.4777","558.5982"
"14.5000","0.4808","562.7426"
"14.6000","0.4842","567.4705"
"14.7000","0.4875","571.7461"
"14.8000","0.4907","575.8911"
"14.9000","0.4943","581.2285"
"15.0000","0.4977","585.5071"
"15.1000","0.5010","590.1354"
"15.2000","0.5043","594.3801"
"15.3000","0.5076","598.3719"
"15.4000","0.5109","602.6069"
"15.5000","0.5139","605.7739"
"15.6000","0.5176","610.8158"
"15.7000","0.5209","614.8206"
"15.8000","0.5242","618.7349"
"15.9000","0.5276","623.1646"
"16.0000","0.5309","627.1777"
"16.1000","0.5343","631.4119"
"16.2000","0.5374","634.6169"
"16.3000","0.5408","639.1552"
"16.4000","0.5442","643.2929"
"16.5000","0.5476","647.1457"
"16.6000","0.5510","651.6979"
"16.7000","0.5543","655.3640"
"16.8000","0.5577","659.4156"
"16.9000","0.5607","662.6921"
"17.0000","0.5642","667.1010"
"17.1000","0.5675","670.9437"
"17.2000","0.5708","674.4948"
"17.3000","0.5744","679.5289"
"17.4000","0.5777","683.0873"
"17.5000","0.5810","687.0910"
"17.6000","0.5841","690.3273"
"17.7000","0.5874","694.2059"
"17.8000","0.5909","698.2562"
"17.9000","0.5940","701.9072"
"18.0000","0.5976","707.0054"
"18.1000","0.6010","711.1722"
"18.2000","0.6043","714.7554"
"18.3000","0.6076","718.6968"
"18.4000","0.6108","722.4147"
"18.5000","0.6142","726.7023"
"18.6000","0.6173","729.9206"
"18.7000","0.6209","734.6826"
"18.8000","0.6243","738.6814"
"18.9000","0.6277","742.4350"
"19.0000","0.6310","746.5207"
"19.1000","0.6343","750.2535"
"19.2000","0.6376","753.9931"
"19.3000","0.6406","757.1829"
"19.4000","0.6442","761.7321"
"19.5000","0.6475","765.8632"
"19.6000","0.6509","770.6227"
"19.7000","0.6544","776.0159"
"19.8000","0.6576","780.3542"
"19.9000","0.6610","785.4824"
"20.0000","0.6641","790.0872"
"20.1000","0.6675","795.6654"
"20.2000","0.6708","801.0003"
"20.3000","0.6741","806.1627"
"20.4000","0.6777","812.3660"
"20.5000","0.6810","817.7827"
"20.6000","0.6844","823.4192"
"20.7000","0.6875","828.0690"
"20.8000","0.6909","833.1738"
"20.9000","0.6942","838.3766"
"21.0000","0.6974","843.2843"
"21.1000","0.7009","849.2982"
"21.2000","0.7043","854.6426"
"21.3000","0.7076","859.6168"
"21.4000","0.7109","864.8425"
"21.5000","0.7142","869.4871"
"21.6000","0.7176","874.9777"
"21.7000","0.7207","878.9385"
"21.8000","0.7242","884.7120"
"21.9000","0.7276","890.0011"
"22.0000","0.7309","894.9150"
"22.1000","0.7344","900.5552"
"22.2000","0.7376","905.0364"
"22.3000","0.7409","909.9555"
"22.4000","0.7440","914.1042"
"22.5000","0.7475","919.6124"
