
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0930"
"0.0500","0.0001","0.0601"
"0.1000","0.0008","-0.0405"
"0.1500","0.0011","-0.0869"
"0.2000","0.0025","-0.0264"
"0.2500","0.0056","-0.1634"
"0.3000","0.0076","0.0082"
"0.3500","0.0093","0.1090"
"0.4000","0.0109","-0.0656"
"0.4500","0.0127","-0.0555"
"0.5000","0.0141","0.3232"
"0.5500","0.0161","0.1699"
"0.6000","0.0176","0.0584"
"0.6500","0.0193","0.0144"
"0.7000","0.0210","0.0396"
"0.7500","0.0227","-0.0375"
"0.8000","0.0243","0.0032"
"0.8500","0.0257","0.0899"
"0.9000","0.0277","-0.1365"
"0.9500","0.0292","-0.0617"
"1.0000","0.0310","-0.0171"
"1.0500","0.0326","0.3138"
"1.1000","0.0344","0.0156"
"1.1500","0.0359","0.1236"
"1.2000","0.0374","0.0608"
"1.2500","0.0395","0.1249"
"1.3000","0.0409","0.3913"
"1.3500","0.0427","0.0980"
"1.4000","0.0443","-0.0098"
"1.4500","0.0461","0.0841"
"1.5000","0.0475","0.1541"
"1.5500","0.0491","0.0278"
"1.6000","0.0511","0.1182"
"1.6500","0.0525","0.0137"
"1.7000","0.0544","0.0657"
"1.7500","0.0559","0.1006"
"1.8000","0.0578","0.0037"
"1.8500","0.0591","0.1547"
"1.9000","0.0609","-0.0339"
"1.9500","0.0628","0.1840"
"2.0000","0.0642","0.1160"
"2.0500","0.0661","-0.0249"
"2.1000","0.0675","0.0434"
"2.1500","0.0695","0.0512"
"2.2000","0.0708","0.1090"
"2.2500","0.0726","-0.1146"
"2.3000","0.0744","0.1504"
"2.3500","0.0760","0.0604"
"2.4000","0.0777","0.1367"
"2.4500","0.0792","0.1672"
"2.5000","0.0811","0.1517"
"2.5500","0.0823","-0.0154"
"2.6000","0.0843","-0.0041"
"2.6500","0.0860","0.1282"
"2.7000","0.0876","0.1128"
"2.7500","0.0893","0.0895"
"2.8000","0.0909","0.3018"
"2.8500","0.0928","0.1875"
"2.9000","0.0940","0.0665"
"2.9500","0.0961","0.0404"
"3.0000","0.0977","0.0900"
"3.0500","0.0993","-0.0947"
"3.1000","0.1010","-0.0358"
"3.1500","0.1026","0.2568"
"3.2000","0.1044","0.2283"
"3.2500","0.1057","0.0198"
"3.3000","0.1077","0.0776"
"3.3500","0.1093","0.0054"
"3.4000","0.1111","-0.0301"
"3.4500","0.1126","0.2005"
"3.5000","0.1143","0.0632"
"3.5500","0.1160","0.1221"
"3.6000","0.1174","0.0892"
"3.6500","0.1194","0.1139"
"3.7000","0.1209","0.2051"
"3.7500","0.1227","0.1109"
"3.8000","0.1243","0.0801"
"3.8500","0.1260","0.1229"
"3.9000","0.1275","0.1198"
"3.9500","0.1291","0.1047"
"4.0000","0.1311","-0.1088"
"4.0500","0.1326","0.0055"
"4.1000","0.1344","0.0908"
"4.1500","0.1359","0.0687"
"4.2000","0.1377","-0.0120"
"4.2500","0.1392","-0.0103"
"4.3000","0.1408","0.1015"
"4.3500","0.1427","-0.0053"
"4.4000","0.1442","-0.0662"
"4.4500","0.1460","0.0662"
"4.5000","0.1476","-0.0667"
"4.5500","0.1494","0.1940"
"4.6000","0.1508","0.1560"
"4.6500","0.1525","0.1931"
"4.7000","0.1544","-0.0621"
"4.7500","0.1559","0.0971"
"4.8000","0.1578","-0.0197"
"4.8500","0.1593","0.0346"
"4.9000","0.1610","0.0189"
"4.9500","0.1624","0.0916"
"5.0000","0.1643","-0.0602"
"5.0500","0.1661","0.1798"
"5.1000","0.1675","0.1093"
"5.1500","0.1694","0.4192"
"5.2000","0.1709","0.0229"
"5.2500","0.1727","0.2881"
"5.3000","0.1741","0.0707"
"5.3500","0.1759","0.1665"
"5.4000","0.1777","0.0795"
"5.4500","0.1793","-0.0079"
"5.5000","0.1810","0.1028"
"5.5500","0.1827","-0.2201"
"5.6000","0.1844","0.2630"
"5.6500","0.1857","0.1611"
"5.7000","0.1876","-0.0914"
"5.7500","0.1894","0.0137"
"5.8000","0.1910","0.1886"
"5.8500","0.1927","0.0550"
"5.9000","0.1942","0.0443"
"5.9500","0.1960","-0.0207"
"6.0000","0.1974","0.1603"
"6.0500","0.1993","0.0384"
"6.1000","0.2010","-0.0229"
"6.1500","0.2026","0.0143"
"6.2000","0.2043","0.0840"
"6.2500","0.2059","0.2896"
"6.3000","0.2076","0.1196"
"6.3500","0.2091","-0.1120"
"6.4000","0.2111","-0.1261"
"6.4500","0.2126","0.1715"
"6.5000","0.2143","0.1413"
"6.5500","0.2160","0.1184"
"6.6000","0.2177","0.1499"
"6.6500","0.2193","-0.1240"
"6.7000","0.2207","-0.1455"
"6.7500","0.2227","0.1436"
"6.8000","0.2243","-0.0209"
"6.8500","0.2260","-0.0767"
"6.9000","0.2276","0.1454"
"6.9500","0.2294","0.0209"
"7.0000","0.2309","0.1496"
"7.0500","0.2324","0.1256"
"7.1000","0.2344","0.1108"
"7.1500","0.2360","0.2803"
"7.2000","0.2377","0.0408"
"7.2500","0.2393","0.0516"
"7.3000","0.2411","0.1170"
"7.3500","0.2426","0.0027"
"7.4000","0.2441","0.1050"
"7.4500","0.2461","0.0384"
"7.5000","0.2475","0.0940"
"7.5500","0.2494","0.0952"
"7.6000","0.2509","-0.0131"
"7.6500","0.2527","0.0554"
"7.7000","0.2542","-0.0883"
"7.7500","0.2558","0.2275"
"7.8000","0.2578","0.0023"
"7.8500","0.2592","0.1325"
"7.9000","0.2610","-0.0169"
"7.9500","0.2626","0.0251"
"8.0000","0.2644","0.1393"
"8.0500","0.2658","0.0936"
"8.1000","0.2675","0.1371"
"8.1500","0.2694","0.1230"
"8.2000","0.2708","-0.0052"
"8.2500","0.2727","0.0544"
"8.3000","0.2742","0.0750"
"8.3500","0.2761","0.0016"
"8.4000","0.2774","0.0725"
"8.4500","0.2793","0.1191"
"8.5000","0.2810","0.0013"
"8.5500","0.2825","0.0527"
"8.6000","0.2844","0.0512"
"8.6500","0.2860","0.0286"
"8.7000","0.2877","0.2398"
"8.7500","0.2890","0.1096"
"8.8000","0.2910","0.0335"
"8.8500","0.2927","0.2812"
"8.9000","0.2942","0.1137"
"8.9500","0.2961","0.0186"
"9.0000","0.2976","0.0506"
"9.0500","0.2994","0.0130"
"9.1000","0.3007","0.0277"
"9.1500","0.3027","0.0373"
"9.2000","0.3044","0.0094"
"9.2500","0.3060","0.0500"
"9.3000","0.3076","0.1388"
"9.3500","0.3092","0.1822"
"9.4000","0.3111","0.2157"
"9.4500","0.3124","0.1899"
"9.5000","0.3144","0.2192"
"9.5500","0.3160","0.0571"
"9.6000","0.3177","0.2910"
"9.6500","0.3193","0.1616"
"9.7000","0.3209","0.1584"
"9.7500","0.3226","0.1573"
"9.8000","0.3240","0.2140"
"9.8500","0.3261","0.0497"
"9.9000","0.3276","-0.0448"
"9.9500","0.3293","0.2978"
"10.0000","0.3309","0.1798"
"10.0500","0.3327","0.2987"
"10.1000","0.3343","0.1518"
"10.1500","0.3357","0.0801"
"10.2000","0.3378","0.1174"
"10.2500","0.3393","-0.1242"
"10.3000","0.3410","0.2742"
