
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0870"
"0.0500","0.0001","-0.0022"
"0.1000","0.0008","0.0583"
"0.1500","0.0011","0.1718"
"0.2000","0.0028","0.0646"
"0.2500","0.0056","0.0453"
"0.3000","0.0075","0.1623"
"0.3500","0.0094","-0.0922"
"0.4000","0.0110","0.0396"
"0.4500","0.0127","0.0447"
"0.5000","0.0143","0.0192"
"0.5500","0.0161","-0.0310"
"0.6000","0.0175","0.1821"
"0.6500","0.0194","0.0527"
"0.7000","0.0211","-0.0825"
"0.7500","0.0227","0.2638"
"0.8000","0.0244","0.4566"
"0.8500","0.0260","0.1520"
"0.9000","0.0278","0.1583"
"0.9500","0.0291","0.1630"
"1.0000","0.0311","0.1210"
"1.0500","0.0328","0.1588"
"1.1000","0.0344","0.3520"
"1.1500","0.0361","0.0352"
"1.2000","0.0377","0.0364"
"1.2500","0.0395","0.2178"
"1.3000","0.0408","0.1301"
"1.3500","0.0428","0.1857"
"1.4000","0.0444","0.1669"
"1.4500","0.0461","0.1627"
"1.5000","0.0477","0.0565"
"1.5500","0.0494","0.2298"
"1.6000","0.0511","0.2648"
"1.6500","0.0525","0.0410"
"1.7000","0.0545","0.1204"
"1.7500","0.0560","-0.0003"
"1.8000","0.0577","0.1713"
"1.8500","0.0594","0.3091"
"1.9000","0.0611","0.2093"
"1.9500","0.0627","0.1244"
"2.0000","0.0642","0.0756"
"2.0500","0.0662","0.0658"
"2.1000","0.0676","0.2021"
"2.1500","0.0694","0.2640"
"2.2000","0.0711","0.2048"
"2.2500","0.0728","0.0910"
"2.3000","0.0743","0.0543"
"2.3500","0.0758","0.0517"
"2.4000","0.0778","0.1311"
"2.4500","0.0793","0.4231"
"2.5000","0.0811","0.0806"
"2.5500","0.0827","0.3178"
"2.6000","0.0845","0.1400"
"2.6500","0.0859","0.3013"
"2.7000","0.0876","0.1926"
"2.7500","0.0895","-0.0123"
"2.8000","0.0909","0.1969"
"2.8500","0.0928","0.3404"
"2.9000","0.0944","0.1602"
"2.9500","0.0962","0.1295"
"3.0000","0.0976","0.2605"
"3.0500","0.0993","0.2350"
"3.1000","0.1012","0.1122"
"3.1500","0.1026","0.1545"
"3.2000","0.1045","0.1374"
"3.2500","0.1060","0.2861"
"3.3000","0.1079","0.2759"
"3.3500","0.1092","0.0147"
"3.4000","0.1110","0.2387"
"3.4500","0.1129","0.1883"
"3.5000","0.1143","0.2072"
"3.5500","0.1161","0.1668"
"3.6000","0.1176","0.1720"
"3.6500","0.1196","0.1823"
"3.7000","0.1208","0.0882"
"3.7500","0.1227","0.1965"
"3.8000","0.1245","0.1810"
"3.8500","0.1260","0.2558"
"3.9000","0.1278","0.1598"
"3.9500","0.1293","0.0455"
"4.0000","0.1312","-0.0245"
"4.0500","0.1324","0.1373"
"4.1000","0.1345","0.2918"
"4.1500","0.1361","0.3252"
"4.2000","0.1377","0.1234"
"4.2500","0.1394","0.1374"
"4.3000","0.1410","0.3191"
"4.3500","0.1428","0.0984"
"4.4000","0.1441","0.1329"
"4.4500","0.1462","0.2302"
"4.5000","0.1478","0.3063"
"4.5500","0.1494","0.1893"
"4.6000","0.1510","0.1690"
"4.6500","0.1528","0.2626"
"4.7000","0.1544","0.3238"
"4.7500","0.1558","0.1395"
"4.8000","0.1578","0.3021"
"4.8500","0.1593","0.1125"
"4.9000","0.1611","0.3795"
"4.9500","0.1627","0.3744"
"5.0000","0.1644","0.4132"
"5.0500","0.1660","0.3004"
"5.1000","0.1675","0.2632"
"5.1500","0.1696","0.3895"
"5.2000","0.1710","0.4202"
"5.2500","0.1728","0.5271"
"5.3000","0.1744","0.2333"
"5.3500","0.1761","0.2409"
"5.4000","0.1776","0.4037"
"5.4500","0.1793","0.5204"
"5.5000","0.1812","0.4775"
"5.5500","0.1827","0.4930"
"5.6000","0.1845","0.6000"
"5.6500","0.1860","0.3604"
"5.7000","0.1878","0.4050"
"5.7500","0.1892","0.6214"
"5.8000","0.1909","0.6620"
"5.8500","0.1928","0.5335"
"5.9000","0.1943","0.6579"
"5.9500","0.1961","0.6401"
"6.0000","0.1976","0.6126"
"6.0500","0.1995","0.5260"
"6.1000","0.2008","0.7047"
"6.1500","0.2026","0.8110"
"6.2000","0.2045","0.7354"
"6.2500","0.2060","0.8745"
"6.3000","0.2078","1.0272"
"6.3500","0.2094","1.0184"
"6.4000","0.2111","1.0548"
"6.4500","0.2125","1.1703"
"6.5000","0.2144","1.4213"
"6.5500","0.2161","1.4283"
"6.6000","0.2176","1.7545"
"6.6500","0.2194","1.5586"
"6.7000","0.2210","1.4595"
"6.7500","0.2228","1.5532"
"6.8000","0.2241","1.6659"
"6.8500","0.2261","1.6617"
"6.9000","0.2278","1.3293"
"6.9500","0.2294","1.5508"
"7.0000","0.2311","1.4491"
"7.0500","0.2328","1.5432"
"7.1000","0.2344","1.5633"
"7.1500","0.2358","1.5921"
"7.2000","0.2377","1.6473"
"7.2500","0.2394","1.5284"
"7.3000","0.2411","1.6893"
"7.3500","0.2427","1.6286"
"7.4000","0.2444","1.9078"
"7.4500","0.2460","2.1993"
"7.5000","0.2474","2.3284"
"7.5500","0.2494","2.5989"
"7.6000","0.2511","2.6703"
"7.6500","0.2527","2.7617"
"7.7000","0.2544","2.5114"
"7.7500","0.2561","2.9678"
"7.8000","0.2577","2.8269"
"7.8500","0.2591","2.8199"
"7.9000","0.2611","2.7819"
"7.9500","0.2627","2.8669"
"8.0000","0.2644","2.8020"
"8.0500","0.2660","2.6661"
"8.1000","0.2678","2.9158"
"8.1500","0.2694","2.9097"
"8.2000","0.2708","2.8059"
"8.2500","0.2729","2.4867"
"8.3000","0.2744","2.8384"
"8.3500","0.2761","2.7373"
"8.4000","0.2777","2.8333"
"8.4500","0.2795","2.9078"
"8.5000","0.2810","2.7367"
"8.5500","0.2825","2.7727"
"8.6000","0.2845","2.8173"
"8.6500","0.2860","2.7639"
"8.7000","0.2878","2.7022"
"8.7500","0.2894","2.6880"
"8.8000","0.2912","2.7475"
"8.8500","0.2926","2.6545"
"8.9000","0.2943","2.9270"
"8.9500","0.2962","2.8760"
"9.0000","0.2976","2.8125"
"9.0500","0.2995","2.9140"
"9.1000","0.3011","2.8511"
"9.1500","0.3028","2.8375"
"9.2000","0.3042","2.7580"
"9.2500","0.3059","3.0103"
"9.3000","0.3079","2.9199"
"9.3500","0.3093","2.7533"
"9.4000","0.3111","2.6004"
"9.4500","0.3127","2.7462"
"9.5000","0.3145","2.7328"
"9.5500","0.3158","2.9874"
"9.6000","0.3176","2.6307"
"9.6500","0.3195","2.8759"
"9.7000","0.3209","2.6530"
"9.7500","0.3228","2.6481"
"9.8000","0.3243","2.8138"
"9.8500","0.3262","2.9367"
"9.9000","0.3275","2.7663"
"9.9500","0.3294","2.8763"
"10.0000","0.3311","2.8660"
"10.0500","0.3326","2.9020"
"10.1000","0.3345","3.0038"
"10.1500","0.3360","3.0647"
"10.2000","0.3378","2.8990"
"10.2500","0.3391","3.0714"
"10.3000","0.3411","2.8172"
"10.3500","0.3428","2.7184"
"10.4000","0.3443","2.8268"
"10.4500","0.3461","3.0027"
"10.5000","0.3478","2.8620"
"10.5500","0.3495","2.6309"
"10.6000","0.3508","3.1383"
"10.6500","0.3529","3.3417"
"10.7000","0.3544","3.5165"
"10.7500","0.3561","3.5266"
"10.8000","0.3577","3.5596"
"10.8500","0.3594","3.5364"
"10.9000","0.3611","3.6631"
"10.9500","0.3624","3.5891"
"11.0000","0.3645","3.4766"
"11.0500","0.3660","3.8405"
"11.1000","0.3678","3.4984"
"11.1500","0.3693","3.4461"
"11.2000","0.3711","3.7924"
"11.2500","0.3727","3.4350"
"11.3000","0.3741","3.5634"
"11.3500","0.3762","3.5623"
"11.4000","0.3776","3.5633"
"11.4500","0.3794","3.4710"
"11.5000","0.3810","3.5055"
"11.5500","0.3828","3.5009"
"11.6000","0.3843","3.5670"
"11.6500","0.3859","3.3798"
"11.7000","0.3879","3.5251"
"11.7500","0.3893","3.4910"
"11.8000","0.3911","3.5768"
"11.8500","0.3926","3.6090"
"11.9000","0.3945","3.6400"
"11.9500","0.3959","3.5760"
"12.0000","0.3976","3.5392"
"12.0500","0.3995","3.5026"
"12.1000","0.4010","3.3242"
"12.1500","0.4028","3.3959"
"12.2000","0.4043","3.5635"
"12.2500","0.4062","3.3881"
"12.3000","0.4076","3.6208"
"12.3500","0.4094","3.3946"
"12.4000","0.4112","3.4798"
"12.4500","0.4127","3.4481"
"12.5000","0.4145","3.5134"
"12.5500","0.4160","3.5725"
"12.6000","0.4178","3.4800"
"12.6500","0.4192","3.4174"
"12.7000","0.4211","3.5278"
"12.7500","0.4228","3.5483"
"12.8000","0.4243","3.3721"
"12.8500","0.4261","3.7070"
"12.9000","0.4277","3.4314"
"12.9500","0.4295","3.4340"
"13.0000","0.4308","3.5202"
"13.0500","0.4327","3.5347"
"13.1000","0.4344","3.5368"
"13.1500","0.4360","3.4086"
"13.2000","0.4378","3.6155"
"13.2500","0.4394","3.6647"
"13.3000","0.4411","3.5200"
"13.3500","0.4425","3.5382"
"13.4000","0.4445","3.7018"
"13.4500","0.4460","3.6627"
"13.5000","0.4478","3.6386"
"13.5500","0.4495","3.5648"
"13.6000","0.4511","3.5310"
"13.6500","0.4527","3.5519"
"13.7000","0.4541","3.6558"
"13.7500","0.4562","3.5751"
"13.8000","0.4577","3.6686"
"13.8500","0.4594","3.5116"
"13.9000","0.4611","3.5095"
"13.9500","0.4628","3.5329"
"14.0000","0.4644","3.4084"
"14.0500","0.4658","3.4710"
"14.1000","0.4678","3.6619"
"14.1500","0.4694","3.4333"
"14.2000","0.4711","3.4593"
"14.2500","0.4727","3.4378"
"14.3000","0.4745","3.4481"
"14.3500","0.4760","3.5421"
"14.4000","0.4775","3.6069"
"14.4500","0.4795","3.5224"
"14.5000","0.4811","3.4994"
"14.5500","0.4828","3.6441"
"14.6000","0.4843","3.4882"
"14.6500","0.4861","3.5650"
"14.7000","0.4876","3.6253"
"14.7500","0.4892","3.4288"
"14.8000","0.4912","3.4648"
"14.8500","0.4927","3.4786"
"14.9000","0.4944","3.3689"
"14.9500","0.4960","3.7092"
"15.0000","0.4978","3.4405"
"15.0500","0.4992","3.6220"
"15.1000","0.5009","3.4993"
"15.1500","0.5028","3.5628"
"15.2000","0.5043","3.7250"
"15.2500","0.5061","3.4840"
"15.3000","0.5077","3.5539"
"15.3500","0.5095","3.7022"
"15.4000","0.5108","3.6077"
"15.4500","0.5126","3.5917"
"15.5000","0.5145","3.7237"
"15.5500","0.5160","3.6251"
"15.6000","0.5178","3.9022"
"15.6500","0.5193","3.6584"
"15.7000","0.5212","3.6311"
"15.7500","0.5225","3.7379"
"15.8000","0.5244","4.2842"
"15.8500","0.5262","4.6313"
"15.9000","0.5277","5.0211"
"15.9500","0.5295","5.6324"
"16.0000","0.5310","6.0445"
"16.0500","0.5328","6.8903"
"16.1000","0.5342","7.5628"
"16.1500","0.5361","8.6709"
"16.2000","0.5378","9.3077"
"16.2500","0.5393","10.3011"
"16.3000","0.5411","11.4685"
"16.3500","0.5427","12.3856"
