
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0866"
"0.0500","0.0001","0.0576"
"0.1000","0.0008","-0.0953"
"0.1500","0.0011","0.1986"
"0.2000","0.0023","-0.1534"
"0.2500","0.0055","-0.0993"
"0.3000","0.0076","-0.0793"
"0.3500","0.0092","0.2321"
"0.4000","0.0109","0.0143"
"0.4500","0.0127","-0.0678"
"0.5000","0.0140","0.1332"
"0.5500","0.0160","0.0244"
"0.6000","0.0176","0.2414"
"0.6500","0.0194","0.0712"
"0.7000","0.0209","0.1894"
"0.7500","0.0227","0.1123"
"0.8000","0.0242","0.0443"
"0.8500","0.0257","0.2977"
"0.9000","0.0278","0.2031"
"0.9500","0.0292","0.3172"
"1.0000","0.0311","0.3316"
"1.0500","0.0326","0.1899"
"1.1000","0.0343","0.1886"
"1.1500","0.0358","0.1287"
"1.2000","0.0375","0.2095"
"1.2500","0.0394","0.2102"
"1.3000","0.0408","0.1700"
"1.3500","0.0427","0.3578"
"1.4000","0.0442","0.1397"
"1.4500","0.0461","0.1771"
"1.5000","0.0475","0.2038"
"1.5500","0.0491","0.2356"
"1.6000","0.0510","0.1565"
"1.6500","0.0525","0.1780"
"1.7000","0.0544","0.2375"
"1.7500","0.0559","0.3284"
"1.8000","0.0577","0.1564"
"1.8500","0.0591","0.2917"
"1.9000","0.0608","0.2993"
"1.9500","0.0627","0.6281"
"2.0000","0.0642","0.5960"
"2.0500","0.0661","0.7052"
"2.1000","0.0675","0.6184"
"2.1500","0.0693","0.7359"
"2.2000","0.0707","0.5635"
"2.2500","0.0726","0.9274"
"2.3000","0.0744","1.0524"
"2.3500","0.0759","1.0454"
"2.4000","0.0777","1.3327"
"2.4500","0.0792","1.5361"
"2.5000","0.0810","1.7637"
"2.5500","0.0824","1.9478"
"2.6000","0.0843","2.3445"
"2.6500","0.0860","2.5785"
"2.7000","0.0876","2.5514"
"2.7500","0.0894","2.7389"
"2.8000","0.0910","2.5573"
"2.8500","0.0927","2.6474"
"2.9000","0.0940","2.5731"
"2.9500","0.0960","2.6612"
"3.0000","0.0977","2.4346"
"3.0500","0.0993","2.5528"
"3.1000","0.1010","2.5412"
"3.1500","0.1026","2.7310"
"3.2000","0.1043","2.6535"
"3.2500","0.1057","2.6249"
"3.3000","0.1077","2.4448"
"3.3500","0.1093","2.5251"
"3.4000","0.1109","2.7478"
"3.4500","0.1126","2.6164"
"3.5000","0.1143","2.4994"
"3.5500","0.1159","2.5384"
"3.6000","0.1174","2.6287"
"3.6500","0.1194","2.6448"
"3.7000","0.1209","2.5222"
"3.7500","0.1226","2.4078"
"3.8000","0.1243","2.6500"
"3.8500","0.1260","2.5936"
"3.9000","0.1276","2.5488"
"3.9500","0.1290","2.5814"
"4.0000","0.1311","2.5821"
"4.0500","0.1326","2.7596"
"4.1000","0.1343","2.7066"
"4.1500","0.1360","2.7169"
"4.2000","0.1377","2.5853"
"4.2500","0.1392","2.6556"
"4.3000","0.1407","2.5822"
"4.3500","0.1427","2.5559"
"4.4000","0.1442","2.5674"
"4.4500","0.1460","2.6496"
"4.5000","0.1476","2.7064"
"4.5500","0.1494","2.5474"
"4.6000","0.1508","2.5779"
"4.6500","0.1525","2.6525"
"4.7000","0.1544","2.8650"
