
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-42.3462"
"0.2500","0.0150","215.0270"
"0.5000","0.0363","511.1535"
"0.7500","0.0570","723.9009"
"1.0000","0.0779","893.9785"
"1.2500","0.0987","1040.2616"
"1.5000","0.1195","1169.8668"
"1.7500","0.1404","1296.7993"
"2.0000","0.1613","1417.6908"
"2.2500","0.1821","1530.6013"
"2.5000","0.2029","1639.7599"
"2.7500","0.2237","1744.5648"
"3.0000","0.2445","1846.6577"
"3.2500","0.2656","1949.7296"
"3.5000","0.2863","2043.1047"
"3.7500","0.3070","2133.8953"
"4.0000","0.3279","2224.3701"
"4.2500","0.3487","2311.5696"
"4.5000","0.3696","2397.8760"
"4.7500","0.3905","2481.9807"
"5.0000","0.4112","2559.9326"
"5.2500","0.4320","2634.1790"
"5.5000","0.4528","2707.7825"
"5.7500","0.4737","2757.8403"
"6.0000","0.4947","2832.9238"
"6.2500","0.5155","2900.7246"
"6.5000","0.5361","2963.0115"
"6.7500","0.5570","3026.3704"
"7.0000","0.5779","3088.9282"
"7.2500","0.5988","3147.8352"
"7.5000","0.6196","3206.1692"
"7.7500","0.6404","3259.5039"
"8.0000","0.6611","3309.8250"
"8.2500","0.6820","3350.7629"
"8.5000","0.7030","3387.9302"
"8.7500","0.7238","3434.9385"
"9.0000","0.7446","3479.1843"
"9.2500","0.7654","3521.2930"
"9.5000","0.7861","3559.7690"
"9.7500","0.8071","3600.0688"
"10.0000","0.8280","3636.4795"
"10.2500","0.8487","3575.9744"
"10.5000","0.8696","3603.3384"
"10.7500","0.8903","3628.2983"
"11.0000","0.9111","3653.2380"
"11.2500","0.9322","3680.7742"
"11.5000","0.9530","3697.5532"
"11.7500","0.9737","3700.7361"
"12.0000","0.9945","3683.4634"
"12.2500","1.0153","3684.3333"
"12.5000","1.0363","3688.8123"
"12.7500","1.0572","3691.7698"
"13.0000","1.0779","3691.1394"
"13.2500","1.0987","3685.4111"
"13.5000","1.1195","3682.9871"
"13.7500","1.1403","3678.3423"
"14.0000","1.1613","3669.8083"
"14.2500","1.1821","3581.6423"
"14.5000","1.2029","3539.7981"
"14.7500","1.2236","3506.1418"
"15.0000","1.2445","3462.4167"
"15.2500","1.2655","3244.1758"
"15.5000","1.2863","3228.6487"
"15.7500","1.3071","3224.9294"
"16.0000","1.3278","3206.1833"
"16.2500","1.3487","3206.0955"
"16.5000","1.3696","3208.5173"
"16.7500","1.3905","3209.8713"
"17.0000","1.4113","3209.2988"
"17.2500","1.4321","3206.9226"
"17.5000","1.4527","3202.0315"
"17.7500","1.4737","3201.5063"
"18.0000","1.4947","3199.5203"
"18.2500","1.5155","3194.6387"
"18.5000","1.5363","3183.2283"
"18.7500","1.5570","3170.2307"
"19.0000","1.5778","3155.0684"
"19.2500","1.5987","3139.6531"
"19.5000","1.6196","3121.5588"
"19.7500","1.6405","3103.2991"
"20.0000","1.6612","3081.3376"
"20.2500","1.6819","3053.5847"
"20.5000","1.7029","3029.1821"
"20.7500","1.7238","3004.0039"
"21.0000","1.7446","2976.5681"
"21.2500","1.7654","2947.6550"
"21.5000","1.7862","2913.9604"
"21.7500","1.8070","2882.5205"
"22.0000","1.8279","2850.5520"
"22.2500","1.8488","2812.6455"
"22.5000","1.8696","2770.7231"
"22.7500","1.8904","2726.2515"
"23.0000","1.9112","2675.0916"
"23.2500","1.9320","2623.6538"
"23.5000","1.9531","2575.4473"
"23.7500","1.9738","2509.8252"
"24.0000","1.9945","2440.9827"
"24.2500","2.0154","2380.2473"
"24.5000","2.0362","2313.5054"
"24.7500","2.0571","2215.6482"
"25.0000","2.0780","2124.7019"
"25.2500","2.0988","2015.4381"
"25.5000","2.1195","1882.4225"
"25.7500","2.1404","1722.1931"
"26.0000","2.1612","1551.7178"
"26.2500","2.1822","1385.5336"
"26.5000","2.2030","1220.9371"
"26.7500","2.2237","1082.2373"
"27.0000","2.2445","942.6080"
"27.0310","2.2472","926.0764"

