
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0905"
"0.2500","0.0161","16.5638"
"0.5000","0.0368","97.5478"
"0.7500","0.0577","203.7981"
"1.0000","0.0786","324.3010"
"1.2500","0.0994","456.0116"
"1.5000","0.1202","590.5380"
"1.7500","0.1410","725.6469"
"2.0000","0.1618","862.3833"
"2.2500","0.1828","1002.1546"
"2.5000","0.2037","1141.7045"
"2.7500","0.2244","1279.3943"
"3.0000","0.2453","1416.6042"
"3.2500","0.2660","1551.5366"
"3.5000","0.2868","1688.2583"
"3.7500","0.3078","1827.5566"
"4.0000","0.3287","1965.7710"
"4.2500","0.3493","2102.7810"
"4.5000","0.3702","2242.9419"
"4.7500","0.3910","2383.2952"
"5.0000","0.4118","2525.3113"
"5.2500","0.4329","2671.6155"
"5.5000","0.4536","2814.4519"
"5.7500","0.4742","2955.9380"
"6.0000","0.4952","3104.7896"
"6.2500","0.5161","3252.1331"
"6.5000","0.5369","3400.8696"
"6.7500","0.5578","3550.2273"
"7.0000","0.5786","3697.0417"
"7.2500","0.5993","3842.9302"
"7.5000","0.6202","3992.5010"
"7.7500","0.6411","4141.2773"
"8.0000","0.6620","4289.7671"
"8.2500","0.6828","4436.0195"
"8.5000","0.7035","4578.6074"
"8.7500","0.7243","4723.7275"
"9.0000","0.7453","4868.9863"
"9.2500","0.7661","5013.3052"
"9.5000","0.7869","5154.2656"
"9.7500","0.8078","5293.8540"
"10.0000","0.8284","5428.0659"
"10.2500","0.8494","5564.2637"
"10.5000","0.8703","5699.4165"
"10.7500","0.8911","5829.2275"
"11.0000","0.9119","5956.2393"
"11.2500","0.9327","6078.3511"
"11.5000","0.9535","6199.7627"
"11.7500","0.9745","6321.7090"
"12.0000","0.9953","6438.4497"
"12.2500","1.0161","6551.1406"
"12.5000","1.0369","6660.9209"
"12.7500","1.0577","6766.3892"
"13.0000","1.0785","6867.3232"
"13.2500","1.0995","6972.5552"
"13.5000","1.1204","7071.1655"
"13.7500","1.1411","7164.3062"
"14.0000","1.1619","7254.8955"
"14.2500","1.1827","7342.1113"
"14.5000","1.2036","7430.5952"
"14.7500","1.2245","7514.7710"
"15.0000","1.2452","7594.2769"
"15.2500","1.2660","7640.8667"
"15.5000","1.2868","7695.4565"
"15.7500","1.3077","7768.9521"
"16.0000","1.3287","7838.2373"
"16.2500","1.3495","7901.4546"
"16.5000","1.3702","7963.4116"
"16.7500","1.3910","8021.6406"
"17.0000","1.4119","8080.4937"
"17.2500","1.4329","8139.8315"
"17.5000","1.4536","8191.1802"
"17.7500","1.4744","8242.3115"
"18.0000","1.4952","8288.6045"
"18.2500","1.5160","8324.3008"
"18.5000","1.5370","8317.3760"
"18.7500","1.5578","8358.6465"
"19.0000","1.5787","8397.2764"
"19.2500","1.5994","8380.6592"
"19.5000","1.6201","8407.8174"
"19.7500","1.6411","8440.6924"
"20.0000","1.6620","8471.5664"
"20.2500","1.6828","8497.1455"
"20.5000","1.7036","8522.3818"
"20.7500","1.7243","8544.4971"
"21.0000","1.7451","8567.3574"
"21.2500","1.7662","8590.2441"
"21.5000","1.7870","8611.1094"
"21.7500","1.8078","8630.9375"
"22.0000","1.8285","8647.3730"
"22.2500","1.8493","8662.6494"
"22.5000","1.8703","8682.5322"
"22.7500","1.8912","8697.8418"
"23.0000","1.9119","8700.3682"
"23.2500","1.9327","8710.2607"
"23.5000","1.9535","8718.1963"
"23.7500","1.9744","8724.9229"
"24.0000","1.9953","8733.8867"
"24.2500","2.0162","8744.0293"
"24.5000","2.0369","8749.2549"
"24.7500","2.0577","8725.9453"
"25.0000","2.0786","8726.8984"
"25.2500","2.0994","8728.1758"
"25.5000","2.1204","8729.5371"
"25.7500","2.1411","8728.2744"
"26.0000","2.1618","8726.9385"
"26.2500","2.1827","8729.0508"
"26.5000","2.2036","8729.1143"
"26.7500","2.2245","8729.3545"
"27.0000","2.2454","8724.8574"
"27.2500","2.2661","8713.5117"
"27.5000","2.2868","8702.2334"
"27.7500","2.3077","8692.8877"
"28.0000","2.3287","8676.0830"
"28.2500","2.3495","8649.5166"
"28.5000","2.3703","8635.6260"
"28.7500","2.3910","8621.7334"
"29.0000","2.4119","8595.4170"
"29.2500","2.4328","8580.0146"
"29.5000","2.4537","8572.9600"
"29.7500","2.4745","8566.6377"
"30.0000","2.4953","8558.4062"
"30.2500","2.5160","8547.1416"
"30.5000","2.5368","8540.4668"
"30.7500","2.5578","8537.3809"
"31.0000","2.5787","8529.3916"
"31.2500","2.5994","8518.0967"
"31.5000","2.6202","8507.4443"
"31.7500","2.6410","8493.3174"
"32.0000","2.6620","8481.3623"
"32.2500","2.6829","8445.7568"
"32.5000","2.7036","8328.5928"
"32.7500","2.7244","8261.2666"
"33.0000","2.7452","8182.7173"
"33.2500","2.7660","8118.8301"
"33.5000","2.7870","8045.0518"
"33.7500","2.8080","7443.9985"
"34.0000","2.8286","7376.4712"
