
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.2158"
"0.0500","0.0001","-0.0486"
"0.1000","0.0006","0.0198"
"0.1500","0.0009","0.1995"
"0.2000","0.0022","0.0382"
"0.2500","0.0053","-0.0680"
"0.3000","0.0072","0.0076"
"0.3500","0.0091","-0.0408"
"0.4000","0.0106","-0.0478"
"0.4500","0.0125","0.0832"
"0.5000","0.0140","-0.0152"
"0.5500","0.0158","-0.0382"
"0.6000","0.0172","0.0555"
"0.6500","0.0190","-0.1808"
"0.7000","0.0209","-0.0086"
"0.7500","0.0224","-0.0291"
"0.8000","0.0242","0.0263"
"0.8500","0.0256","0.0954"
"0.9000","0.0275","0.0425"
"0.9500","0.0288","0.0767"
"1.0000","0.0307","0.0895"
"1.0500","0.0325","-0.0411"
"1.1000","0.0340","-0.0231"
"1.1500","0.0358","-0.0006"
"1.2000","0.0374","-0.1457"
"1.2500","0.0392","-0.0438"
"1.3000","0.0405","0.0542"
"1.3500","0.0424","-0.1403"
"1.4000","0.0441","0.0218"
"1.4500","0.0457","-0.0275"
"1.5000","0.0475","-0.0968"
"1.5500","0.0490","0.1072"
"1.6000","0.0508","-0.0447"
"1.6500","0.0521","0.1790"
"1.7000","0.0541","0.0275"
"1.7500","0.0557","-0.0009"
"1.8000","0.0574","0.0220"
"1.8500","0.0591","0.1284"
"1.9000","0.0607","-0.0294"
"1.9500","0.0624","0.0170"
"2.0000","0.0638","0.3084"
"2.0500","0.0659","0.0058"
"2.1000","0.0674","0.0086"
"2.1500","0.0690","0.1638"
"2.2000","0.0708","0.1381"
"2.2500","0.0724","0.0390"
"2.3000","0.0741","0.0073"
"2.3500","0.0755","-0.0906"
"2.4000","0.0775","0.0352"
"2.4500","0.0791","-0.0137"
"2.5000","0.0808","0.0548"
"2.5500","0.0824","0.0345"
"2.6000","0.0842","0.1703"
"2.6500","0.0857","-0.0862"
"2.7000","0.0871","0.2484"
"2.7500","0.0892","-0.2084"
"2.8000","0.0907","0.0851"
"2.8500","0.0925","0.0093"
"2.9000","0.0940","0.1624"
"2.9500","0.0958","0.1254"
"3.0000","0.0973","0.0815"
"3.0500","0.0989","-0.0779"
"3.1000","0.1009","0.0819"
"3.1500","0.1023","0.1381"
"3.2000","0.1041","0.0501"
"3.2500","0.1057","-0.0762"
"3.3000","0.1075","0.3132"
"3.3500","0.1089","-0.1408"
"3.4000","0.1106","0.0566"
"3.4500","0.1125","0.0701"
"3.5000","0.1140","0.0557"
"3.5500","0.1158","0.0106"
"3.6000","0.1173","0.1035"
"3.6500","0.1192","0.1219"
"3.7000","0.1205","-0.1100"
"3.7500","0.1222","0.1536"
"3.8000","0.1242","0.0367"
"3.8500","0.1257","-0.0155"
"3.9000","0.1275","-0.0375"
"3.9500","0.1290","0.0861"
"4.0000","0.1308","0.0749"
"4.0500","0.1322","0.0859"
"4.1000","0.1340","0.1464"
"4.1500","0.1359","-0.0171"
"4.2000","0.1373","0.0915"
"4.2500","0.1391","-0.0687"
"4.3000","0.1407","0.2783"
"4.3500","0.1425","0.0961"
"4.4000","0.1439","0.1254"
"4.4500","0.1458","0.0961"
"4.5000","0.1475","0.1620"
"4.5500","0.1489","0.1610"
"4.6000","0.1508","0.0696"
"4.6500","0.1524","0.0908"
"4.7000","0.1542","0.0579"
"4.7500","0.1555","0.1656"
"4.8000","0.1574","0.0626"
"4.8500","0.1591","0.2931"
"4.9000","0.1607","0.1932"
"4.9500","0.1624","0.2790"
"5.0000","0.1640","0.2204"
"5.0500","0.1658","0.2542"
"5.1000","0.1671","0.1137"
"5.1500","0.1691","0.1823"
"5.2000","0.1707","-0.0691"
"5.2500","0.1723","-0.0655"
"5.3000","0.1741","-0.0808"
"5.3500","0.1758","0.1515"
"5.4000","0.1774","0.0408"
"5.4500","0.1788","0.0840"
"5.5000","0.1809","0.1932"
"5.5500","0.1824","0.0526"
"5.6000","0.1841","0.0707"
"5.6500","0.1858","0.0781"
"5.7000","0.1875","0.0373"
"5.7500","0.1890","0.0300"
"5.8000","0.1905","0.1044"
"5.8500","0.1926","-0.0824"
"5.9000","0.1940","0.2410"
"5.9500","0.1958","-0.0781"
"6.0000","0.1974","0.0494"
"6.0500","0.1992","0.1313"
"6.1000","0.2007","0.0815"
"6.1500","0.2022","0.1306"
"6.2000","0.2042","0.2774"
"6.2500","0.2056","0.1926"
"6.3000","0.2075","0.1020"
"6.3500","0.2090","0.1866"
"6.4000","0.2108","0.0369"
"6.4500","0.2123","0.1867"
"6.5000","0.2139","0.2844"
"6.5500","0.2159","0.2193"
"6.6000","0.2174","0.0182"
"6.6500","0.2192","-0.0818"
"6.7000","0.2206","0.1718"
"6.7500","0.2225","0.0015"
"6.8000","0.2239","0.1895"
"6.8500","0.2256","-0.0423"
"6.9000","0.2276","0.2076"
"6.9500","0.2290","0.0516"
"7.0000","0.2308","0.2322"
"7.0500","0.2322","0.2587"
"7.1000","0.2342","0.0325"
"7.1500","0.2356","-0.1762"
"7.2000","0.2374","0.1050"
"7.2500","0.2391","-0.0715"
"7.3000","0.2406","0.1779"
"7.3500","0.2425","0.0834"
"7.4000","0.2440","0.1590"
"7.4500","0.2459","0.1409"
"7.5000","0.2471","0.1473"
"7.5500","0.2490","-0.0658"
"7.6000","0.2508","0.2078"
"7.6500","0.2524","0.1084"
"7.7000","0.2542","0.0104"
"7.7500","0.2557","0.1915"
"7.8000","0.2575","0.0519"
"7.8500","0.2588","0.2246"
"7.9000","0.2608","0.0934"
"7.9500","0.2625","0.2134"
"8.0000","0.2642","0.1554"
"8.0500","0.2658","-0.1190"
"8.1000","0.2674","0.1719"
"8.1500","0.2691","0.1235"
"8.2000","0.2705","0.0727"
"8.2500","0.2726","0.3537"
"8.3000","0.2740","0.0044"
"8.3500","0.2757","0.1120"
"8.4000","0.2774","0.0251"
"8.4500","0.2791","-0.0179"
"8.5000","0.2807","0.0824"
"8.5500","0.2821","0.0483"
"8.6000","0.2841","0.1429"
"8.6500","0.2856","0.0686"
"8.7000","0.2874","0.1161"
"8.7500","0.2891","0.2596"
"8.8000","0.2908","0.0745"
"8.8500","0.2923","0.2903"
"8.9000","0.2938","0.1127"
"8.9500","0.2958","0.0069"
"9.0000","0.2974","0.1593"
"9.0500","0.2992","0.1410"
"9.1000","0.3007","0.1784"
"9.1500","0.3024","-0.0748"
"9.2000","0.3039","0.1293"
"9.2500","0.3056","0.0729"
"9.3000","0.3076","0.0973"
"9.3500","0.3090","0.1360"
"9.4000","0.3108","0.1358"
"9.4500","0.3124","0.0103"
"9.5000","0.3142","0.0805"
"9.5500","0.3156","0.0521"
"9.6000","0.3173","0.1283"
"9.6500","0.3192","0.1199"
"9.7000","0.3206","0.2091"
"9.7500","0.3225","0.1507"
