
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1925"
"0.2500","0.0153","21.4075"
"0.5000","0.0361","57.1616"
"0.7500","0.0569","99.1599"
"1.0000","0.0778","141.8311"
"1.2500","0.0986","174.0794"
"1.5000","0.1195","203.1793"
"1.7500","0.1404","235.8429"
"2.0000","0.1611","285.3343"
"2.2500","0.1819","346.7851"
"2.5000","0.2028","421.1799"
"2.7500","0.2236","506.3772"
"3.0000","0.2445","595.6817"
"3.2500","0.2653","686.5327"
"3.5000","0.2860","778.8179"
"3.7500","0.3068","876.1221"
"4.0000","0.3278","978.4517"
"4.2500","0.3487","1083.5166"
"4.5000","0.3695","1190.3831"
"4.7500","0.3903","1299.1697"
"5.0000","0.4110","1412.0107"
"5.2500","0.4320","1528.4434"
"5.5000","0.4529","1645.2212"
"5.7500","0.4736","1762.9310"
"6.0000","0.4945","1882.9552"
"6.2500","0.5153","2004.9088"
"6.5000","0.5360","2129.8459"
"6.7500","0.5570","2260.1377"
"7.0000","0.5779","2390.3345"
"7.2500","0.5986","2520.9758"
"7.5000","0.6194","2651.5520"
"7.7500","0.6402","2784.5874"
"8.0000","0.6611","2920.9380"
"8.2500","0.6821","3064.0479"
"8.5000","0.7028","3207.6658"
"8.7500","0.7236","3355.7734"
"9.0000","0.7444","3500.0459"
"9.2500","0.7652","3643.5000"
"9.5000","0.7862","3784.2817"
"9.7500","0.8070","3920.5332"
"10.0000","0.8278","4052.3333"
"10.2500","0.8485","4179.1064"
"10.5000","0.8694","4304.9312"
"10.7500","0.8903","4427.7295"
"11.0000","0.9112","4548.6758"
"11.2500","0.9320","4663.3452"
"11.5000","0.9528","4776.3535"
"11.7500","0.9736","4886.3940"
"12.0000","0.9944","4995.3955"
"12.2500","1.0154","5104.0977"
"12.5000","1.0362","5209.1001"
"12.7500","1.0570","5310.0205"
"13.0000","1.0777","5407.7061"
"13.2500","1.0986","5507.0557"
"13.5000","1.1196","5605.5762"
"13.7500","1.1404","5700.2998"
"14.0000","1.1612","5791.3901"
"14.2500","1.1819","5880.8037"
"14.5000","1.2027","5967.7969"
"14.7500","1.2236","6054.5688"
"15.0000","1.2445","6140.3594"
"15.2500","1.2654","6223.2568"
"15.5000","1.2861","6302.2500"
"15.7500","1.3068","6377.9941"
"16.0000","1.3278","6455.9473"
"16.2500","1.3487","6532.3999"
"16.5000","1.3695","6605.4731"
"16.7500","1.3903","6675.5698"
"17.0000","1.4111","6743.1562"
"17.2500","1.4319","6809.1460"
"17.5000","1.4528","6873.5054"
"17.7500","1.4737","6928.6050"
"18.0000","1.4945","6982.9331"
"18.2500","1.5153","7034.5415"
"18.5000","1.5361","6151.8613"
"18.7500","1.5569","6185.0215"
"19.0000","1.5779","6252.9756"
"19.2500","1.5987","6321.9907"
"19.5000","1.6194","6389.3638"
"19.7500","1.6403","6455.9062"
"20.0000","1.6611","6518.0039"
"20.2500","1.6820","6580.0527"
"20.5000","1.7029","6640.4829"
"20.7500","1.7236","6693.1641"
"21.0000","1.7444","6743.9268"
"21.2500","1.7653","6792.9434"
"21.5000","1.7861","6838.3643"
"21.7500","1.8071","6885.9653"
"22.0000","1.8279","6925.4033"
"22.2500","1.8485","6961.3770"
"22.5000","1.8694","6998.1401"
"22.7500","1.8903","7032.1582"
"23.0000","1.9112","7066.3364"
"23.2500","1.9320","7098.5972"
"23.5000","1.9528","7126.6538"
"23.7500","1.9736","7152.1230"
"24.0000","1.9944","7175.6655"
"24.2500","2.0153","7199.1719"
"24.5000","2.0362","7216.0425"
"24.7500","2.0570","7219.7339"
"25.0000","2.0778","7212.1807"
"25.2500","2.0985","7204.0776"
"25.5000","2.1195","7206.2544"
"25.7500","2.1404","7205.7700"
"26.0000","2.1611","7200.1792"
"26.2500","2.1820","7177.6831"
"26.5000","2.2027","7124.2695"
"26.7500","2.2235","7086.2988"
"27.0000","2.2446","7034.5620"
"27.2500","2.2654","6981.4346"
"27.5000","2.2862","6447.6445"
"27.7500","2.3069","6218.4521"
"28.0000","2.3277","6199.7725"
"28.2500","2.3486","6190.6377"
"28.5000","2.3696","6187.3677"
"28.7500","2.3903","6182.4033"
"29.0000","2.4111","6179.2383"
"29.2500","2.4319","6171.7715"
"29.5000","2.4528","6159.8120"
"29.7500","2.4737","6143.8711"
"30.0000","2.4946","6119.2515"
"30.2500","2.5153","6091.4854"
"30.5000","2.5360","6064.9390"
"30.7500","2.5569","6032.7148"
"31.0000","2.5778","5996.4585"
"31.2500","2.5987","5958.2031"
