
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0673"
"0.0500","0.0000","-0.0537"
"0.1000","0.0007","0.0480"
"0.1500","0.0010","-0.0812"
"0.2000","0.0024","-0.1059"
"0.2500","0.0054","-0.1394"
"0.3000","0.0075","-0.0336"
"0.3500","0.0090","0.0378"
"0.4000","0.0108","-0.2390"
"0.4500","0.0126","-0.0813"
"0.5000","0.0141","0.0441"
"0.5500","0.0159","0.1422"
"0.6000","0.0175","0.0743"
"0.6500","0.0194","0.0250"
"0.7000","0.0207","-0.1093"
"0.7500","0.0225","0.0386"
"0.8000","0.0242","0.0960"
"0.8500","0.0259","0.0139"
"0.9000","0.0277","-0.0319"
"0.9500","0.0292","0.1701"
"1.0000","0.0310","0.0298"
"1.0500","0.0323","-0.0921"
"1.1000","0.0343","0.0738"
"1.1500","0.0359","0.0604"
"1.2000","0.0376","0.2015"
"1.2500","0.0393","0.1028"
"1.3000","0.0408","0.0516"
"1.3500","0.0426","0.0353"
"1.4000","0.0440","0.0673"
"1.4500","0.0461","0.2728"
"1.5000","0.0475","0.1643"
"1.5500","0.0492","-0.0608"
"1.6000","0.0509","0.0683"
"1.6500","0.0526","-0.0768"
"1.7000","0.0543","0.0825"
"1.7500","0.0556","-0.1132"
"1.8000","0.0576","0.1680"
"1.8500","0.0591","-0.1104"
"1.9000","0.0609","0.1202"
"1.9500","0.0626","-0.0689"
"2.0000","0.0643","-0.0282"
"2.0500","0.0658","-0.0630"
"2.1000","0.0673","-0.0164"
"2.1500","0.0693","0.2281"
"2.2000","0.0708","0.0768"
"2.2500","0.0727","0.0526"
"2.3000","0.0742","0.2470"
"2.3500","0.0759","0.3135"
"2.4000","0.0774","-0.1088"
"2.4500","0.0791","0.1303"
"2.5000","0.0811","0.1372"
"2.5500","0.0825","0.1057"
"2.6000","0.0843","0.0263"
"2.6500","0.0858","-0.0360"
"2.7000","0.0876","0.0373"
"2.7500","0.0892","-0.0076"
"2.8000","0.0908","0.1890"
"2.8500","0.0927","0.1119"
"2.9000","0.0941","0.0370"
"2.9500","0.0960","0.1109"
"3.0000","0.0976","-0.0075"
"3.0500","0.0994","0.2243"
"3.1000","0.1007","0.0815"
"3.1500","0.1024","-0.0219"
"3.2000","0.1043","-0.0058"
"3.2500","0.1059","0.1525"
"3.3000","0.1077","0.1732"
"3.3500","0.1092","0.1243"
"3.4000","0.1109","0.2588"
"3.4500","0.1123","0.1346"
"3.5000","0.1141","0.1729"
"3.5500","0.1160","0.2227"
"3.6000","0.1175","0.2015"
"3.6500","0.1193","0.1346"
"3.7000","0.1208","0.1769"
"3.7500","0.1226","0.1255"
"3.8000","0.1240","0.0535"
"3.8500","0.1259","0.1769"
"3.9000","0.1276","0.1616"
"3.9500","0.1291","0.1510"
"4.0000","0.1309","0.0597"
"4.0500","0.1325","0.1867"
"4.1000","0.1344","0.2030"
"4.1500","0.1357","-0.0156"
"4.2000","0.1375","0.0743"
"4.2500","0.1393","-0.1447"
"4.3000","0.1409","0.0593"
"4.3500","0.1426","0.0972"
"4.4000","0.1442","0.2154"
"4.4500","0.1460","0.1301"
"4.5000","0.1473","0.0859"
"4.5500","0.1492","0.1159"
"4.6000","0.1509","-0.1666"
"4.6500","0.1526","-0.0654"
"4.7000","0.1543","0.0925"
"4.7500","0.1558","0.1606"
"4.8000","0.1576","-0.0242"
"4.8500","0.1590","-0.1339"
"4.9000","0.1610","-0.0225"
"4.9500","0.1625","-0.1345"
"5.0000","0.1642","0.1596"
"5.0500","0.1659","-0.0232"
"5.1000","0.1676","0.0657"
"5.1500","0.1693","0.0518"
"5.2000","0.1707","0.1654"
"5.2500","0.1727","-0.0567"
"5.3000","0.1742","0.2795"
"5.3500","0.1759","0.0181"
"5.4000","0.1776","0.0671"
"5.4500","0.1793","-0.0002"
"5.5000","0.1809","0.2702"
"5.5500","0.1823","-0.0327"
"5.6000","0.1843","0.0874"
"5.6500","0.1858","0.0154"
"5.7000","0.1876","0.1243"
"5.7500","0.1892","0.1654"
"5.8000","0.1909","0.3128"
"5.8500","0.1925","0.1885"
"5.9000","0.1940","0.2969"
"5.9500","0.1961","0.0158"
"6.0000","0.1975","0.1570"
"6.0500","0.1993","-0.0176"
"6.1000","0.2008","0.1911"
"6.1500","0.2026","0.0662"
"6.2000","0.2041","0.0768"
"6.2500","0.2058","0.1590"
"6.3000","0.2077","0.1267"
"6.3500","0.2091","0.1720"
"6.4000","0.2110","0.1976"
"6.4500","0.2125","0.1436"
"6.5000","0.2144","0.0834"
"6.5500","0.2157","0.1447"
"6.6000","0.2175","0.2243"
"6.6500","0.2194","0.3544"
"6.7000","0.2208","0.0279"
"6.7500","0.2226","0.1950"
"6.8000","0.2241","0.0198"
"6.8500","0.2260","-0.0344"
"6.9000","0.2273","0.1896"
"6.9500","0.2291","0.1436"
"7.0000","0.2310","0.3334"
"7.0500","0.2326","0.2048"
"7.1000","0.2343","0.1647"
"7.1500","0.2357","-0.0160"
"7.2000","0.2376","-0.0074"
"7.2500","0.2389","0.1243"
"7.3000","0.2409","0.2248"
"7.3500","0.2426","0.2083"
"7.4000","0.2442","0.1777"
"7.4500","0.2459","0.2067"
"7.5000","0.2474","0.3190"
"7.5500","0.2493","0.2890"
"7.6000","0.2506","0.1169"
"7.6500","0.2526","0.2113"
"7.7000","0.2543","0.1722"
"7.7500","0.2559","0.1325"
"7.8000","0.2575","0.3493"
"7.8500","0.2592","0.0387"
"7.9000","0.2610","0.0806"
"7.9500","0.2623","0.0722"
"8.0000","0.2643","0.1145"
"8.0500","0.2659","0.2181"
"8.1000","0.2677","-0.0325"
"8.1500","0.2692","0.1749"
"8.2000","0.2709","0.1412"
"8.2500","0.2726","0.1514"
"8.3000","0.2740","0.2936"
"8.3500","0.2760","0.2419"
"8.4000","0.2775","0.2670"
"8.4500","0.2793","0.2212"
"8.5000","0.2809","0.2076"
"8.5500","0.2826","0.1468"
"8.6000","0.2841","0.0030"
"8.6500","0.2857","-0.0257"
"8.7000","0.2877","0.1332"
"8.7500","0.2891","-0.0827"
