
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0726"
"0.0500","0.0001","-0.0347"
"0.1000","0.0007","-0.0191"
"0.1500","0.0010","0.0217"
"0.2000","0.0029","0.0487"
"0.2500","0.0056","0.0584"
"0.3000","0.0076","0.0903"
"0.3500","0.0093","0.1334"
"0.4000","0.0109","-0.0080"
"0.4500","0.0125","0.1676"
"0.5000","0.0145","0.2538"
"0.5500","0.0159","0.1574"
"0.6000","0.0177","0.1651"
"0.6500","0.0193","-0.0179"
"0.7000","0.0211","0.0200"
"0.7500","0.0226","0.1395"
"0.8000","0.0242","0.0085"
"0.8500","0.0261","0.2055"
"0.9000","0.0276","0.1751"
"0.9500","0.0294","0.2172"
"1.0000","0.0310","0.1335"
"1.0500","0.0328","0.2417"
"1.1000","0.0342","0.0840"
"1.1500","0.0359","0.1054"
"1.2000","0.0378","0.1023"
"1.2500","0.0393","0.3707"
"1.3000","0.0411","0.1115"
"1.3500","0.0426","0.0219"
"1.4000","0.0444","0.1958"
"1.4500","0.0458","0.1157"
"1.5000","0.0476","0.0925"
"1.5500","0.0495","0.1358"
"1.6000","0.0509","0.1980"
"1.6500","0.0527","0.0982"
"1.7000","0.0543","0.2826"
"1.7500","0.0561","-0.1089"
"1.8000","0.0575","0.2706"
"1.8500","0.0593","0.0476"
"1.9000","0.0611","0.0283"
"1.9500","0.0626","0.1718"
"2.0000","0.0644","0.2484"
"2.0500","0.0660","0.3032"
"2.1000","0.0678","0.2020"
"2.1500","0.0691","0.3793"
"2.2000","0.0710","0.2709"
"2.2500","0.0728","0.3075"
"2.3000","0.0744","0.3312"
"2.3500","0.0761","0.1549"
"2.4000","0.0777","0.3682"
"2.4500","0.0794","0.3900"
"2.5000","0.0808","0.2765"
"2.5500","0.0827","0.2295"
"2.6000","0.0844","0.4318"
"2.6500","0.0860","0.5678"
"2.7000","0.0877","0.6974"
"2.7500","0.0894","0.5619"
"2.8000","0.0911","0.9953"
"2.8500","0.0925","0.6732"
"2.9000","0.0945","0.7012"
"2.9500","0.0960","1.0084"
"3.0000","0.0976","0.8524"
"3.0500","0.0994","0.8222"
"3.1000","0.1011","1.2038"
"3.1500","0.1027","1.3863"
"3.2000","0.1041","1.2271"
"3.2500","0.1061","1.3756"
"3.3000","0.1076","1.2950"
"3.3500","0.1093","1.2225"
"3.4000","0.1110","1.6803"
"3.4500","0.1128","1.8153"
"3.5000","0.1143","1.8207"
"3.5500","0.1158","1.8732"
"3.6000","0.1178","2.2305"
"3.6500","0.1192","2.3961"
"3.7000","0.1211","2.6224"
"3.7500","0.1227","2.4144"
"3.8000","0.1244","2.8146"
"3.8500","0.1259","2.7930"
"3.9000","0.1275","2.6328"
"3.9500","0.1295","2.9584"
"4.0000","0.1309","2.5946"
"4.0500","0.1328","2.7868"
"4.1000","0.1343","2.7497"
"4.1500","0.1361","2.7615"
"4.2000","0.1375","2.5500"
"4.2500","0.1392","2.7166"
"4.3000","0.1412","2.4649"
"4.3500","0.1426","2.4811"
"4.4000","0.1444","2.6165"
"4.4500","0.1460","2.7844"
"4.5000","0.1479","2.4634"
"4.5500","0.1492","2.5483"
"4.6000","0.1509","2.5060"
"4.6500","0.1528","2.7993"
"4.7000","0.1543","2.5864"
"4.7500","0.1561","2.6515"
"4.8000","0.1576","2.8497"
"4.8500","0.1595","2.6535"
"4.9000","0.1608","2.6212"
"4.9500","0.1627","2.5900"
"5.0000","0.1645","2.7487"
"5.0500","0.1660","2.7404"
"5.1000","0.1678","2.7254"
"5.1500","0.1692","2.4554"
"5.2000","0.1711","2.6058"
"5.2500","0.1724","2.7254"
"5.3000","0.1744","2.5681"
"5.3500","0.1761","2.9655"
"5.4000","0.1776","2.6222"
"5.4500","0.1794","2.7415"
"5.5000","0.1810","2.6836"
"5.5500","0.1828","2.6808"
"5.6000","0.1841","2.9317"
"5.6500","0.1861","2.6902"
"5.7000","0.1877","2.5991"
"5.7500","0.1894","2.6558"
"5.8000","0.1910","2.7310"
"5.8500","0.1927","2.7381"
"5.9000","0.1944","2.6841"
"5.9500","0.1958","2.6781"
"6.0000","0.1978","2.8041"
"6.0500","0.1993","2.8117"
"6.1000","0.2011","2.7424"
"6.1500","0.2027","2.9743"
"6.2000","0.2044","2.7749"
"6.2500","0.2060","2.7773"
"6.3000","0.2075","3.0186"
"6.3500","0.2095","2.7139"
"6.4000","0.2110","3.1024"
"6.4500","0.2128","2.8895"
"6.5000","0.2143","2.7402"
"6.5500","0.2161","3.0309"
"6.6000","0.2176","2.9933"
"6.6500","0.2192","3.1756"
"6.7000","0.2212","2.9256"
"6.7500","0.2226","3.0816"
"6.8000","0.2245","3.2172"
"6.8500","0.2260","3.2605"
"6.9000","0.2278","3.2066"
"6.9500","0.2292","3.2310"
"7.0000","0.2308","3.2386"
"7.0500","0.2328","3.3318"
"7.1000","0.2342","3.1528"
"7.1500","0.2361","3.1423"
"7.2000","0.2377","2.9684"
"7.2500","0.2395","3.1644"
"7.3000","0.2408","3.2467"
"7.3500","0.2426","3.1967"
"7.4000","0.2444","3.2386"
"7.4500","0.2460","3.2561"
"7.5000","0.2478","3.4744"
"7.5500","0.2493","3.3545"
"7.6000","0.2511","3.4665"
"7.6500","0.2525","3.5246"
"7.7000","0.2544","3.5272"
