
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.7797"
"0.1000","0.0007","3.1520"
"0.2000","0.0026","11.8479"
"0.3000","0.0073","28.9872"
"0.4000","0.0109","40.1801"
"0.5000","0.0142","49.3447"
"0.6000","0.0175","58.9052"
"0.7000","0.0206","66.4770"
"0.8000","0.0241","73.8488"
"0.9000","0.0274","76.8302"
"1.0000","0.0307","78.4349"
"1.1000","0.0343","80.1934"
"1.2000","0.0377","81.2883"
"1.3000","0.0409","83.6618"
"1.4000","0.0441","88.9057"
"1.5000","0.0474","93.4887"
"1.6000","0.0508","97.7467"
"1.7000","0.0539","101.7320"
"1.8000","0.0576","108.1621"
"1.9000","0.0609","113.0845"
"2.0000","0.0643","118.4772"
"2.1000","0.0674","122.9236"
"2.2000","0.0707","127.7791"
"2.3000","0.0741","132.8319"
"2.4000","0.0772","137.1520"
"2.5000","0.0808","142.6407"
"2.6000","0.0842","148.2834"
"2.7000","0.0875","153.3340"
"2.8000","0.0910","159.6885"
"2.9000","0.0941","164.5108"
"3.0000","0.0975","170.4309"
"3.1000","0.1006","174.8424"
"3.2000","0.1041","180.7947"
"3.3000","0.1075","186.0930"
"3.4000","0.1108","191.0173"
"3.5000","0.1143","197.0276"
"3.6000","0.1176","202.2691"
"3.7000","0.1209","207.2395"
"3.8000","0.1239","211.8730"
"3.9000","0.1274","217.2237"
"4.0000","0.1308","222.6802"
"4.1000","0.1340","227.4924"
"4.2000","0.1376","233.9834"
"4.3000","0.1409","239.3139"
"4.4000","0.1443","245.5944"
"4.5000","0.1473","250.6486"
"4.6000","0.1508","257.1295"
"4.7000","0.1541","263.3526"
"4.8000","0.1573","269.5829"
"4.9000","0.1610","277.7845"
"5.0000","0.1643","285.0597"
"5.1000","0.1676","292.5520"
"5.2000","0.1708","299.8555"
"5.3000","0.1740","307.2595"
"5.4000","0.1775","315.5728"
"5.5000","0.1806","322.5378"
"5.6000","0.1842","331.8626"
"5.7000","0.1876","339.9878"
"5.8000","0.1909","348.1808"
"5.9000","0.1942","356.5364"
"6.0000","0.1974","364.2013"
"6.1000","0.2008","372.8506"
"6.2000","0.2039","380.0370"
"6.3000","0.2074","388.9478"
"6.4000","0.2109","397.6455"
"6.5000","0.2142","406.0415"
"6.6000","0.2177","415.0945"
"6.7000","0.2208","422.8123"
"6.8000","0.2243","431.4603"
"6.9000","0.2273","438.2826"
"7.0000","0.2307","446.9545"
"7.1000","0.2341","455.4356"
"7.2000","0.2374","463.4394"
"7.3000","0.2410","472.6647"
"7.4000","0.2443","480.9255"
"7.5000","0.2476","488.6822"
"7.6000","0.2507","496.2022"
"7.7000","0.2540","503.9327"
"7.8000","0.2573","511.8348"
"7.9000","0.2607","519.9123"
"8.0000","0.2642","528.5121"
"8.1000","0.2675","536.1248"
"8.2000","0.2710","544.5888"
"8.3000","0.2741","551.5064"
"8.4000","0.2775","559.0397"
"8.5000","0.2808","566.4706"
"8.6000","0.2839","573.2921"
"8.7000","0.2876","582.0793"
"8.8000","0.2909","589.1936"
"8.9000","0.2942","596.2185"
"9.0000","0.2977","604.2135"
"9.1000","0.3008","610.9078"
"9.2000","0.3042","618.1806"
"9.3000","0.3073","624.2501"
"9.4000","0.3107","631.7621"
"9.5000","0.3142","638.9317"
"9.6000","0.3174","645.2766"
"9.7000","0.3209","653.2223"
"9.8000","0.3243","660.1358"
"9.9000","0.3275","666.1807"
"10.0000","0.3307","672.5493"
"10.1000","0.3341","678.8465"
"10.2000","0.3374","685.5262"
"10.3000","0.3407","691.4568"
"10.4000","0.3443","698.7305"
"10.5000","0.3475","704.5543"
"10.6000","0.3510","711.0782"
"10.7000","0.3540","716.1560"
"10.8000","0.3575","722.1975"
"10.9000","0.3608","727.7053"
"11.0000","0.3639","732.3988"
"11.1000","0.3676","738.8276"
"11.2000","0.3709","743.9813"
"11.3000","0.3743","748.7928"
"11.4000","0.3775","753.4294"
"11.5000","0.3807","757.3301"
"11.6000","0.3841","760.9868"
"11.7000","0.3872","763.7840"
"11.8000","0.3909","769.4155"
"11.9000","0.3942","775.2161"
"12.0000","0.3975","782.5764"
"12.1000","0.4009","790.3713"
"12.2000","0.4042","797.4501"
"12.3000","0.4075","804.8043"
"12.4000","0.4106","810.6689"
"12.5000","0.4141","818.2338"
"12.6000","0.4175","825.2150"
"12.7000","0.4209","831.6297"
"12.8000","0.4243","838.3150"
"12.9000","0.4275","843.8212"
"13.0000","0.4310","850.5497"
"13.1000","0.4339","854.8591"
"13.2000","0.4374","860.9087"
"13.2570","0.4396","-1.4934"

