
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1080"
"0.0500","0.0001","0.1215"
"0.1000","0.0006","-0.0145"
"0.1500","0.0010","-0.0788"
"0.2000","0.0024","-0.0043"
"0.2500","0.0050","0.2149"
"0.3000","0.0072","-0.0751"
"0.3500","0.0089","0.0442"
"0.4000","0.0107","0.2225"
"0.4500","0.0123","-0.0268"
"0.5000","0.0141","0.0353"
"0.5500","0.0154","0.0909"
"0.6000","0.0174","-0.0179"
"0.6500","0.0190","0.0559"
"0.7000","0.0207","-0.0216"
"0.7500","0.0224","0.0607"
"0.8000","0.0240","0.1431"
"0.8500","0.0257","0.1969"
"0.9000","0.0271","0.2442"
"0.9500","0.0292","-0.1380"
"1.0000","0.0307","-0.1407"
"1.0500","0.0324","0.0622"
"1.1000","0.0341","0.2512"
"1.1500","0.0357","0.0508"
"1.2000","0.0374","-0.0739"
"1.2500","0.0388","-0.2248"
"1.3000","0.0408","0.1585"
"1.3500","0.0424","0.0458"
"1.4000","0.0441","0.0771"
"1.4500","0.0457","0.0364"
"1.5000","0.0474","0.0758"
"1.5500","0.0490","0.1618"
"1.6000","0.0504","0.2684"
"1.6500","0.0525","-0.0625"
"1.7000","0.0540","-0.0981"
"1.7500","0.0558","0.2262"
"1.8000","0.0573","-0.0580"
"1.8500","0.0590","-0.0024"
"1.9000","0.0606","0.0364"
"1.9500","0.0622","-0.1483"
"2.0000","0.0642","0.1439"
"2.0500","0.0656","0.1181"
"2.1000","0.0674","0.0641"
"2.1500","0.0690","0.0453"
"2.2000","0.0708","0.1120"
"2.2500","0.0723","0.1370"
"2.3000","0.0739","0.3151"
"2.3500","0.0758","-0.0052"
"2.4000","0.0773","0.1017"
"2.4500","0.0791","0.3298"
"2.5000","0.0806","0.0497"
"2.5500","0.0825","-0.0697"
"2.6000","0.0839","0.1243"
"2.6500","0.0855","0.0347"
"2.7000","0.0875","0.1478"
"2.7500","0.0890","0.1494"
"2.8000","0.0908","0.0408"
"2.8500","0.0923","0.0281"
"2.9000","0.0941","0.1724"
"2.9500","0.0955","0.1448"
"3.0000","0.0973","0.1921"
"3.0500","0.0992","0.2376"
"3.1000","0.1007","0.0893"
"3.1500","0.1025","0.1243"
"3.2000","0.1040","-0.0161"
"3.2500","0.1058","-0.1140"
"3.3000","0.1072","0.1005"
"3.3500","0.1090","0.2768"
"3.4000","0.1108","-0.0497"
"3.4500","0.1122","-0.1282"
"3.5000","0.1141","0.1165"
"3.5500","0.1157","0.1681"
"3.6000","0.1175","0.2281"
"3.6500","0.1188","0.0829"
"3.7000","0.1207","0.2035"
"3.7500","0.1224","0.0012"
"3.8000","0.1239","0.0375"
"3.8500","0.1257","0.0493"
"3.9000","0.1273","0.0405"
"3.9500","0.1291","0.1658"
"4.0000","0.1304","0.0715"
"4.0500","0.1324","0.2382"
"4.1000","0.1340","0.2805"
"4.1500","0.1356","0.1810"
"4.2000","0.1374","0.3172"
"4.2500","0.1390","0.1579"
"4.3000","0.1408","0.1205"
"4.3500","0.1421","-0.0567"
"4.4000","0.1442","0.1767"
"4.4500","0.1457","0.1486"
"4.5000","0.1473","-0.0247"
"4.5500","0.1491","-0.0868"
"4.6000","0.1507","0.0842"
"4.6500","0.1524","0.0809"
"4.7000","0.1538","0.1957"
"4.7500","0.1559","0.1342"
"4.8000","0.1573","0.1616"
"4.8500","0.1590","0.1127"
"4.9000","0.1607","0.3271"
"4.9500","0.1625","-0.0003"
"5.0000","0.1640","0.1042"
"5.0500","0.1655","0.3561"
"5.1000","0.1675","0.1442"
"5.1500","0.1690","0.1165"
"5.2000","0.1708","0.1325"
"5.2500","0.1723","0.4247"
"5.3000","0.1741","0.0680"
"5.3500","0.1756","0.0367"
"5.4000","0.1771","0.1743"
"5.4500","0.1792","0.1481"
"5.5000","0.1807","0.2265"
"5.5500","0.1825","0.0696"
"5.6000","0.1839","0.1769"
"5.6500","0.1858","0.0403"
"5.7000","0.1872","0.2163"
"5.7500","0.1889","0.1409"
"5.8000","0.1909","0.3347"
"5.8500","0.1923","0.1685"
"5.9000","0.1941","0.2008"
"5.9500","0.1955","0.2694"
"6.0000","0.1975","0.2007"
"6.0500","0.1989","0.0729"
"6.1000","0.2007","0.3174"
"6.1500","0.2025","0.2166"
"6.2000","0.2039","0.1711"
"6.2500","0.2058","0.1948"
"6.3000","0.2073","0.1546"
"6.3500","0.2092","0.2923"
"6.4000","0.2105","0.1257"
"6.4500","0.2123","-0.0343"
"6.5000","0.2141","0.1640"
"6.5500","0.2157","-0.0645"
"6.6000","0.2175","0.1385"
"6.6500","0.2190","0.1193"
"6.7000","0.2208","0.1075"
"6.7500","0.2221","0.3418"
"6.8000","0.2241","0.1494"
"6.8500","0.2258","0.0762"
"6.9000","0.2274","0.2109"
"6.9500","0.2291","0.0486"
"7.0000","0.2306","0.1369"
"7.0500","0.2324","0.3116"
"7.1000","0.2338","0.0920"
"7.1500","0.2359","-0.0921"
"7.2000","0.2373","-0.0796"
"7.2500","0.2390","0.1427"
"7.3000","0.2407","0.0970"
"7.3500","0.2424","0.0530"
"7.4000","0.2441","0.0694"
"7.4500","0.2454","0.0819"
"7.5000","0.2474","0.0008"
"7.5500","0.2489","0.1439"
"7.6000","0.2507","0.1206"
"7.6500","0.2524","0.1604"
"7.7000","0.2541","0.2645"
"7.7500","0.2556","0.1830"
"7.8000","0.2571","0.1993"
"7.8500","0.2591","0.0839"
"7.9000","0.2606","0.1659"
"7.9500","0.2625","0.1556"
"8.0000","0.2640","0.2523"
"8.0500","0.2657","0.2471"
"8.1000","0.2672","0.1831"
"8.1500","0.2689","0.0833"
"8.2000","0.2709","0.2521"
"8.2500","0.2723","0.2076"
"8.3000","0.2741","0.1283"
"8.3500","0.2757","-0.0734"
"8.4000","0.2775","0.0869"
"8.4500","0.2789","0.2098"
"8.5000","0.2806","0.0654"
"8.5500","0.2825","0.1669"
"8.6000","0.2839","0.1942"
"8.6500","0.2858","0.2660"
"8.7000","0.2874","0.1709"
"8.7500","0.2892","0.2095"
"8.8000","0.2905","0.3019"
"8.8500","0.2922","0.2535"
"8.9000","0.2941","0.1001"
"8.9500","0.2957","0.1388"
"9.0000","0.2975","0.0485"
"9.0500","0.2990","0.1839"
"9.1000","0.3008","0.0994"
"9.1500","0.3022","0.2306"
"9.2000","0.3040","0.0139"
"9.2500","0.3058","0.1130"
"9.3000","0.3073","0.0937"
"9.3500","0.3091","0.1974"
"9.4000","0.3106","0.0842"
"9.4500","0.3125","0.1650"
"9.5000","0.3139","0.3288"
"9.5500","0.3157","0.0542"
"9.6000","0.3174","0.2102"
"9.6500","0.3189","0.3605"
"9.7000","0.3207","0.3650"
"9.7500","0.3223","0.0762"
"9.8000","0.3242","0.1823"
"9.8500","0.3255","0.3678"
"9.9000","0.3273","0.0816"
"9.9500","0.3291","0.2063"
"10.0000","0.3307","0.1627"
"10.0500","0.3324","0.1866"
"10.1000","0.3340","0.2045"
"10.1500","0.3357","0.3086"
"10.2000","0.3371","0.3012"
"10.2500","0.3390","0.1574"
"10.3000","0.3408","0.2035"
"10.3500","0.3424","0.0851"
"10.4000","0.3441","0.1781"
"10.4500","0.3457","0.3559"
"10.5000","0.3474","0.1309"
"10.5500","0.3488","0.0328"
"10.6000","0.3508","0.1899"
"10.6500","0.3523","0.1363"
"10.7000","0.3540","0.1299"
"10.7500","0.3557","0.1890"
"10.8000","0.3574","0.0353"
"10.8500","0.3591","0.1703"
"10.9000","0.3605","0.2639"
"10.9500","0.3625","0.1156"
"11.0000","0.3640","0.1214"
"11.0500","0.3657","0.0007"
"11.1000","0.3674","0.1642"
"11.1500","0.3692","0.0821"
"11.2000","0.3706","0.2075"
"11.2500","0.3721","0.1735"
"11.3000","0.3741","0.2420"
"11.3500","0.3756","0.2393"
"11.4000","0.3774","0.1594"
"11.4500","0.3790","0.2461"
"11.5000","0.3808","0.3288"
"11.5500","0.3823","0.2399"
"11.6000","0.3839","0.3840"
"11.6500","0.3859","0.2520"
"11.7000","0.3873","0.1275"
"11.7500","0.3891","0.2418"
"11.8000","0.3907","0.1232"
"11.8500","0.3925","0.0762"
"11.9000","0.3939","0.1343"
"11.9500","0.3956","0.2115"
"12.0000","0.3975","0.0119"
"12.0500","0.3989","0.0768"
"12.1000","0.4008","0.0496"
"12.1500","0.4023","0.1055"
"12.2000","0.4042","0.2483"
"12.2500","0.4055","0.3231"
"12.3000","0.4073","0.0506"
"12.3500","0.4092","0.1913"
"12.4000","0.4106","0.0432"
"12.4500","0.4125","0.2695"
"12.5000","0.4139","0.1800"
"12.5500","0.4159","0.4291"
"12.6000","0.4171","0.0924"
"12.6500","0.4190","0.0919"
"12.7000","0.4208","0.1236"
"12.7500","0.4224","0.3382"
"12.8000","0.4241","0.1225"
"12.8500","0.4256","0.1713"
"12.9000","0.4275","0.2292"
"12.9500","0.4288","0.2531"
"13.0000","0.4308","0.2355"
"13.0500","0.4324","0.2529"
