
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0319"
"0.1000","0.0007","1.0429"
"0.2000","0.0028","1.8142"
"0.3000","0.0077","2.2054"
"0.4000","0.0111","2.5959"
"0.5000","0.0145","2.7707"
"0.6000","0.0178","3.1949"
"0.7000","0.0211","3.1464"
"0.8000","0.0242","3.6457"
"0.9000","0.0277","3.8496"
"1.0000","0.0311","4.4872"
"1.1000","0.0344","4.2856"
"1.2000","0.0379","5.0841"
"1.3000","0.0411","5.6743"
"1.4000","0.0445","6.3139"
"1.5000","0.0475","6.6184"
"1.6000","0.0510","6.8703"
"1.7000","0.0544","7.4733"
"1.8000","0.0576","8.4834"
"1.9000","0.0612","8.6042"
"2.0000","0.0645","9.4589"
"2.1000","0.0679","9.6168"
"2.2000","0.0710","10.1694"
"2.3000","0.0743","10.0532"
"2.4000","0.0777","10.5597"
"2.5000","0.0809","10.4515"
"2.6000","0.0845","11.1458"
"2.7000","0.0878","11.3406"
"2.8000","0.0913","12.0842"
"2.9000","0.0944","12.6039"
"3.0000","0.0977","14.0242"
"3.1000","0.1011","15.1163"
"3.2000","0.1042","16.9011"
"3.3000","0.1078","18.2752"
"3.4000","0.1111","20.2421"
"3.5000","0.1145","22.1216"
"3.6000","0.1179","25.3734"
"3.7000","0.1210","28.3390"
"3.8000","0.1245","32.0584"
"3.9000","0.1275","34.7632"
"4.0000","0.1310","38.1762"
"4.1000","0.1344","41.9774"
"4.2000","0.1377","45.4940"
"4.3000","0.1412","49.8310"
"4.4000","0.1446","53.6848"
"4.5000","0.1478","57.3247"
"4.6000","0.1509","60.1347"
"4.7000","0.1543","63.1841"
"4.8000","0.1576","65.3213"
"4.9000","0.1610","69.7324"
"5.0000","0.1645","74.2091"
"5.1000","0.1678","77.3132"
"5.2000","0.1713","79.1492"
"5.3000","0.1743","80.1674"
"5.4000","0.1777","81.4004"
"5.5000","0.1810","82.9309"
"5.6000","0.1842","84.9858"
"5.7000","0.1878","86.5066"
"5.8000","0.1912","88.0433"
"5.9000","0.1945","89.1311"
"6.0000","0.1979","90.6821"
