
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1377"
"0.0500","0.0001","-0.0490"
"0.1000","0.0006","-0.0006"
"0.1500","0.0010","0.0220"
"0.2000","0.0024","0.0622"
"0.2500","0.0049","-0.0546"
"0.3000","0.0072","-0.0225"
"0.3500","0.0089","0.0262"
"0.4000","0.0107","-0.0164"
"0.4500","0.0123","-0.0187"
"0.5000","0.0141","0.2063"
"0.5500","0.0154","0.1387"
"0.6000","0.0174","0.0731"
"0.6500","0.0191","-0.0287"
"0.7000","0.0207","-0.1434"
"0.7500","0.0225","-0.0606"
"0.8000","0.0240","0.2015"
"0.8500","0.0257","-0.0051"
"0.9000","0.0271","-0.1022"
"0.9500","0.0292","0.0455"
"1.0000","0.0307","0.0197"
"1.0500","0.0324","0.1068"
"1.1000","0.0341","-0.0269"
"1.1500","0.0357","0.0690"
"1.2000","0.0374","-0.0451"
"1.2500","0.0388","-0.1585"
"1.3000","0.0408","-0.0741"
"1.3500","0.0424","-0.0492"
"1.4000","0.0441","0.0659"
"1.4500","0.0457","0.0107"
"1.5000","0.0475","0.0299"
"1.5500","0.0490","-0.0291"
"1.6000","0.0505","-0.0632"
"1.6500","0.0525","0.2344"
"1.7000","0.0541","-0.0387"
"1.7500","0.0558","0.0793"
"1.8000","0.0573","0.1713"
"1.8500","0.0591","0.0529"
"1.9000","0.0606","0.0482"
"1.9500","0.0622","-0.0505"
"2.0000","0.0642","0.0589"
"2.0500","0.0656","-0.0314"
"2.1000","0.0674","0.0436"
"2.1500","0.0690","-0.0176"
"2.2000","0.0708","-0.2068"
"2.2500","0.0723","0.0352"
"2.3000","0.0739","-0.1608"
"2.3500","0.0758","-0.0146"
"2.4000","0.0773","-0.1194"
"2.4500","0.0791","0.0781"
"2.5000","0.0807","-0.0028"
"2.5500","0.0825","0.0610"
"2.6000","0.0839","0.1014"
"2.6500","0.0856","0.0017"
"2.7000","0.0875","0.1216"
"2.7500","0.0890","0.0051"
"2.8000","0.0908","0.0087"
"2.8500","0.0923","0.1750"
"2.9000","0.0942","0.0419"
"2.9500","0.0956","-0.0263"
"3.0000","0.0973","0.0612"
"3.0500","0.0992","-0.1284"
"3.1000","0.1007","0.0810"
"3.1500","0.1025","0.0496"
"3.2000","0.1040","0.1070"
"3.2500","0.1058","0.1743"
"3.3000","0.1072","-0.0542"
"3.3500","0.1090","0.0666"
"3.4000","0.1108","0.0341"
"3.4500","0.1123","-0.1139"
