
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1634"
"0.0500","0.0001","-0.1967"
"0.1000","0.0008","0.0262"
"0.1500","0.0012","-0.1613"
"0.2000","0.0029","0.0224"
"0.2500","0.0057","0.0301"
"0.3000","0.0075","0.1368"
"0.3500","0.0094","0.2135"
"0.4000","0.0110","0.1765"
"0.4500","0.0128","0.3311"
"0.5000","0.0143","0.2659"
"0.5500","0.0162","0.5971"
"0.6000","0.0176","0.8882"
"0.6500","0.0193","0.8844"
"0.7000","0.0212","0.8028"
"0.7500","0.0227","0.8190"
"0.8000","0.0245","0.9063"
"0.8500","0.0259","0.9379"
"0.9000","0.0278","0.8557"
"0.9500","0.0292","0.9875"
"1.0000","0.0311","0.6650"
"1.0500","0.0328","0.9151"
"1.1000","0.0343","0.8813"
"1.1500","0.0361","1.3322"
"1.2000","0.0376","1.3411"
"1.2500","0.0395","2.2248"
"1.3000","0.0409","3.4164"
"1.3500","0.0428","4.8581"
"1.4000","0.0444","6.3489"
"1.4500","0.0460","7.6966"
"1.5000","0.0477","9.2223"
"1.5500","0.0494","10.6891"
"1.6000","0.0512","12.4910"
"1.6500","0.0525","13.6813"
"1.7000","0.0545","15.8989"
"1.7500","0.0560","17.5720"
"1.8000","0.0578","19.1883"
"1.8500","0.0594","20.7490"
"1.9000","0.0610","22.4942"
"1.9500","0.0628","24.2753"
"2.0000","0.0642","25.7110"
"2.0500","0.0662","28.1474"
"2.1000","0.0677","29.6225"
"2.1500","0.0695","31.8608"
"2.2000","0.0711","33.6749"
"2.2500","0.0727","35.5915"
"2.3000","0.0743","37.5728"
"2.3500","0.0759","39.1354"
"2.4000","0.0779","41.6115"
"2.4500","0.0793","43.4047"
"2.5000","0.0812","45.4811"
"2.5500","0.0827","47.6323"
"2.6000","0.0845","49.5475"
"2.6500","0.0860","51.4740"
"2.7000","0.0875","53.2547"
"2.7500","0.0895","55.7959"
"2.8000","0.0909","57.3693"
"2.8500","0.0928","59.5804"
"2.9000","0.0944","61.5485"
"2.9500","0.0962","63.6993"
"3.0000","0.0976","65.6649"
"3.0500","0.0992","67.6056"
"3.1000","0.1012","70.2424"
"3.1500","0.1027","71.9524"
"3.2000","0.1046","74.4888"
"3.2500","0.1060","76.0868"
"3.3000","0.1078","78.5648"
"3.3500","0.1092","80.3553"
"3.4000","0.1110","82.5902"
"3.4500","0.1129","84.8671"
"3.5000","0.1143","86.7509"
"3.5500","0.1162","89.5190"
"3.6000","0.1177","91.1967"
"3.6500","0.1195","93.7057"
"3.7000","0.1209","95.5305"
"3.7500","0.1227","97.8930"
"3.8000","0.1245","100.2251"
"3.8500","0.1260","102.3170"
"3.9000","0.1278","104.5223"
"3.9500","0.1294","106.7792"
"4.0000","0.1312","109.2398"
"4.0500","0.1325","110.8724"
"4.1000","0.1343","113.4059"
"4.1500","0.1361","115.6840"
"4.2000","0.1378","117.9535"
"4.2500","0.1395","120.3591"
"4.3000","0.1410","122.0573"
"4.3500","0.1428","124.7068"
"4.4000","0.1442","126.4279"
"4.4500","0.1461","129.1835"
"4.5000","0.1478","131.6283"
"4.5500","0.1493","133.4967"
"4.6000","0.1511","135.8746"
"4.6500","0.1527","138.0480"
"4.7000","0.1545","140.4843"
"4.7500","0.1559","142.2751"
"4.8000","0.1578","144.8483"
"4.8500","0.1594","147.0536"
"4.9000","0.1610","149.3756"
"4.9500","0.1628","151.4665"
"5.0000","0.1644","153.9692"
"5.0500","0.1661","156.2292"
"5.1000","0.1675","157.7050"
"5.1500","0.1694","160.6635"
"5.2000","0.1711","162.6445"
"5.2500","0.1728","165.0888"
"5.3000","0.1744","167.0687"
"5.3500","0.1761","169.1812"
"5.4000","0.1777","171.4043"
"5.4500","0.1792","173.3640"
"5.5000","0.1812","175.8057"
"5.5500","0.1827","178.0443"
"5.6000","0.1845","180.2879"
"5.6500","0.1861","182.3874"
"5.7000","0.1878","184.7612"
"5.7500","0.1894","186.5619"
"5.8000","0.1909","188.4449"
"5.8500","0.1929","191.2613"
"5.9000","0.1943","192.9032"
"5.9500","0.1961","195.3089"
"6.0000","0.1978","197.4070"
"6.0500","0.1995","199.7928"
"6.1000","0.2010","201.7514"
"6.1500","0.2026","203.8979"
"6.2000","0.2045","206.5413"
"6.2500","0.2060","207.9316"
"6.3000","0.2078","210.6288"
"6.3500","0.2094","212.6958"
"6.4000","0.2112","215.1049"
"6.4500","0.2126","216.6242"
"6.5000","0.2142","218.9339"
"6.5500","0.2162","221.5222"
"6.6000","0.2176","223.4860"
"6.6500","0.2195","225.9211"
"6.7000","0.2210","227.6811"
"6.7500","0.2229","230.0514"
"6.8000","0.2242","231.6700"
"6.8500","0.2260","234.0515"
"6.9000","0.2278","236.5355"
"6.9500","0.2293","238.5661"
"7.0000","0.2312","240.7616"
"7.0500","0.2327","242.8764"
"7.1000","0.2345","245.3433"
"7.1500","0.2359","246.8228"
"7.2000","0.2378","249.3228"
"7.2500","0.2395","251.5139"
"7.3000","0.2410","253.4660"
"7.3500","0.2428","255.9476"
"7.4000","0.2444","257.8064"
"7.4500","0.2463","260.3620"
"7.5000","0.2475","261.5817"
"7.5500","0.2494","264.4087"
"7.6000","0.2511","266.4179"
"7.6500","0.2527","268.3410"
"7.7000","0.2545","270.4094"
"7.7500","0.2560","272.2876"
"7.8000","0.2579","274.7724"
"7.8500","0.2591","276.0447"
"7.9000","0.2611","278.6268"
