
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0701"
"0.0500","0.0000","-0.1018"
"0.1000","0.0008","0.1044"
"0.1500","0.0011","0.0310"
"0.2000","0.0023","0.1475"
"0.2500","0.0054","0.0746"
"0.3000","0.0075","-0.0286"
"0.3500","0.0092","0.0767"
"0.4000","0.0108","-0.0810"
"0.4500","0.0126","0.1520"
"0.5000","0.0139","0.1655"
"0.5500","0.0159","0.1228"
"0.6000","0.0175","-0.0102"
"0.6500","0.0192","0.1952"
"0.7000","0.0209","0.0290"
"0.7500","0.0225","0.0699"
"0.8000","0.0242","-0.0766"
"0.8500","0.0256","-0.0093"
"0.9000","0.0276","0.1585"
"0.9500","0.0292","0.0964"
"1.0000","0.0309","0.0137"
"1.0500","0.0326","-0.0610"
"1.1000","0.0342","-0.1046"
"1.1500","0.0358","-0.1416"
"1.2000","0.0373","-0.0032"
"1.2500","0.0394","0.0359"
"1.3000","0.0408","0.1655"
"1.3500","0.0425","0.3494"
"1.4000","0.0442","0.0348"
"1.4500","0.0459","0.0141"
"1.5000","0.0475","-0.1603"
"1.5500","0.0490","-0.0945"
"1.6000","0.0510","-0.0543"
"1.6500","0.0525","0.0964"
"1.7000","0.0543","0.2376"
"1.7500","0.0559","0.0266"
"1.8000","0.0577","0.1161"
"1.8500","0.0591","0.0564"
"1.9000","0.0606","-0.0812"
"1.9500","0.0626","-0.0015"
"2.0000","0.0642","-0.0450"
"2.0500","0.0660","-0.1996"
"2.1000","0.0675","-0.1094"
"2.1500","0.0693","0.1723"
"2.2000","0.0707","0.1212"
"2.2500","0.0724","0.1454"
"2.3000","0.0743","-0.0263"
"2.3500","0.0758","-0.0169"
"2.4000","0.0776","-0.0870"
"2.4500","0.0791","0.1020"
"2.5000","0.0810","0.0913"
"2.5500","0.0824","-0.2399"
"2.6000","0.0841","0.0231"
"2.6500","0.0859","-0.0198"
"2.7000","0.0874","0.1991"
"2.7500","0.0893","0.0095"
"2.8000","0.0908","0.0282"
"2.8500","0.0927","-0.0473"
"2.9000","0.0940","0.0816"
"2.9500","0.0958","0.0943"
"3.0000","0.0977","0.1395"
"3.0500","0.0992","0.1807"
"3.1000","0.1009","0.0633"
"3.1500","0.1025","0.1439"
"3.2000","0.1043","0.2709"
"3.2500","0.1056","0.2646"
"3.3000","0.1075","0.0292"
"3.3500","0.1093","-0.0203"
"3.4000","0.1108","-0.0518"
"3.4500","0.1126","0.1625"
"3.5000","0.1142","0.1247"
"3.5500","0.1160","0.1251"
"3.6000","0.1173","0.2413"
"3.6500","0.1193","0.3105"
"3.7000","0.1209","0.0516"
"3.7500","0.1224","0.1913"
"3.8000","0.1243","0.4513"
"3.8500","0.1259","0.1115"
"3.9000","0.1276","0.1663"
"3.9500","0.1289","0.3057"
"4.0000","0.1310","0.1003"
"4.0500","0.1325","0.2751"
"4.1000","0.1341","0.2302"
"4.1500","0.1359","0.1708"
"4.2000","0.1376","0.1270"
"4.2500","0.1392","0.0315"
"4.3000","0.1406","-0.0404"
"4.3500","0.1426","0.2980"
"4.4000","0.1441","0.1661"
"4.4500","0.1458","0.1731"
"4.5000","0.1475","0.1847"
"4.5500","0.1492","0.3583"
"4.6000","0.1509","0.0041"
"4.6500","0.1523","-0.0303"
"4.7000","0.1544","0.1820"
"4.7500","0.1558","0.1238"
"4.8000","0.1576","0.2666"
"4.8500","0.1592","0.1117"
"4.9000","0.1610","0.0333"
"4.9500","0.1624","0.0497"
"5.0000","0.1640","0.2172"
"5.0500","0.1661","0.3591"
"5.1000","0.1674","0.0928"
"5.1500","0.1693","0.2927"
"5.2000","0.1708","0.2187"
"5.2500","0.1727","0.3046"
"5.3000","0.1741","0.2693"
"5.3500","0.1757","0.1091"
"5.4000","0.1777","0.1509"
"5.4500","0.1791","0.1378"
"5.5000","0.1809","0.2559"
"5.5500","0.1824","0.2407"
"5.6000","0.1844","0.2039"
"5.6500","0.1857","0.0911"
"5.7000","0.1874","0.2529"
"5.7500","0.1893","0.3567"
"5.8000","0.1908","0.2411"
"5.8500","0.1926","0.2219"
"5.9000","0.1941","0.1117"
"5.9500","0.1960","0.0527"
"6.0000","0.1973","0.2161"
"6.0500","0.1991","0.2194"
"6.1000","0.2010","0.2057"
"6.1500","0.2024","0.2280"
"6.2000","0.2042","0.4233"
"6.2500","0.2057","0.3658"
"6.3000","0.2076","0.1870"
"6.3500","0.2089","0.2804"
"6.4000","0.2109","0.2356"
"6.4500","0.2126","0.3647"
"6.5000","0.2142","0.2728"
"6.5500","0.2159","0.4886"
"6.6000","0.2175","0.2588"
"6.6500","0.2193","0.3138"
