
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0090"
"0.1000","0.0024","1.8039"
"0.2000","0.0113","8.6588"
"0.3000","0.0201","15.2443"
"0.4000","0.0287","21.5511"
"0.5000","0.0369","27.8369"
"0.6000","0.0452","33.9278"
"0.7000","0.0536","40.3222"
"0.8000","0.0619","46.7420"
"0.9000","0.0703","52.7261"
"1.0000","0.0786","58.9809"
"1.1000","0.0871","65.3468"
"1.2000","0.0954","71.2587"
"1.3000","0.1036","77.5465"
"1.4000","0.1120","83.4954"
"1.5000","0.1203","89.5730"
"1.6000","0.1286","95.4490"
"1.7000","0.1369","101.6644"
"1.8000","0.1453","107.9017"
"1.9000","0.1537","114.0798"
"2.0000","0.1619","119.8567"
"2.1000","0.1702","125.9921"
"2.2000","0.1786","132.0068"
"2.3000","0.1869","137.9454"
"2.4000","0.1952","143.9131"
"2.5000","0.2036","149.9524"
"2.6000","0.2120","155.8068"
"2.7000","0.2203","161.7013"
"2.8000","0.2286","167.6442"
"2.9000","0.2370","173.8008"
"3.0000","0.2453","179.5252"
"3.1000","0.2535","185.3299"
"3.2000","0.2619","191.1669"
"3.3000","0.2703","197.3803"
"3.4000","0.2787","203.1903"
"3.5000","0.2869","208.7198"
"3.6000","0.2952","214.7236"
"3.7000","0.3037","220.6690"
"3.8000","0.3119","226.4619"
"3.9000","0.3202","232.0013"
"4.0000","0.3287","237.9700"
"4.1000","0.3370","243.5407"
"4.2000","0.3453","249.5279"
"4.3000","0.3535","254.8926"
"4.4000","0.3620","260.9100"
"4.5000","0.3703","266.7591"
"4.6000","0.3786","272.2754"
"4.7000","0.3869","277.9956"
"4.8000","0.3954","283.7018"
"4.9000","0.4036","289.2348"
"5.0000","0.4119","295.1535"
"5.1000","0.4203","300.5713"
"5.2000","0.4286","306.3070"
"5.3000","0.4369","311.9173"
"5.4000","0.4452","317.5559"
"5.5000","0.4537","322.9937"
"5.6000","0.4619","328.4327"
"5.7000","0.4703","334.0936"
"5.8000","0.4786","339.6260"
"5.9000","0.4869","345.1469"
"6.0000","0.4952","350.5421"
"6.1000","0.5036","355.9459"
"6.2000","0.5120","361.5379"
"6.3000","0.5203","367.1535"
"6.4000","0.5285","372.5898"
"6.5000","0.5369","377.8041"
"6.6000","0.5453","383.2190"
"6.7000","0.5536","388.5796"
"6.8000","0.5619","394.1291"
"6.9000","0.5703","399.7542"
"7.0000","0.5787","405.1885"
"7.1000","0.5869","409.9803"
"7.2000","0.5952","415.4688"
"7.3000","0.6036","420.9672"
"7.4000","0.6120","426.1315"
"7.5000","0.6203","431.4306"
"7.6000","0.6286","436.7626"
"7.7000","0.6371","441.9091"
"7.8000","0.6453","447.2712"
"7.9000","0.6535","452.2719"
"8.0000","0.6619","457.4036"
"8.1000","0.6703","462.6587"
"8.2000","0.6786","467.7569"
"8.3000","0.6869","473.0152"
"8.4000","0.6954","478.2900"
"8.5000","0.7036","483.1154"
"8.6000","0.7119","488.4302"
"8.7000","0.7202","493.4479"
"8.8000","0.7286","498.3985"
"8.9000","0.7370","503.3525"
